=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/pathDisjoint_1000_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 647190228.579261
||xbar||_A = 31928.356634
i=131, err2=0.000652078, errA = 0.005652
i=132, err2=0.000222226, errA = 0.00562258
i=133, err2=0.000287544, errA = 0.00560941
i=134, err2=0.000496688, errA = 0.0055687
i=135, err2=0.000582097, errA = 0.00551516
i=136, err2=0.000439811, errA = 0.00531916
i=137, err2=0.000287693, errA = 0.00530028
i=138, err2=0.000271706, errA = 0.00527036
i=139, err2=0.000269637, errA = 0.0052599
i=140, err2=0.000407882, errA = 0.00523453
i=141, err2=0.000450775, errA = 0.00511209
i=142, err2=0.000289565, errA = 0.00508817
i=143, err2=0.000145826, errA = 0.00506017
i=144, err2=0.000154739, errA = 0.00505362
i=145, err2=0.00029056, errA = 0.00504267
i=146, err2=0.000367611, errA = 0.00500156
i=147, err2=0.000782405, errA = 0.00493298
i=148, err2=0.00037782, errA = 0.00480604
i=149, err2=0.000211268, errA = 0.00477641
i=150, err2=0.000275082, errA = 0.0047369
i=151, err2=0.000227031, errA = 0.00472882
i=152, err2=0.000383893, errA = 0.00469768
i=153, err2=0.000411921, errA = 0.00462527
i=154, err2=0.000335722, errA = 0.00459076
i=155, err2=0.000140363, errA = 0.00452067
i=156, err2=0.000192533, errA = 0.00450512
i=157, err2=0.000169431, errA = 0.00449624
i=158, err2=0.000173776, errA = 0.00449189
i=159, err2=0.000507602, errA = 0.00443959
i=160, err2=0.00034849, errA = 0.00437167
i=161, err2=0.000392575, errA = 0.00430288
i=162, err2=0.000254651, errA = 0.00428545
i=163, err2=0.000149633, errA = 0.00427191
i=164, err2=0.00027857, errA = 0.00425728
i=165, err2=0.000151648, errA = 0.00422978
i=166, err2=0.00045003, errA = 0.00416666
i=167, err2=0.000515695, errA = 0.00411499
i=168, err2=0.000161001, errA = 0.00407135
i=169, err2=0.000329908, errA = 0.00403952
i=170, err2=0.000151007, errA = 0.00402498
i=171, err2=0.000238281, errA = 0.0039915
i=172, err2=0.000325039, errA = 0.00396055
i=173, err2=0.000305141, errA = 0.00393817
i=174, err2=0.000165592, errA = 0.00387797
i=175, err2=0.000185074, errA = 0.00387186
i=176, err2=0.000208423, errA = 0.00385561
i=177, err2=0.000221854, errA = 0.00384477
i=178, err2=0.000182959, errA = 0.00383335
i=179, err2=0.000225149, errA = 0.00382388
i=180, err2=0.000339085, errA = 0.00380219
i=181, err2=0.000189837, errA = 0.00375569
i=182, err2=0.000423216, errA = 0.0037141
i=183, err2=0.000110638, errA = 0.00368102
i=184, err2=0.000178937, errA = 0.00367382
i=185, err2=0.000271474, errA = 0.00363467
i=186, err2=0.00035827, errA = 0.00359836
i=187, err2=0.000326481, errA = 0.00356727
i=188, err2=0.000461158, errA = 0.00352868
i=189, err2=0.000117339, errA = 0.003469
i=190, err2=9.84887e-05, errA = 0.0034652
i=191, err2=0.000269727, errA = 0.00344832
i=192, err2=0.000204788, errA = 0.00343597
i=193, err2=0.000163832, errA = 0.00340476
i=194, err2=0.000132369, errA = 0.00331322
i=195, err2=0.000165169, errA = 0.00329258
i=196, err2=8.29168e-05, errA = 0.00328835
i=197, err2=0.000132509, errA = 0.00328572
i=198, err2=0.000300031, errA = 0.003251
i=199, err2=0.00010677, errA = 0.00321318
i=200, err2=9.75777e-05, errA = 0.00320739
i=201, err2=0.000118189, errA = 0.00320041
i=202, err2=0.000126623, errA = 0.00319546
i=203, err2=0.000124235, errA = 0.00319087
i=204, err2=6.94863e-05, errA = 0.00318781
i=205, err2=0.000172251, errA = 0.00317582
i=206, err2=0.000160021, errA = 0.00316797
i=207, err2=0.000171968, errA = 0.00315828
i=208, err2=0.000357374, errA = 0.0031078
i=209, err2=0.000114104, errA = 0.00308137
i=210, err2=6.17027e-05, errA = 0.00307925
i=211, err2=0.000106571, errA = 0.00307509
i=212, err2=0.000186636, errA = 0.00305976
i=213, err2=0.000269282, errA = 0.00301963
i=214, err2=0.00012145, errA = 0.00300927
i=215, err2=0.000210261, errA = 0.00300045
i=216, err2=0.000108911, errA = 0.00298627
i=217, err2=0.000160916, errA = 0.00297688
i=218, err2=0.000143227, errA = 0.0029686
i=219, err2=0.000116596, errA = 0.002961
i=220, err2=0.000160174, errA = 0.00295365
i=221, err2=9.12875e-05, errA = 0.00294899
i=222, err2=0.000225157, errA = 0.0029111
i=223, err2=0.000162591, errA = 0.00289499
i=224, err2=7.35826e-05, errA = 0.00288895
i=225, err2=8.56219e-05, errA = 0.00288325
i=226, err2=0.000206075, errA = 0.00287129
i=227, err2=9.18344e-05, errA = 0.00285779
i=228, err2=0.000159041, errA = 0.00284853
i=229, err2=0.000136612, errA = 0.00284284
i=230, err2=0.000254661, errA = 0.00280277
i=231, err2=5.27081e-05, errA = 0.00278416
i=232, err2=7.22479e-05, errA = 0.00278319
i=233, err2=5.30625e-05, errA = 0.00278123
i=234, err2=0.000142739, errA = 0.00277437
i=235, err2=0.000200677, errA = 0.00275023
i=236, err2=7.25245e-05, errA = 0.00273102
i=237, err2=0.000132725, errA = 0.00272265
i=238, err2=0.000157353, errA = 0.00271477
i=239, err2=0.000237154, errA = 0.00269956
i=240, err2=0.000139425, errA = 0.00267479
i=241, err2=0.000123794, errA = 0.00266834
i=242, err2=0.000321702, errA = 0.0026324
i=243, err2=0.000390285, errA = 0.00259368
i=244, err2=5.72649e-05, errA = 0.00254096
i=245, err2=9.23275e-05, errA = 0.00253911
i=246, err2=7.97628e-05, errA = 0.00253358
i=247, err2=0.000279352, errA = 0.00251597
i=248, err2=0.000252258, errA = 0.00249122
i=249, err2=0.000207333, errA = 0.00244885
i=250, err2=7.94567e-05, errA = 0.0024375
i=251, err2=7.47671e-05, errA = 0.00242848
i=252, err2=0.000100168, errA = 0.0024258
i=253, err2=0.000145077, errA = 0.00241031
i=254, err2=5.20393e-05, errA = 0.00240522
i=255, err2=0.000129778, errA = 0.00240086
i=256, err2=0.000171558, errA = 0.00239121
i=257, err2=0.000325088, errA = 0.00234089
i=258, err2=0.000148273, errA = 0.00231959
i=259, err2=0.000134817, errA = 0.00230305
i=260, err2=6.39166e-05, errA = 0.00229988
i=261, err2=6.16563e-05, errA = 0.0022976
i=262, err2=0.000289422, errA = 0.00226879
i=263, err2=0.000153062, errA = 0.00223754
i=264, err2=8.99188e-05, errA = 0.00222654
i=265, err2=6.95765e-05, errA = 0.00221863
i=266, err2=8.5981e-05, errA = 0.00221544
i=267, err2=0.000127664, errA = 0.00220855
i=268, err2=9.79841e-05, errA = 0.0021945
i=269, err2=6.21338e-05, errA = 0.00218549
i=270, err2=0.000124136, errA = 0.00217917
i=271, err2=7.57224e-05, errA = 0.00217528
i=272, err2=6.07277e-05, errA = 0.00217239
i=273, err2=6.39304e-05, errA = 0.00216076
i=274, err2=4.99662e-05, errA = 0.00215979
i=275, err2=6.78075e-05, errA = 0.00215386
i=276, err2=5.03082e-05, errA = 0.00215289
i=277, err2=0.000158766, errA = 0.00214334
i=278, err2=8.47851e-05, errA = 0.00210676
i=279, err2=5.45993e-05, errA = 0.00210437
i=280, err2=9.59986e-05, errA = 0.00210016
i=281, err2=8.40201e-05, errA = 0.00209499
i=282, err2=8.43012e-05, errA = 0.00209165
i=283, err2=7.08215e-05, errA = 0.00208669
i=284, err2=6.18898e-05, errA = 0.00208406
i=285, err2=4.43432e-05, errA = 0.00208313
i=286, err2=0.000108111, errA = 0.00207589
i=287, err2=6.63233e-05, errA = 0.00207297
