Avgstr = 337.5315329489777696
CG Iteration #1, relres 0.9984621258098728
CG Iteration #2, relres 0.9976496606867769
CG Iteration #3, relres 0.9936357498474300
CG Iteration #4, relres 0.9911413392268615
CG Iteration #5, relres 0.9890465562762014
CG Iteration #6, relres 0.9868259122005406
CG Iteration #7, relres 0.9801673221263435
CG Iteration #8, relres 0.9773729323646362
CG Iteration #9, relres 0.9761008106436473
CG Iteration #10, relres 0.9704428309966345
CG Iteration #11, relres 0.9649844560869743
CG Iteration #12, relres 0.9632000891952267
CG Iteration #13, relres 0.9615601387263385
CG Iteration #14, relres 0.9582707989155086
CG Iteration #15, relres 0.9551143650246589
CG Iteration #16, relres 0.9537780705965015
CG Iteration #17, relres 0.9522558170775888
CG Iteration #18, relres 0.9471982199686447
CG Iteration #19, relres 0.9453383192515397
CG Iteration #20, relres 0.9444177759041408
CG Iteration #21, relres 0.9403705990055318
CG Iteration #22, relres 0.9353149454412736
CG Iteration #23, relres 0.9344214291314064
CG Iteration #24, relres 0.9286926052247523
CG Iteration #25, relres 0.9257347402896476
CG Iteration #26, relres 0.9181631442679247
CG Iteration #27, relres 0.9168450011443499
CG Iteration #28, relres 0.9073701970897129
CG Iteration #29, relres 0.9046933753254501
CG Iteration #30, relres 0.8962386860543258
CG Iteration #31, relres 0.8855154982038720
CG Iteration #32, relres 0.8768756529846375
CG Iteration #33, relres 0.8654221063418636
CG Iteration #34, relres 0.8527646996461292
CG Iteration #35, relres 0.8524861430665973
CG Iteration #36, relres 0.8467382980311343
CG Iteration #37, relres 0.8457694507735823
CG Iteration #38, relres 0.8362425882481551
CG Iteration #39, relres 0.8341190958865986
CG Iteration #40, relres 0.8273068521093658
CG Iteration #41, relres 0.8262077723963864
CG Iteration #42, relres 0.8184638101381602
CG Iteration #43, relres 0.8175452785868771
CG Iteration #44, relres 0.8095257328669432
CG Iteration #45, relres 0.8081645055930996
CG Iteration #46, relres 0.8010672930456135
CG Iteration #47, relres 0.7965135614498062
CG Iteration #48, relres 0.7950982985136513
CG Iteration #49, relres 0.7895365144376411
CG Iteration #50, relres 0.7879863876005160
CG Iteration #51, relres 0.7837844932916365
CG Iteration #52, relres 0.7739542911150847
CG Iteration #53, relres 0.7729118625104355
CG Iteration #54, relres 0.7659235360261192
CG Iteration #55, relres 0.7627443268222432
CG Iteration #56, relres 0.7541126943549367
CG Iteration #57, relres 0.7519810225859205
CG Iteration #58, relres 0.7424710473278568
CG Iteration #59, relres 0.7409844264838636
CG Iteration #60, relres 0.7361848606357307
CG Iteration #61, relres 0.7295047853398927
CG Iteration #62, relres 0.7283952067911497
CG Iteration #63, relres 0.7183191792396438
CG Iteration #64, relres 0.7097857639497794
CG Iteration #65, relres 0.7089891962701717
CG Iteration #66, relres 0.7078613396321038
CG Iteration #67, relres 0.6982247647401700
CG Iteration #68, relres 0.6969587708723716
CG Iteration #69, relres 0.6929103348285344
CG Iteration #70, relres 0.6900264945505774
CG Iteration #71, relres 0.6881555238784786
CG Iteration #72, relres 0.6782201763437883
CG Iteration #73, relres 0.6765506602707292
CG Iteration #74, relres 0.6662264551359712
CG Iteration #75, relres 0.6649031021499712
CG Iteration #76, relres 0.6627141013783375
CG Iteration #77, relres 0.6578518126977635
CG Iteration #78, relres 0.6570275875588952
CG Iteration #79, relres 0.6466644591198363
CG Iteration #80, relres 0.6460335356986668
CG Iteration #81, relres 0.6383896340467965
CG Iteration #82, relres 0.6350107049124055
CG Iteration #83, relres 0.6338684207887556
CG Iteration #84, relres 0.6305895170835140
CG Iteration #85, relres 0.6174638417924878
CG Iteration #86, relres 0.6170345182050098
CG Iteration #87, relres 0.6070951511972510
CG Iteration #88, relres 0.6061495869203207
CG Iteration #89, relres 0.6000413830521741
CG Iteration #90, relres 0.5985702966310751
CG Iteration #91, relres 0.5870724043013734
CG Iteration #92, relres 0.5856266028761009
CG Iteration #93, relres 0.5796792605942690
CG Iteration #94, relres 0.5757501077711010
CG Iteration #95, relres 0.5618394779376084
CG Iteration #96, relres 0.5607995564413119
CG Iteration #97, relres 0.5578993225018662
CG Iteration #98, relres 0.5561492309441703
CG Iteration #99, relres 0.5510652851967505
CG Iteration #100, relres 0.5430177580348186
CG Iteration #101, relres 0.5423310569479269
CG Iteration #102, relres 0.5355384473047617
CG Iteration #103, relres 0.5282516018118458
CG Iteration #104, relres 0.5272372036270015
CG Iteration #105, relres 0.5242048882168259
CG Iteration #106, relres 0.5176491318138779
CG Iteration #107, relres 0.5167829215660560
CG Iteration #108, relres 0.5144195528452056
CG Iteration #109, relres 0.5063189414006709
CG Iteration #110, relres 0.5057874124164199
CG Iteration #111, relres 0.5049449924286847
CG Iteration #112, relres 0.4985366909459829
CG Iteration #113, relres 0.4976587827583416
CG Iteration #114, relres 0.4954831170282387
CG Iteration #115, relres 0.4892625220995265
CG Iteration #116, relres 0.4860698751163590
CG Iteration #117, relres 0.4804776910230477
CG Iteration #118, relres 0.4781646250895900
CG Iteration #119, relres 0.4726398246404976
CG Iteration #120, relres 0.4680498440198749
CG Iteration #121, relres 0.4671791664855246
CG Iteration #122, relres 0.4668658530399345
CG Iteration #123, relres 0.4569952162375753
CG Iteration #124, relres 0.4563847206590192
CG Iteration #125, relres 0.4501201130464356
CG Iteration #126, relres 0.4472875972555801
CG Iteration #127, relres 0.4468673297832558
CG Iteration #128, relres 0.4369359980415367
CG Iteration #129, relres 0.4305363964954118
CG Iteration #130, relres 0.4275630017689261
CG Iteration #131, relres 0.4268506738490960
CG Iteration #132, relres 0.4197865654783847
CG Iteration #133, relres 0.4166652491228545
CG Iteration #134, relres 0.4061199719829503
CG Iteration #135, relres 0.4052188535422148
CG Iteration #136, relres 0.4048125299487081
CG Iteration #137, relres 0.4000213192411294
CG Iteration #138, relres 0.3958112173105695
CG Iteration #139, relres 0.3949768752714709
CG Iteration #140, relres 0.3879626922971970
CG Iteration #141, relres 0.3874192963778460
CG Iteration #142, relres 0.3843873742336036
CG Iteration #143, relres 0.3830691077097454
CG Iteration #144, relres 0.3770373044156544
CG Iteration #145, relres 0.3766775129761096
CG Iteration #146, relres 0.3739886857745259
CG Iteration #147, relres 0.3690402305408193
CG Iteration #148, relres 0.3639392829387104
CG Iteration #149, relres 0.3625645284259948
CG Iteration #150, relres 0.3613124286115105
CG Iteration #151, relres 0.3584456599722879
CG Iteration #152, relres 0.3582529785683927
CG Iteration #153, relres 0.3540454628071305
CG Iteration #154, relres 0.3519945958412298
CG Iteration #155, relres 0.3513265530448057
CG Iteration #156, relres 0.3475353439193637
CG Iteration #157, relres 0.3462668007948476
CG Iteration #158, relres 0.3447351653577535
CG Iteration #159, relres 0.3439432493989396
CG Iteration #160, relres 0.3436296860605690
CG Iteration #161, relres 0.3404296135155006
CG Iteration #162, relres 0.3371313215257591
CG Iteration #163, relres 0.3367255892793466
CG Iteration #164, relres 0.3291503921272834
CG Iteration #165, relres 0.3286120745465768
CG Iteration #166, relres 0.3261207997742970
CG Iteration #167, relres 0.3245305534461472
CG Iteration #168, relres 0.3195239416742398
CG Iteration #169, relres 0.3191072810679567
CG Iteration #170, relres 0.3175471768378696
CG Iteration #171, relres 0.3157889905940351
CG Iteration #172, relres 0.3117799565426393
CG Iteration #173, relres 0.3107393498423934
CG Iteration #174, relres 0.3059813737675218
CG Iteration #175, relres 0.3043679160749700
CG Iteration #176, relres 0.3017779659002099
CG Iteration #177, relres 0.3016289373519546
CG Iteration #178, relres 0.3002731706831078
CG Iteration #179, relres 0.2966746146989865
CG Iteration #180, relres 0.2954458950529685
CG Iteration #181, relres 0.2925201411836777
CG Iteration #182, relres 0.2919332235644788
CG Iteration #183, relres 0.2916274927398918
CG Iteration #184, relres 0.2873106824004500
CG Iteration #185, relres 0.2825971131319310
CG Iteration #186, relres 0.2776639824317706
CG Iteration #187, relres 0.2772662083117691
CG Iteration #188, relres 0.2764925044352148
CG Iteration #189, relres 0.2746676444189107
CG Iteration #190, relres 0.2739055340223339
CG Iteration #191, relres 0.2692586455092860
CG Iteration #192, relres 0.2688708346700079
CG Iteration #193, relres 0.2633989105811292
CG Iteration #194, relres 0.2627680591437975
CG Iteration #195, relres 0.2613001681345030
CG Iteration #196, relres 0.2611574216989839
CG Iteration #197, relres 0.2583064638470041
CG Iteration #198, relres 0.2535584460657324
CG Iteration #199, relres 0.2523464530164635
CG Iteration #200, relres 0.2512594337556267
CG Iteration #201, relres 0.2478576409839715
CG Iteration #202, relres 0.2454459364931205
CG Iteration #203, relres 0.2450381836445670
CG Iteration #204, relres 0.2448233489628303
CG Iteration #205, relres 0.2426943360865679
CG Iteration #206, relres 0.2422123714029421
CG Iteration #207, relres 0.2399919660300193
CG Iteration #208, relres 0.2387250543740417
CG Iteration #209, relres 0.2383143520246224
CG Iteration #210, relres 0.2375747285755725
CG Iteration #211, relres 0.2365259978938490
CG Iteration #212, relres 0.2360311106403475
CG Iteration #213, relres 0.2354635711413066
CG Iteration #214, relres 0.2303011906620228
CG Iteration #215, relres 0.2292487666910496
CG Iteration #216, relres 0.2271760151764164
CG Iteration #217, relres 0.2236552266515060
CG Iteration #218, relres 0.2233149837515300
CG Iteration #219, relres 0.2217812496099874
CG Iteration #220, relres 0.2185907343980051
CG Iteration #221, relres 0.2161501447797063
CG Iteration #222, relres 0.2158337012079110
CG Iteration #223, relres 0.2136564747272190
CG Iteration #224, relres 0.2130331226365826
CG Iteration #225, relres 0.2084056859148592
CG Iteration #226, relres 0.2082459132682940
CG Iteration #227, relres 0.2052736731260286
CG Iteration #228, relres 0.2046103296617895
CG Iteration #229, relres 0.2015360493175696
CG Iteration #230, relres 0.2014400531881853
CG Iteration #231, relres 0.1998001339987375
CG Iteration #232, relres 0.1962522906078746
CG Iteration #233, relres 0.1959700478146673
CG Iteration #234, relres 0.1913778157269585
CG Iteration #235, relres 0.1904962144607581
CG Iteration #236, relres 0.1896550981862731
CG Iteration #237, relres 0.1889222221031576
CG Iteration #238, relres 0.1848649571807582
CG Iteration #239, relres 0.1843186568901017
CG Iteration #240, relres 0.1838964396170112
CG Iteration #241, relres 0.1820193364342732
CG Iteration #242, relres 0.1812126467160226
CG Iteration #243, relres 0.1793347125041094
CG Iteration #244, relres 0.1784560173030553
CG Iteration #245, relres 0.1775715606022625
CG Iteration #246, relres 0.1757522843411745
CG Iteration #247, relres 0.1733843827403080
CG Iteration #248, relres 0.1729011202141855
CG Iteration #249, relres 0.1720005077442668
CG Iteration #250, relres 0.1713496370646230
CG Iteration #251, relres 0.1659722870616090
CG Iteration #252, relres 0.1656679047969199
CG Iteration #253, relres 0.1613687879480480
CG Iteration #254, relres 0.1611108268546926
CG Iteration #255, relres 0.1607401948161795
CG Iteration #256, relres 0.1583188756091536
