CG Iteration #1, relres 0.2981423969999720, actualerr(2-norm) 0.9928447717245333, actualerr(A-norm) 0.2222222222222222
CG Iteration #31, relres 0.0000000002016373, actualerr(2-norm) 0.9113724349278918, actualerr(A-norm) 0.0000000001164153
CG Iteration #32, relres 0.0000003227740892, actualerr(2-norm) 0.9086273712196818, actualerr(A-norm) 0.0000000000582772
CG Iteration #33, relres 0.0000000001008186, actualerr(2-norm) 0.9086251785761353, actualerr(A-norm) 0.0000000000582077
CG Iteration #34, relres 0.0000000867909054, actualerr(2-norm) 0.9058702258327612, actualerr(A-norm) 0.0000000000291139
CG Iteration #35, relres 0.0000000000504093, actualerr(2-norm) 0.9058695905816541, actualerr(A-norm) 0.0000000000291038
CG Iteration #36, relres 0.0000001497867002, actualerr(2-norm) 0.9031132294452691, actualerr(A-norm) 0.0000000000146120
CG Iteration #37, relres 0.0000000000252047, actualerr(2-norm) 0.9031055946784979, actualerr(A-norm) 0.0000000000145519
CG Iteration #38, relres 0.0000000405350908, actualerr(2-norm) 0.9003353470118092, actualerr(A-norm) 0.0000000000072847
CG Iteration #39, relres 0.0000000000126023, actualerr(2-norm) 0.9003331134303115, actualerr(A-norm) 0.0000000000072760
CG Iteration #40, relres 0.0000000375263951, actualerr(2-norm) 0.8975597831586662, actualerr(A-norm) 0.0000000000036531
CG Iteration #41, relres 0.0000000000063012, actualerr(2-norm) 0.8975520682048902, actualerr(A-norm) 0.0000000000036380
CG Iteration #42, relres 0.0000000479818677, actualerr(2-norm) 0.8948148275780570, actualerr(A-norm) 0.0000000000018695
CG Iteration #43, relres 0.0000000000031506, actualerr(2-norm) 0.8947623791480923, actualerr(A-norm) 0.0000000000018190
CG Iteration #44, relres 0.0000000054268905, actualerr(2-norm) 0.8919665521379779, actualerr(A-norm) 0.0000000000009108
CG Iteration #45, relres 0.0000000000015753, actualerr(2-norm) 0.8919639651570538, actualerr(A-norm) 0.0000000000009095
CG Iteration #46, relres 0.0000000060387447, actualerr(2-norm) 0.8891697038715978, actualerr(A-norm) 0.0000000000004579
CG Iteration #47, relres 0.0000000000007876, actualerr(2-norm) 0.8891567438526593, actualerr(A-norm) 0.0000000000004547
CG Iteration #48, relres 0.0000000014909483, actualerr(2-norm) 0.8863437769110487, actualerr(A-norm) 0.0000000000002278
CG Iteration #49, relres 0.0000000000003938, actualerr(2-norm) 0.8863406315512385, actualerr(A-norm) 0.0000000000002274
CG Iteration #50, relres 0.0000000013444916, actualerr(2-norm) 0.8835258655384193, actualerr(A-norm) 0.0000000000001143
CG Iteration #51, relres 0.0000000000001969, actualerr(2-norm) 0.8835155432354548, actualerr(A-norm) 0.0000000000001137
CG Iteration #52, relres 0.0000000004726061, actualerr(2-norm) 0.8806864894605002, actualerr(A-norm) 0.0000000000000570
CG Iteration #53, relres 0.0000000000000985, actualerr(2-norm) 0.8806813925243550, actualerr(A-norm) 0.0000000000000568
CG Iteration #54, relres 0.0000000009905635, actualerr(2-norm) 0.8779345841174037, actualerr(A-norm) 0.0000000000000298
CG Iteration #55, relres 0.0000000000000492, actualerr(2-norm) 0.8778380916425507, actualerr(A-norm) 0.0000000000000284
CG Iteration #56, relres 0.0000000069750981, actualerr(2-norm) 0.8778294096674555, actualerr(A-norm) 0.0000000000000284
CG Iteration #57, relres 0.0000000002902437, actualerr(2-norm) 0.8750171581966431, actualerr(A-norm) 0.0000000000000144
CG Iteration #58, relres 0.0000000000000246, actualerr(2-norm) 0.8749855513884979, actualerr(A-norm) 0.0000000000000142
CG Iteration #59, relres 0.0000000169488047, actualerr(2-norm) 0.8747705418584624, actualerr(A-norm) 0.0000000000000138
CG Iteration #60, relres 0.0000000001622011, actualerr(2-norm) 0.8721635467039252, actualerr(A-norm) 0.0000000000000073
CG Iteration #61, relres 0.0000000000000123, actualerr(2-norm) 0.8721236811018452, actualerr(A-norm) 0.0000000000000071
CG Iteration #62, relres 0.0000000049526159, actualerr(2-norm) 0.8720522381706826, actualerr(A-norm) 0.0000000000000070
CG Iteration #63, relres 0.0000000001156403, actualerr(2-norm) 0.8693365218750663, actualerr(A-norm) 0.0000000000000037
CG Iteration #64, relres 0.0000000000000062, actualerr(2-norm) 0.8692523886298114, actualerr(A-norm) 0.0000000000000036
CG Iteration #65, relres 0.0000000024389610, actualerr(2-norm) 0.8691829377322156, actualerr(A-norm) 0.0000000000000035
CG Iteration #66, relres 0.0000000000234732, actualerr(2-norm) 0.8663847497241254, actualerr(A-norm) 0.0000000000000018
CG Iteration #67, relres 0.0000000000000031, actualerr(2-norm) 0.8663715802925628, actualerr(A-norm) 0.0000000000000018
CG Iteration #68, relres 0.0000000018732565, actualerr(2-norm) 0.8662037059139442, actualerr(A-norm) 0.0000000000000017
CG Iteration #69, relres 0.0000000000162309, actualerr(2-norm) 0.8635066730721226, actualerr(A-norm) 0.0000000000000009
CG Iteration #70, relres 0.0000000000000015, actualerr(2-norm) 0.8634811608475499, actualerr(A-norm) 0.0000000000000009
CG Iteration #71, relres 0.0000000005205310, actualerr(2-norm) 0.8634304078282247, actualerr(A-norm) 0.0000000000000009
CG Iteration #72, relres 0.0000000000028743, actualerr(2-norm) 0.8605841894787434, actualerr(A-norm) 0.0000000000000004
CG Iteration #73, relres 0.0000000000000008, actualerr(2-norm) 0.8605810334527669, actualerr(A-norm) 0.0000000000000004
CG Iteration #74, relres 0.0000000002348309, actualerr(2-norm) 0.8605396535686900, actualerr(A-norm) 0.0000000000000004
CG Iteration #75, relres 0.0000000000023392, actualerr(2-norm) 0.8576795234295536, actualerr(A-norm) 0.0000000000000002
CG Iteration #76, relres 0.0000000000000004, actualerr(2-norm) 0.8576710996288918, actualerr(A-norm) 0.0000000000000002
CG Iteration #77, relres 0.0000000000998368, actualerr(2-norm) 0.8576411480292412, actualerr(A-norm) 0.0000000000000002
CG Iteration #78, relres 0.0000000000018646, actualerr(2-norm) 0.8547729610410100, actualerr(A-norm) 0.0000000000000001
CG Iteration #79, relres 0.0000000000000005, actualerr(2-norm) 0.8547512592202672, actualerr(A-norm) 0.0000000000000001
CG Iteration #80, relres 0.0000000000000002, actualerr(2-norm) 0.8547512592202672, actualerr(A-norm) 0.0000000000000001
CG Iteration #81, relres 0.0000000002830065, actualerr(2-norm) 0.8528960362936656, actualerr(A-norm) 0.0000000000000001
CG Iteration #82, relres 0.0000000000005443, actualerr(2-norm) 0.8518287499436012, actualerr(A-norm) 0.0000000000000001
CG Iteration #83, relres 0.0000000000000001, actualerr(2-norm) 0.8518214103546777, actualerr(A-norm) 0.0000000000000001
CG Iteration #84, relres 0.0000000000000002, actualerr(2-norm) 0.8518214103546777, actualerr(A-norm) 0.0000000000000001
CG Iteration #85, relres 0.0000000000207540, actualerr(2-norm) 0.8518005987250671, actualerr(A-norm) 0.0000000000000001
CG Iteration #86, relres 0.0000000000000288, actualerr(2-norm) 0.8488815313729520, actualerr(A-norm) 0.0000000000000000
CG Iteration #87, relres 0.0000000000000001, actualerr(2-norm) 0.8488814494018775, actualerr(A-norm) 0.0000000000000000
CG Iteration #88, relres 0.0000000000000001, actualerr(2-norm) 0.8488814494018775, actualerr(A-norm) 0.0000000000000000
CG Iteration #89, relres 0.0000000000302544, actualerr(2-norm) 0.8486978793501877, actualerr(A-norm) 0.0000000000000000
CG Iteration #90, relres 0.0000000000002901, actualerr(2-norm) 0.8459655500312441, actualerr(A-norm) 0.0000000000000000
CG Iteration #91, relres 0.0000000000000000, actualerr(2-norm) 0.8459312709308200, actualerr(A-norm) 0.0000000000000000
CG Iteration #92, relres 0.0000000000000002, actualerr(2-norm) 0.8459312709308199, actualerr(A-norm) 0.0000000000000000
CG Iteration #93, relres 0.0000000000010687, actualerr(2-norm) 0.8459303852517563, actualerr(A-norm) 0.0000000000000000
CG Iteration #94, relres 0.0000000000001394, actualerr(2-norm) 0.8430025018185927, actualerr(A-norm) 0.0000000000000000
CG Iteration #95, relres 0.0000000000000000, actualerr(2-norm) 0.8429707676655415, actualerr(A-norm) 0.0000000000000000
CG Iteration #96, relres 0.0000000000000000, actualerr(2-norm) 0.8429707676655415, actualerr(A-norm) 0.0000000000000000
CG Iteration #97, relres 0.0000000000055912, actualerr(2-norm) 0.8400767156030683, actualerr(A-norm) 0.0000000000000000
CG Iteration #98, relres 0.0000000000000626, actualerr(2-norm) 0.8400253396512614, actualerr(A-norm) 0.0000000000000000
CG Iteration #99, relres 0.0000000000000000, actualerr(2-norm) 0.8399998304396450, actualerr(A-norm) 0.0000000000000000
CG Iteration #100, relres 0.0000000000000001, actualerr(2-norm) 0.8399998304396448, actualerr(A-norm) 0.0000000000000000
n = 200 iter = 99 time = 0.190s relres = 0.0000000000000000
