CG Iteration #53, relres 0.0000000000001035, actualerr(2-norm) 0.8605810334555198, actualerr(A-norm) 0.0000000000000004
CG Iteration #54, relres 0.0000000000000008, actualerr(2-norm) 0.8605810334550218, actualerr(A-norm) 0.0000000000000004
CG Iteration #55, relres 0.0000000000000596, actualerr(2-norm) 0.8576710996318172, actualerr(A-norm) 0.0000000000000002
CG Iteration #56, relres 0.0000000000000004, actualerr(2-norm) 0.8576710996311543, actualerr(A-norm) 0.0000000000000002
CG Iteration #57, relres 0.0000000000000203, actualerr(2-norm) 0.8547512592228477, actualerr(A-norm) 0.0000000000000001
CG Iteration #58, relres 0.0000000000000002, actualerr(2-norm) 0.8547512592225374, actualerr(A-norm) 0.0000000000000001
CG Iteration #59, relres 0.0000000000000053, actualerr(2-norm) 0.8518214103570398, actualerr(A-norm) 0.0000000000000001
CG Iteration #60, relres 0.0000000000000001, actualerr(2-norm) 0.8518214103569558, actualerr(A-norm) 0.0000000000000001
CG Iteration #61, relres 0.0000000000000030, actualerr(2-norm) 0.8488814494042715, actualerr(A-norm) 0.0000000000000000
CG Iteration #62, relres 0.0000000000000000, actualerr(2-norm) 0.8488814494041634, actualerr(A-norm) 0.0000000000000000
CG Iteration #63, relres 0.0000000000000039, actualerr(2-norm) 0.8459312709338457, actualerr(A-norm) 0.0000000000000000
CG Iteration #64, relres 0.0000000000000000, actualerr(2-norm) 0.8459312709331138, actualerr(A-norm) 0.0000000000000000
CG Iteration #65, relres 0.0000000000000005, actualerr(2-norm) 0.8429707676678847, actualerr(A-norm) 0.0000000000000000
CG Iteration #66, relres 0.0000000000000000, actualerr(2-norm) 0.8429707676678434, actualerr(A-norm) 0.0000000000000000
CG Iteration #67, relres 0.0000000000000012, actualerr(2-norm) 0.8399998304431081, actualerr(A-norm) 0.0000000000000000
CG Iteration #68, relres 0.0000000000000000, actualerr(2-norm) 0.8399998304419550, actualerr(A-norm) 0.0000000000000000
CG Iteration #69, relres 0.0000000000000007, actualerr(2-norm) 0.8370183481530354, actualerr(A-norm) 0.0000000000000000
CG Iteration #70, relres 0.0000000000000000, actualerr(2-norm) 0.8370183481516479, actualerr(A-norm) 0.0000000000000000
CG Iteration #71, relres 0.0000000000000003, actualerr(2-norm) 0.8340262077083080, actualerr(A-norm) 0.0000000000000000
CG Iteration #72, relres 0.0000000000000000, actualerr(2-norm) 0.8340262077072358, actualerr(A-norm) 0.0000000000000000
CG Iteration #73, relres 0.0000000000000001, actualerr(2-norm) 0.8310232939833769, actualerr(A-norm) 0.0000000000000000
CG Iteration #74, relres 0.0000000000000000, actualerr(2-norm) 0.8310232939830948, actualerr(A-norm) 0.0000000000000000
CG Iteration #75, relres 0.0000000000000001, actualerr(2-norm) 0.8280094897666110, actualerr(A-norm) 0.0000000000000000
CG Iteration #76, relres 0.0000000000000000, actualerr(2-norm) 0.8280094897659768, actualerr(A-norm) 0.0000000000000000
CG Iteration #77, relres 0.0000000000000000, actualerr(2-norm) 0.8249846757018178, actualerr(A-norm) 0.0000000000000000
CG Iteration #78, relres 0.0000000000000000, actualerr(2-norm) 0.8249846757016237, actualerr(A-norm) 0.0000000000000000
CG Iteration #79, relres 0.0000000000286067, actualerr(2-norm) 0.8249436985385885, actualerr(A-norm) 0.0000000000000000
CG Iteration #80, relres 0.0000000000000000, actualerr(2-norm) 0.8219487302447663, actualerr(A-norm) 0.0000000000000000
CG Iteration #81, relres 0.0000000000000000, actualerr(2-norm) 0.8219487302396137, actualerr(A-norm) 0.0000000000000000
CG Iteration #82, relres 0.0000000000653859, actualerr(2-norm) 0.8208199189972332, actualerr(A-norm) 0.0000000000000000
CG Iteration #83, relres 0.0000000000000000, actualerr(2-norm) 0.8189015295765266, actualerr(A-norm) 0.0000000000000000
CG Iteration #84, relres 0.0000000000000000, actualerr(2-norm) 0.8189015295763669, actualerr(A-norm) 0.0000000000000000
CG Iteration #85, relres 0.0000000000056695, actualerr(2-norm) 0.8158559923408146, actualerr(A-norm) 0.0000000000000000
CG Iteration #86, relres 0.0000000000000000, actualerr(2-norm) 0.8158429475975917, actualerr(A-norm) 0.0000000000000000
CG Iteration #87, relres 0.0000000000000000, actualerr(2-norm) 0.8158429475962351, actualerr(A-norm) 0.0000000000000000
CG Iteration #88, relres 0.0000000000167697, actualerr(2-norm) 0.8146025200218351, actualerr(A-norm) 0.0000000000000000
CG Iteration #89, relres 0.0000000000000000, actualerr(2-norm) 0.8127728558108743, actualerr(A-norm) 0.0000000000000000
CG Iteration #90, relres 0.0000000000000000, actualerr(2-norm) 0.8127728558105969, actualerr(A-norm) 0.0000000000000000
CG Iteration #91, relres 0.0000000000079139, actualerr(2-norm) 0.8103220917170716, actualerr(A-norm) 0.0000000000000000
CG Iteration #92, relres 0.0000000000000000, actualerr(2-norm) 0.8096911232987998, actualerr(A-norm) 0.0000000000000000
CG Iteration #93, relres 0.0000000000000000, actualerr(2-norm) 0.8096911232948730, actualerr(A-norm) 0.0000000000000000
n = 200 iter = 93 time = 0.253s relres = 0.0000000000000000
