Avgstr = 29.5470115383395644
CG Iteration #1, relres 0.9995913536809499
CG Iteration #2, relres 0.9991940895653313
CG Iteration #3, relres 0.9985368317464463
CG Iteration #4, relres 0.9975279009171835
CG Iteration #5, relres 0.9968063276021154
CG Iteration #6, relres 0.9957907726207718
CG Iteration #7, relres 0.9946873620143022
CG Iteration #8, relres 0.9938097449194345
CG Iteration #9, relres 0.9926092254263573
CG Iteration #10, relres 0.9914171345696415
CG Iteration #11, relres 0.9902972179131004
CG Iteration #12, relres 0.9889142698046406
CG Iteration #13, relres 0.9870997405774082
CG Iteration #14, relres 0.9857281505818969
CG Iteration #15, relres 0.9838473517984789
CG Iteration #16, relres 0.9819507653042505
CG Iteration #17, relres 0.9803278408622467
CG Iteration #18, relres 0.9781082008611853
CG Iteration #19, relres 0.9757317115725825
CG Iteration #20, relres 0.9732180615011921
CG Iteration #21, relres 0.9693269474555866
CG Iteration #22, relres 0.9660852908590956
CG Iteration #23, relres 0.9620683540427059
CG Iteration #24, relres 0.9577256734709549
CG Iteration #25, relres 0.9537877250319842
CG Iteration #26, relres 0.9490944308220814
CG Iteration #27, relres 0.9430139123486184
CG Iteration #28, relres 0.9382221185157280
CG Iteration #29, relres 0.9326415607020251
CG Iteration #30, relres 0.9271225590902642
CG Iteration #31, relres 0.9211407180260882
CG Iteration #32, relres 0.9131029929677930
CG Iteration #33, relres 0.9075930657989182
CG Iteration #34, relres 0.9047616977752594
CG Iteration #35, relres 0.8974368315861512
CG Iteration #36, relres 0.8888463018907459
CG Iteration #37, relres 0.8811677617290212
CG Iteration #38, relres 0.8732453160209298
CG Iteration #39, relres 0.8634843573001403
CG Iteration #40, relres 0.8542446030594639
CG Iteration #41, relres 0.8526399940716370
CG Iteration #42, relres 0.8430482592451864
CG Iteration #43, relres 0.8327029599482542
CG Iteration #44, relres 0.8207762408100009
CG Iteration #45, relres 0.8097955344069024
CG Iteration #46, relres 0.7964296932344583
CG Iteration #47, relres 0.7923190514490319
CG Iteration #48, relres 0.7810865475487007
CG Iteration #49, relres 0.7673673882924179
CG Iteration #50, relres 0.7537437713688132
CG Iteration #51, relres 0.7361316516540065
CG Iteration #52, relres 0.7213611238032801
CG Iteration #53, relres 0.7054962855866075
CG Iteration #54, relres 0.7014219883412584
CG Iteration #55, relres 0.6860194943310870
CG Iteration #56, relres 0.6707914722702876
CG Iteration #57, relres 0.6630299561623584
CG Iteration #58, relres 0.6548281811273974
CG Iteration #59, relres 0.6530230814321353
CG Iteration #60, relres 0.6376837410722245
CG Iteration #61, relres 0.6200330307599026
CG Iteration #62, relres 0.6164711748477791
CG Iteration #63, relres 0.6027388661313269
CG Iteration #64, relres 0.5982297939538492
CG Iteration #65, relres 0.5817099636611412
CG Iteration #66, relres 0.5655979565970165
CG Iteration #67, relres 0.5463500657408009
CG Iteration #68, relres 0.5283426775931707
CG Iteration #69, relres 0.5119953940938383
CG Iteration #70, relres 0.5008723915492987
CG Iteration #71, relres 0.4962080150102432
CG Iteration #72, relres 0.4923864874895899
CG Iteration #73, relres 0.4759909319574441
CG Iteration #74, relres 0.4607894476886197
CG Iteration #75, relres 0.4570816026841800
CG Iteration #76, relres 0.4398512271772885
CG Iteration #77, relres 0.4270891572483637
CG Iteration #78, relres 0.4092526518638526
CG Iteration #79, relres 0.3955677872403763
CG Iteration #80, relres 0.3914072660283646
CG Iteration #81, relres 0.3777197578430924
CG Iteration #82, relres 0.3761773522525634
CG Iteration #83, relres 0.3606939712037977
CG Iteration #84, relres 0.3571056939219016
CG Iteration #85, relres 0.3451860724565077
CG Iteration #86, relres 0.3333528564261947
CG Iteration #87, relres 0.3279638281964183
CG Iteration #88, relres 0.3142580394096715
CG Iteration #89, relres 0.3015561078387725
CG Iteration #90, relres 0.2901644508223322
CG Iteration #91, relres 0.2785177105764694
CG Iteration #92, relres 0.2754263432494601
CG Iteration #93, relres 0.2652131022775772
CG Iteration #94, relres 0.2621719627315711
CG Iteration #95, relres 0.2515195226162825
CG Iteration #96, relres 0.2428888726929326
CG Iteration #97, relres 0.2381265580601555
CG Iteration #98, relres 0.2262331640299620
CG Iteration #99, relres 0.2258608242460463
CG Iteration #100, relres 0.2176921395229000
CG Iteration #101, relres 0.2151901000582027
CG Iteration #102, relres 0.2118705254100041
CG Iteration #103, relres 0.2038457717215753
CG Iteration #104, relres 0.1976041750804308
CG Iteration #105, relres 0.1939118637649783
CG Iteration #106, relres 0.1921048472241346
CG Iteration #107, relres 0.1849268567426411
CG Iteration #108, relres 0.1776933043691022
CG Iteration #109, relres 0.1761548076880218
CG Iteration #110, relres 0.1755900673713544
CG Iteration #111, relres 0.1743937157922075
CG Iteration #112, relres 0.1677025028376858
CG Iteration #113, relres 0.1602946795321807
CG Iteration #114, relres 0.1530844277479028
CG Iteration #115, relres 0.1463267583811484
CG Iteration #116, relres 0.1433150348675051
CG Iteration #117, relres 0.1405268825842829
CG Iteration #118, relres 0.1385030752250641
CG Iteration #119, relres 0.1329755354725684
CG Iteration #120, relres 0.1295374086718820
CG Iteration #121, relres 0.1270814550073633
CG Iteration #122, relres 0.1226645585337349
CG Iteration #123, relres 0.1209053899162222
CG Iteration #124, relres 0.1183691644101634
CG Iteration #125, relres 0.1151996470682976
CG Iteration #126, relres 0.1110158253169861
CG Iteration #127, relres 0.1096743132716262
CG Iteration #128, relres 0.1050196598454607
CG Iteration #129, relres 0.1046671056184615
CG Iteration #130, relres 0.1021929174485690
CG Iteration #131, relres 0.0994997747058724
CG Iteration #132, relres 0.0951910217856487
CG Iteration #133, relres 0.0934247287243525
CG Iteration #134, relres 0.0920901758968024
CG Iteration #135, relres 0.0913695459444891
CG Iteration #136, relres 0.0901086219304805
CG Iteration #137, relres 0.0861551080092659
CG Iteration #138, relres 0.0840070453674619
CG Iteration #139, relres 0.0818733094898638
CG Iteration #140, relres 0.0813135018419831
CG Iteration #141, relres 0.0777866774586173
CG Iteration #142, relres 0.0748202800341757
CG Iteration #143, relres 0.0742821677691213
CG Iteration #144, relres 0.0726300726917320
CG Iteration #145, relres 0.0706419654740340
CG Iteration #146, relres 0.0680699951792214
CG Iteration #147, relres 0.0672799496277751
CG Iteration #148, relres 0.0643792108858466
CG Iteration #149, relres 0.0641394528011341
CG Iteration #150, relres 0.0628687895710737
CG Iteration #151, relres 0.0611655593719353
CG Iteration #152, relres 0.0609682498203917
CG Iteration #153, relres 0.0586978344150798
CG Iteration #154, relres 0.0573701775299805
CG Iteration #155, relres 0.0563193443870264
CG Iteration #156, relres 0.0541648930159033
CG Iteration #157, relres 0.0532848535885077
CG Iteration #158, relres 0.0530618913720971
CG Iteration #159, relres 0.0524363078063675
CG Iteration #160, relres 0.0516791521723314
CG Iteration #161, relres 0.0506377941849448
CG Iteration #162, relres 0.0486542708834995
CG Iteration #163, relres 0.0477178127350320
CG Iteration #164, relres 0.0461873784980691
CG Iteration #165, relres 0.0442045355955779
CG Iteration #166, relres 0.0426559697151803
CG Iteration #167, relres 0.0423530156600551
CG Iteration #168, relres 0.0408676466706981
CG Iteration #169, relres 0.0392110454383237
CG Iteration #170, relres 0.0387085939856321
CG Iteration #171, relres 0.0382401599477364
CG Iteration #172, relres 0.0375093339910717
CG Iteration #173, relres 0.0370394402426886
CG Iteration #174, relres 0.0368656259568316
CG Iteration #175, relres 0.0353191805307733
CG Iteration #176, relres 0.0350219037679076
CG Iteration #177, relres 0.0338263794683773
CG Iteration #178, relres 0.0332073361481603
CG Iteration #179, relres 0.0328275918587446
CG Iteration #180, relres 0.0320902325367937
CG Iteration #181, relres 0.0308238821050591
CG Iteration #182, relres 0.0302360256509941
CG Iteration #183, relres 0.0296192748750257
CG Iteration #184, relres 0.0292974626059512
CG Iteration #185, relres 0.0291481359625159
CG Iteration #186, relres 0.0289371542125431
CG Iteration #187, relres 0.0282142637077869
CG Iteration #188, relres 0.0278867847004889
CG Iteration #189, relres 0.0278514223718879
CG Iteration #190, relres 0.0268115816773606
CG Iteration #191, relres 0.0255734824966104
CG Iteration #192, relres 0.0246699623543204
CG Iteration #193, relres 0.0243460857287193
CG Iteration #194, relres 0.0242118495684029
CG Iteration #195, relres 0.0232141570778519
CG Iteration #196, relres 0.0224604065645231
CG Iteration #197, relres 0.0222420080169253
CG Iteration #198, relres 0.0218717899103477
CG Iteration #199, relres 0.0214761552352402
CG Iteration #200, relres 0.0211701233264976
CG Iteration #201, relres 0.0210519702432248
CG Iteration #202, relres 0.0201731332918049
CG Iteration #203, relres 0.0195878216329221
CG Iteration #204, relres 0.0192104507371934
CG Iteration #205, relres 0.0184834191648042
CG Iteration #206, relres 0.0183428601090625
CG Iteration #207, relres 0.0180887607144182
CG Iteration #208, relres 0.0178595536353249
CG Iteration #209, relres 0.0177020798201877
CG Iteration #210, relres 0.0174168383414047
CG Iteration #211, relres 0.0167219785091511
CG Iteration #212, relres 0.0165822673449586
CG Iteration #213, relres 0.0163721822629789
CG Iteration #214, relres 0.0159189220119133
CG Iteration #215, relres 0.0153424102019124
CG Iteration #216, relres 0.0152019692807910
CG Iteration #217, relres 0.0151365642492179
CG Iteration #218, relres 0.0149242588422100
CG Iteration #219, relres 0.0144241431193776
CG Iteration #220, relres 0.0139383049141303
CG Iteration #221, relres 0.0138581074741405
CG Iteration #222, relres 0.0136385599411764
CG Iteration #223, relres 0.0135375191882778
CG Iteration #224, relres 0.0130901624251130
CG Iteration #225, relres 0.0127896523723223
CG Iteration #226, relres 0.0125402552723236
CG Iteration #227, relres 0.0124216875309260
CG Iteration #228, relres 0.0122219178104474
CG Iteration #229, relres 0.0120175989791435
CG Iteration #230, relres 0.0117918019683630
CG Iteration #231, relres 0.0113449592210057
CG Iteration #232, relres 0.0113040699304519
CG Iteration #233, relres 0.0109776507195982
CG Iteration #234, relres 0.0108590427184128
CG Iteration #235, relres 0.0107557912770274
CG Iteration #236, relres 0.0103299475506626
CG Iteration #237, relres 0.0101642325860344
CG Iteration #238, relres 0.0100611846744653
CG Iteration #239, relres 0.0097667404924417
CG Iteration #240, relres 0.0096722191044691
CG Iteration #241, relres 0.0095435218105099
CG Iteration #242, relres 0.0092549648226795
CG Iteration #243, relres 0.0088859193291372
CG Iteration #244, relres 0.0087241634141306
CG Iteration #245, relres 0.0084794434665282
CG Iteration #246, relres 0.0084542937218893
CG Iteration #247, relres 0.0084409986630043
CG Iteration #248, relres 0.0081583321974256
CG Iteration #249, relres 0.0080000685566436
CG Iteration #250, relres 0.0079303798857704
CG Iteration #251, relres 0.0077927522352555
CG Iteration #252, relres 0.0075741236218352
CG Iteration #253, relres 0.0075554148188828
CG Iteration #254, relres 0.0072491568208589
CG Iteration #255, relres 0.0069142857642063
CG Iteration #256, relres 0.0069036475027435
CG Iteration #257, relres 0.0067144582896668
CG Iteration #258, relres 0.0066990955076280
CG Iteration #259, relres 0.0065587893223979
CG Iteration #260, relres 0.0065234260871699
CG Iteration #261, relres 0.0062351216417210
CG Iteration #262, relres 0.0061435192496608
CG Iteration #263, relres 0.0060411386352107
CG Iteration #264, relres 0.0059016418103041
CG Iteration #265, relres 0.0058365502680018
CG Iteration #266, relres 0.0055808836549177
CG Iteration #267, relres 0.0053736280667350
CG Iteration #268, relres 0.0053203341265387
CG Iteration #269, relres 0.0052593189978479
CG Iteration #270, relres 0.0051497277375113
CG Iteration #271, relres 0.0051190549299225
CG Iteration #272, relres 0.0050107031012189
CG Iteration #273, relres 0.0047967751878849
CG Iteration #274, relres 0.0046618711295149
CG Iteration #275, relres 0.0046190472085286
CG Iteration #276, relres 0.0045190275533976
CG Iteration #277, relres 0.0044376988180027
CG Iteration #278, relres 0.0043270672116728
CG Iteration #279, relres 0.0042838417925090
CG Iteration #280, relres 0.0042432933079759
CG Iteration #281, relres 0.0041361312101066
CG Iteration #282, relres 0.0041072673618346
CG Iteration #283, relres 0.0040749253911579
CG Iteration #284, relres 0.0038760918194636
CG Iteration #285, relres 0.0038523839794985
CG Iteration #286, relres 0.0036855939582256
CG Iteration #287, relres 0.0035344519397525
CG Iteration #288, relres 0.0034828188929381
CG Iteration #289, relres 0.0034648300846503
CG Iteration #290, relres 0.0034482049820806
CG Iteration #291, relres 0.0033004840468198
CG Iteration #292, relres 0.0032932217567685
CG Iteration #293, relres 0.0032420330627592
