Avgstr = 351.9578400458389638
CG Iteration #1, relres 0.9997318314931499
CG Iteration #2, relres 0.9947530476967054
CG Iteration #3, relres 0.9924828216041235
CG Iteration #4, relres 0.9891058340422565
CG Iteration #5, relres 0.9877256286573111
CG Iteration #6, relres 0.9835911708930896
CG Iteration #7, relres 0.9739175092649848
CG Iteration #8, relres 0.9666726556125966
CG Iteration #9, relres 0.9633335268910502
CG Iteration #10, relres 0.9572393080829222
CG Iteration #11, relres 0.9469015928228155
CG Iteration #12, relres 0.9362152845040769
CG Iteration #13, relres 0.9307833628294564
CG Iteration #14, relres 0.9274984927973529
CG Iteration #15, relres 0.9187555798010151
CG Iteration #16, relres 0.9018870791822992
CG Iteration #17, relres 0.8916319787607613
CG Iteration #18, relres 0.8857244920122278
CG Iteration #19, relres 0.8783227160911652
CG Iteration #20, relres 0.8658978255338433
CG Iteration #21, relres 0.8552149334100990
CG Iteration #22, relres 0.8502500293166040
CG Iteration #23, relres 0.8428567867594194
CG Iteration #24, relres 0.8301735589498667
CG Iteration #25, relres 0.8196131563136595
CG Iteration #26, relres 0.8130582455865628
CG Iteration #27, relres 0.8033245074488418
CG Iteration #28, relres 0.7931672845643823
CG Iteration #29, relres 0.7865517760561151
CG Iteration #30, relres 0.7771964572551675
CG Iteration #31, relres 0.7623985985125479
CG Iteration #32, relres 0.7542178007348119
CG Iteration #33, relres 0.7497570129632500
CG Iteration #34, relres 0.7413426938860784
CG Iteration #35, relres 0.7267650978630033
CG Iteration #36, relres 0.7181591990181800
CG Iteration #37, relres 0.7133919292795896
CG Iteration #38, relres 0.7022277890342943
CG Iteration #39, relres 0.6824358995053411
CG Iteration #40, relres 0.6728414301422612
CG Iteration #41, relres 0.6678252161369830
CG Iteration #42, relres 0.6572343845541812
CG Iteration #43, relres 0.6420592253624037
CG Iteration #44, relres 0.6358880559535303
CG Iteration #45, relres 0.6304575474428978
CG Iteration #46, relres 0.6177020102953598
CG Iteration #47, relres 0.6057192927380736
CG Iteration #48, relres 0.6013700884980251
CG Iteration #49, relres 0.5953544117343578
CG Iteration #50, relres 0.5826811428492805
CG Iteration #51, relres 0.5711472425237347
CG Iteration #52, relres 0.5671222216618845
CG Iteration #53, relres 0.5581880005424792
CG Iteration #54, relres 0.5428254362995457
CG Iteration #55, relres 0.5351980095121306
CG Iteration #56, relres 0.5317930122610270
CG Iteration #57, relres 0.5223816985288465
CG Iteration #58, relres 0.5115194786237718
CG Iteration #59, relres 0.5064625741914685
CG Iteration #60, relres 0.5004006167844645
CG Iteration #61, relres 0.4863290232710231
CG Iteration #62, relres 0.4767486683542732
CG Iteration #63, relres 0.4723115424485366
CG Iteration #64, relres 0.4655970738002534
CG Iteration #65, relres 0.4551241586525878
CG Iteration #66, relres 0.4495163131212487
CG Iteration #67, relres 0.4459828360252643
CG Iteration #68, relres 0.4378809586044892
CG Iteration #69, relres 0.4280636339307291
CG Iteration #70, relres 0.4228500267256547
CG Iteration #71, relres 0.4179337692497216
CG Iteration #72, relres 0.4067533166589614
CG Iteration #73, relres 0.3964115494256075
CG Iteration #74, relres 0.3924010738030199
CG Iteration #75, relres 0.3865002360706843
CG Iteration #76, relres 0.3749179772406450
CG Iteration #77, relres 0.3708089755020056
CG Iteration #78, relres 0.3680810585260101
CG Iteration #79, relres 0.3603819329374058
CG Iteration #80, relres 0.3536579831025079
CG Iteration #81, relres 0.3504406931577150
CG Iteration #82, relres 0.3462986654358471
CG Iteration #83, relres 0.3363791409501694
CG Iteration #84, relres 0.3270359231336482
CG Iteration #85, relres 0.3239090349825385
CG Iteration #86, relres 0.3158550437847129
CG Iteration #87, relres 0.3096563629926337
CG Iteration #88, relres 0.3070466611596104
CG Iteration #89, relres 0.3029678900057584
CG Iteration #90, relres 0.2943165177331286
CG Iteration #91, relres 0.2898903734196506
CG Iteration #92, relres 0.2862320092106088
CG Iteration #93, relres 0.2773881997681910
CG Iteration #94, relres 0.2731503490365963
CG Iteration #95, relres 0.2709609500844677
CG Iteration #96, relres 0.2644433426931223
CG Iteration #97, relres 0.2586130819453007
CG Iteration #98, relres 0.2562992177663854
CG Iteration #99, relres 0.2516572359044177
CG Iteration #100, relres 0.2452747030289458
CG Iteration #101, relres 0.2418118492048215
CG Iteration #102, relres 0.2390340924769657
CG Iteration #103, relres 0.2314925361626350
CG Iteration #104, relres 0.2278154278159734
CG Iteration #105, relres 0.2246232599198011
CG Iteration #106, relres 0.2152651900941426
CG Iteration #107, relres 0.2125248013541039
CG Iteration #108, relres 0.2088098306400634
CG Iteration #109, relres 0.2013921974512621
CG Iteration #110, relres 0.1993523873629521
CG Iteration #111, relres 0.1918550485161051
CG Iteration #112, relres 0.1887130446858651
CG Iteration #113, relres 0.1848059305224316
CG Iteration #114, relres 0.1794943324264631
CG Iteration #115, relres 0.1779639393285364
CG Iteration #116, relres 0.1728939781726836
CG Iteration #117, relres 0.1695456644264728
CG Iteration #118, relres 0.1660375425458641
CG Iteration #119, relres 0.1593383093219126
CG Iteration #120, relres 0.1592386837666026
CG Iteration #121, relres 0.1568575676993219
CG Iteration #122, relres 0.1504285872818518
CG Iteration #123, relres 0.1483336700908322
CG Iteration #124, relres 0.1416012273293581
CG Iteration #125, relres 0.1396425264077772
CG Iteration #126, relres 0.1317144325024949
CG Iteration #127, relres 0.1299044295289679
CG Iteration #128, relres 0.1246063611407280
CG Iteration #129, relres 0.1231538756072389
CG Iteration #130, relres 0.1177817664722844
CG Iteration #131, relres 0.1157604155574907
CG Iteration #132, relres 0.1111882492560886
CG Iteration #133, relres 0.1089955132360655
CG Iteration #134, relres 0.1054599027271142
CG Iteration #135, relres 0.1015548684992892
CG Iteration #136, relres 0.0990324246094738
CG Iteration #137, relres 0.0953653640039732
CG Iteration #138, relres 0.0937605040779755
CG Iteration #139, relres 0.0889427531763856
CG Iteration #140, relres 0.0878812170918417
CG Iteration #141, relres 0.0835262961796833
CG Iteration #142, relres 0.0799388871220884
CG Iteration #143, relres 0.0784691229908419
CG Iteration #144, relres 0.0744639070912318
CG Iteration #145, relres 0.0704591322587064
CG Iteration #146, relres 0.0683825964813071
CG Iteration #147, relres 0.0662373360892659
CG Iteration #148, relres 0.0629943404206016
CG Iteration #149, relres 0.0601705246605330
CG Iteration #150, relres 0.0571674902193836
CG Iteration #151, relres 0.0543458006506849
CG Iteration #152, relres 0.0512842594559890
CG Iteration #153, relres 0.0488500590314698
CG Iteration #154, relres 0.0459608603737940
CG Iteration #155, relres 0.0434219406410896
CG Iteration #156, relres 0.0411317429220127
CG Iteration #157, relres 0.0390956996771991
CG Iteration #158, relres 0.0375099237988176
CG Iteration #159, relres 0.0353730402661949
CG Iteration #160, relres 0.0337689508866152
CG Iteration #161, relres 0.0320262484944284
CG Iteration #162, relres 0.0302594661666020
CG Iteration #163, relres 0.0287740846474589
CG Iteration #164, relres 0.0272759916054506
CG Iteration #165, relres 0.0259435041010097
CG Iteration #166, relres 0.0244239916319295
CG Iteration #167, relres 0.0231058201322174
CG Iteration #168, relres 0.0218152258525441
CG Iteration #169, relres 0.0206026529481398
CG Iteration #170, relres 0.0194681012174915
CG Iteration #171, relres 0.0183984692522330
CG Iteration #172, relres 0.0173564263799867
CG Iteration #173, relres 0.0164659374842750
CG Iteration #174, relres 0.0155662376756677
CG Iteration #175, relres 0.0148089907434268
CG Iteration #176, relres 0.0140272944593936
CG Iteration #177, relres 0.0140026889985628
CG Iteration #178, relres 0.0132950528422912
CG Iteration #179, relres 0.0125714443421170
CG Iteration #180, relres 0.0119313341201018
CG Iteration #181, relres 0.0113098170064727
CG Iteration #182, relres 0.0107104317163825
CG Iteration #183, relres 0.0102290313533500
CG Iteration #184, relres 0.0096229440822361
CG Iteration #185, relres 0.0091682416287095
CG Iteration #186, relres 0.0086724700937281
CG Iteration #187, relres 0.0082061327877124
CG Iteration #188, relres 0.0077737475474102
CG Iteration #189, relres 0.0073277606481043
CG Iteration #190, relres 0.0069630325161494
CG Iteration #191, relres 0.0065423073137659
CG Iteration #192, relres 0.0062238828491064
CG Iteration #193, relres 0.0058651116812046
CG Iteration #194, relres 0.0055377934209399
CG Iteration #195, relres 0.0052224720607102
CG Iteration #196, relres 0.0049974237440515
CG Iteration #197, relres 0.0046674726123320
CG Iteration #198, relres 0.0044651139525926
CG Iteration #199, relres 0.0042029401418862
CG Iteration #200, relres 0.0039553269962697
CG Iteration #201, relres 0.0037773054843391
CG Iteration #202, relres 0.0035498029366981
CG Iteration #203, relres 0.0033839718882798
CG Iteration #204, relres 0.0031814765261929
CG Iteration #205, relres 0.0030130287178185
CG Iteration #206, relres 0.0028663686849254
CG Iteration #207, relres 0.0027035785128675
CG Iteration #208, relres 0.0027033404266693
CG Iteration #209, relres 0.0025622421491732
CG Iteration #210, relres 0.0024018807324819
CG Iteration #211, relres 0.0022912842936620
CG Iteration #212, relres 0.0021721542962655
CG Iteration #213, relres 0.0020343031334876
CG Iteration #214, relres 0.0019434862646933
CG Iteration #215, relres 0.0019234000337290
CG Iteration #216, relres 0.0018367434501452
CG Iteration #217, relres 0.0017337350789907
CG Iteration #218, relres 0.0016321320308285
CG Iteration #219, relres 0.0015445062609089
CG Iteration #220, relres 0.0014791482454412
CG Iteration #221, relres 0.0013711020949319
CG Iteration #222, relres 0.0013138351940205
CG Iteration #223, relres 0.0012298682119651
CG Iteration #224, relres 0.0011635675269163
CG Iteration #225, relres 0.0011024717034977
CG Iteration #226, relres 0.0010385302056309
CG Iteration #227, relres 0.0009906599373018
CG Iteration #228, relres 0.0009334510242985
CG Iteration #229, relres 0.0008745375834264
CG Iteration #230, relres 0.0008290012993888
CG Iteration #231, relres 0.0007732996291201
CG Iteration #232, relres 0.0007375997289904
CG Iteration #233, relres 0.0006991979947918
CG Iteration #234, relres 0.0006639186773538
CG Iteration #235, relres 0.0006340396967211
CG Iteration #236, relres 0.0006082079481028
