=========CG using MATLAB default precision=====
====DATA = ../graphs/se_2/
====error given as ||Ax - b||_2^2 and ||x - xbar||_A^2
i=  1, err2=2.65521e+12, errA = 626992
i=117, err2=1.27304e-13, errA = 4.3004e-15
i=118, err2=5.13506e-13, errA = 4.28025e-15
i=119, err2=1.52158e-14, errA = 4.28106e-15
i=120, err2=1.34838e-13, errA = 4.28405e-15
i=121, err2=2.10983e-13, errA = 4.26251e-15
i=122, err2=2.05692e-12, errA = 4.24622e-15
i=123, err2=9.87812e-14, errA = 4.27243e-15
i=124, err2=8.36647e-13, errA = 4.2898e-15
i=125, err2=9.32024e-13, errA = 4.31995e-15
i=126, err2=7.88061e-12, errA = 4.2827e-15
i=127, err2=1.75274e-13, errA = 4.31079e-15
i=128, err2=1.60855e-12, errA = 4.31794e-15
i=129, err2=7.89151e-13, errA = 4.2756e-15
i=130, err2=2.94975e-12, errA = 4.28089e-15
i=131, err2=6.12441e-14, errA = 4.30992e-15
i=132, err2=5.79621e-13, errA = 4.32753e-15
i=133, err2=2.0991e-13, errA = 4.32116e-15
i=134, err2=1.75363e-13, errA = 4.2911e-15
i=135, err2=8.62156e-15, errA = 4.29491e-15
i=136, err2=2.66869e-14, errA = 4.28733e-15
i=137, err2=7.85088e-14, errA = 4.28214e-15
i=138, err2=5.55136e-15, errA = 4.28418e-15
i=139, err2=9.2932e-15, errA = 4.28588e-15
i=140, err2=3.18925e-14, errA = 4.28836e-15
i=141, err2=8.6178e-14, errA = 4.29153e-15
i=142, err2=6.02535e-15, errA = 4.28155e-15
i=143, err2=1.59255e-14, errA = 4.28311e-15
i=144, err2=3.8529e-14, errA = 4.27634e-15
i=145, err2=3.15585e-14, errA = 4.28035e-15
i=146, err2=1.6274e-14, errA = 4.28197e-15
i=147, err2=3.02733e-15, errA = 4.28466e-15
i=148, err2=1.54521e-14, errA = 4.28365e-15
i=149, err2=1.89677e-14, errA = 4.29058e-15
i=150, err2=2.88876e-14, errA = 4.28786e-15
i=151, err2=8.69379e-15, errA = 4.28863e-15
i=152, err2=4.61471e-15, errA = 4.28689e-15
i=153, err2=1.19674e-13, errA = 4.28506e-15
i=154, err2=8.75802e-14, errA = 4.27843e-15
i=155, err2=2.04281e-14, errA = 4.29399e-15
i=156, err2=3.06015e-14, errA = 4.29144e-15
i=157, err2=6.03194e-14, errA = 4.29832e-15
i=158, err2=1.23712e-13, errA = 4.29881e-15
i=159, err2=2.96261e-15, errA = 4.28908e-15
i=160, err2=6.06235e-14, errA = 4.28194e-15
i=161, err2=6.3215e-15, errA = 4.28358e-15
i=162, err2=6.27504e-16, errA = 4.2857e-15
i=163, err2=1.08246e-14, errA = 4.28752e-15
i=164, err2=2.68484e-15, errA = 4.28657e-15
i=165, err2=1.05864e-15, errA = 4.28474e-15
i=166, err2=2.67605e-16, errA = 4.28422e-15
i=167, err2=3.85631e-15, errA = 4.28325e-15
i=168, err2=6.06959e-15, errA = 4.28187e-15
i=169, err2=2.48225e-15, errA = 4.28272e-15
i=170, err2=6.69074e-15, errA = 4.28475e-15
i=171, err2=4.45109e-16, errA = 4.28475e-15
i=172, err2=3.34737e-16, errA = 4.28453e-15
i=173, err2=2.87403e-15, errA = 4.2843e-15
i=174, err2=1.04481e-14, errA = 4.28531e-15
i=175, err2=5.79059e-15, errA = 4.28757e-15
i=176, err2=8.71536e-15, errA = 4.28911e-15
i=177, err2=3.99911e-14, errA = 4.29114e-15
i=178, err2=1.63205e-14, errA = 4.29015e-15
i=179, err2=1.99476e-15, errA = 4.28879e-15
i=180, err2=1.12294e-15, errA = 4.28815e-15
i=181, err2=2.6089e-15, errA = 4.28724e-15
i=182, err2=2.48083e-15, errA = 4.28634e-15
i=183, err2=1.04475e-15, errA = 4.28634e-15
i=184, err2=1.9631e-15, errA = 4.28665e-15
i=185, err2=1.83373e-14, errA = 4.2874e-15
i=186, err2=4.83582e-14, errA = 4.28544e-15
i=187, err2=9.2258e-15, errA = 4.28208e-15
i=188, err2=6.11267e-15, errA = 4.28103e-15
i=189, err2=1.45875e-14, errA = 4.28103e-15
i=190, err2=6.50293e-15, errA = 4.28312e-15
i=191, err2=2.92636e-15, errA = 4.2844e-15
i=192, err2=1.28284e-14, errA = 4.28583e-15
i=193, err2=1.57386e-13, errA = 4.29104e-15
i=194, err2=1.80024e-13, errA = 4.2949e-15
i=195, err2=7.45976e-14, errA = 4.29072e-15
i=196, err2=1.75937e-13, errA = 4.28339e-15
i=197, err2=1.03512e-13, errA = 4.27631e-15
i=198, err2=1.02927e-14, errA = 4.27756e-15
i=199, err2=6.76007e-15, errA = 4.27858e-15
i=200, err2=4.84073e-14, errA = 4.27987e-15
i=201, err2=5.98026e-14, errA = 4.27641e-15
i=202, err2=3.5754e-14, errA = 4.27301e-15
i=203, err2=1.41552e-13, errA = 4.27227e-15
i=204, err2=5.66717e-14, errA = 4.28154e-15
i=205, err2=5.05768e-15, errA = 4.28533e-15
i=206, err2=5.6336e-15, errA = 4.28669e-15
i=207, err2=4.36312e-14, errA = 4.29124e-15
i=208, err2=2.12314e-14, errA = 4.29308e-15
i=209, err2=4.61781e-14, errA = 4.29091e-15
i=210, err2=1.51744e-13, errA = 4.28666e-15
i=211, err2=1.18537e-14, errA = 4.28924e-15
i=212, err2=3.90062e-15, errA = 4.29039e-15
i=213, err2=2.81082e-14, errA = 4.29077e-15
i=214, err2=2.10052e-14, errA = 4.28528e-15
i=215, err2=3.81725e-14, errA = 4.28175e-15
i=216, err2=3.00322e-13, errA = 4.27612e-15
i=217, err2=2.86236e-14, errA = 4.28154e-15
i=218, err2=9.51152e-15, errA = 4.28393e-15
i=219, err2=8.59313e-14, errA = 4.28936e-15
i=220, err2=6.10192e-14, errA = 4.29407e-15
i=221, err2=1.0899e-13, errA = 4.29029e-15
i=222, err2=3.95997e-13, errA = 4.2806e-15
i=223, err2=2.04065e-14, errA = 4.28477e-15
i=224, err2=1.42969e-14, errA = 4.28657e-15
i=225, err2=1.8139e-13, errA = 4.28733e-15
i=226, err2=6.67062e-14, errA = 4.27804e-15
i=227, err2=2.14233e-13, errA = 4.27403e-15
i=228, err2=8.05676e-14, errA = 4.2865e-15
i=229, err2=1.11554e-14, errA = 4.29099e-15
i=230, err2=1.10911e-13, errA = 4.29584e-15
i=231, err2=4.46809e-13, errA = 4.31156e-15
i=232, err2=1.54745e-13, errA = 4.3043e-15
i=233, err2=4.2932e-13, errA = 4.28702e-15
i=234, err2=3.92833e-14, errA = 4.28833e-15
i=235, err2=1.5311e-13, errA = 4.29284e-15
i=236, err2=1.26398e-12, errA = 4.29558e-15
i=237, err2=4.91008e-14, errA = 4.28098e-15
i=238, err2=6.99761e-14, errA = 4.27907e-15
i=239, err2=2.51003e-14, errA = 4.28717e-15
i=240, err2=2.01469e-14, errA = 4.29031e-15
i=241, err2=1.83719e-13, errA = 4.29347e-15
i=242, err2=3.8608e-15, errA = 4.28762e-15
i=243, err2=2.02384e-15, errA = 4.28655e-15
i=244, err2=8.86173e-15, errA = 4.2841e-15
i=245, err2=3.02136e-15, errA = 4.2839e-15
i=246, err2=1.53148e-14, errA = 4.28535e-15
i=247, err2=9.5249e-15, errA = 4.28619e-15
i=248, err2=1.06701e-15, errA = 4.28518e-15
i=249, err2=3.83227e-15, errA = 4.28454e-15
i=250, err2=4.03428e-14, errA = 4.28398e-15
i=251, err2=1.55811e-14, errA = 4.28723e-15
i=252, err2=1.57901e-14, errA = 4.28882e-15
i=253, err2=3.1988e-14, errA = 4.28685e-15
i=254, err2=2.75409e-15, errA = 4.2835e-15
i=255, err2=1.54781e-15, errA = 4.28272e-15
i=256, err2=1.09005e-14, errA = 4.28138e-15
i=257, err2=6.14884e-14, errA = 4.27772e-15
i=258, err2=2.49872e-14, errA = 4.27778e-15
i=259, err2=2.07715e-14, errA = 4.27995e-15
i=260, err2=5.68783e-14, errA = 4.28469e-15
i=261, err2=1.21343e-14, errA = 4.28631e-15
i=262, err2=2.0901e-15, errA = 4.28561e-15
i=263, err2=3.67263e-15, errA = 4.28508e-15
i=264, err2=2.73894e-14, errA = 4.28458e-15
i=265, err2=5.71442e-14, errA = 4.2877e-15
i=266, err2=2.26911e-14, errA = 4.29204e-15
i=267, err2=2.80426e-14, errA = 4.29434e-15
i=268, err2=7.31741e-14, errA = 4.2953e-15
i=269, err2=2.12991e-14, errA = 4.29208e-15
i=270, err2=3.0125e-15, errA = 4.29038e-15
i=271, err2=1.90515e-15, errA = 4.28964e-15
i=272, err2=6.49418e-15, errA = 4.28851e-15
i=273, err2=2.37934e-14, errA = 4.2858e-15
i=274, err2=1.93524e-14, errA = 4.2838e-15
i=275, err2=1.40187e-14, errA = 4.28407e-15
i=276, err2=3.91958e-14, errA = 4.28531e-15
i=277, err2=1.55794e-13, errA = 4.28702e-15
i=278, err2=8.74327e-14, errA = 4.28452e-15
i=279, err2=1.35952e-14, errA = 4.28191e-15
i=280, err2=4.28917e-15, errA = 4.28097e-15
i=281, err2=5.9819e-15, errA = 4.28054e-15
i=282, err2=1.35915e-14, errA = 4.281e-15
i=283, err2=9.412e-15, errA = 4.28296e-15
i=284, err2=4.91389e-15, errA = 4.28447e-15
i=285, err2=9.31042e-15, errA = 4.28573e-15
i=286, err2=4.77715e-14, errA = 4.28811e-15
i=287, err2=9.66403e-14, errA = 4.29066e-15
i=288, err2=2.54564e-14, errA = 4.28922e-15
i=289, err2=5.90099e-15, errA = 4.2877e-15
i=290, err2=4.72896e-15, errA = 4.28658e-15
i=291, err2=7.52172e-15, errA = 4.28511e-15
i=292, err2=3.7475e-15, errA = 4.28427e-15
i=293, err2=6.75111e-16, errA = 4.28439e-15
i=294, err2=2.49932e-16, errA = 4.28458e-15
i=295, err2=6.54814e-16, errA = 4.28482e-15
i=296, err2=8.28611e-15, errA = 4.28548e-15
i=297, err2=2.02241e-15, errA = 4.28448e-15
i=298, err2=1.25441e-15, errA = 4.28409e-15
i=299, err2=2.3412e-15, errA = 4.28453e-15
i=300, err2=3.93568e-16, errA = 4.28557e-15
i=301, err2=1.61977e-16, errA = 4.28587e-15
i=302, err2=2.5243e-15, errA = 4.28615e-15
i=303, err2=2.00759e-16, errA = 4.28509e-15
i=304, err2=4.50944e-16, errA = 4.28506e-15
i=305, err2=2.04397e-16, errA = 4.28562e-15
i=306, err2=5.5515e-16, errA = 4.28599e-15
i=307, err2=8.16795e-16, errA = 4.28544e-15
i=308, err2=5.21894e-16, errA = 4.28577e-15
i=309, err2=3.17126e-16, errA = 4.2851e-15
i=310, err2=2.8384e-16, errA = 4.28505e-15
i=311, err2=2.36188e-16, errA = 4.28473e-15
i=312, err2=2.8315e-15, errA = 4.2844e-15
i=313, err2=1.87147e-16, errA = 4.28524e-15
i=314, err2=1.36581e-16, errA = 4.28545e-15
i=315, err2=1.9225e-16, errA = 4.28525e-15
i=316, err2=3.2166e-15, errA = 4.28479e-15
i=317, err2=2.47362e-16, errA = 4.28557e-15
i=318, err2=3.54916e-16, errA = 4.28593e-15
i=319, err2=2.47385e-16, errA = 4.28597e-15
i=320, err2=5.95154e-16, errA = 4.28657e-15
i=321, err2=6.74337e-16, errA = 4.28623e-15
i=322, err2=8.25068e-16, errA = 4.28644e-15
i=323, err2=2.24241e-16, errA = 4.28593e-15
i=324, err2=2.09093e-16, errA = 4.28537e-15
i=325, err2=8.56699e-17, errA = 4.28542e-15
i=326, err2=8.77898e-17, errA = 4.28537e-15
i=327, err2=1.96017e-16, errA = 4.28532e-15
i=328, err2=4.42292e-16, errA = 4.28535e-15
