=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/test/1/
====error given as ||Ax - b||_2^2
i=  1, err2=2.65521e+12, errA = 626992
i=117, err2=7.79678e-14, errA = 4.27093e-15
i=118, err2=3.23553e-14, errA = 4.27292e-15
i=119, err2=3.00541e-14, errA = 4.28015e-15
i=120, err2=1.36841e-15, errA = 4.27836e-15
i=121, err2=3.43738e-14, errA = 4.276e-15
i=122, err2=1.07794e-14, errA = 4.27717e-15
i=123, err2=3.54463e-15, errA = 4.27898e-15
i=124, err2=2.70036e-15, errA = 4.28177e-15
i=125, err2=4.62837e-15, errA = 4.28094e-15
i=126, err2=5.72263e-13, errA = 4.27148e-15
i=127, err2=2.15671e-14, errA = 4.27849e-15
i=128, err2=1.22287e-14, errA = 4.28037e-15
i=129, err2=4.32799e-14, errA = 4.2743e-15
i=130, err2=4.39486e-14, errA = 4.26941e-15
i=131, err2=9.4165e-14, errA = 4.27059e-15
i=132, err2=1.24338e-15, errA = 4.27489e-15
i=133, err2=7.57629e-15, errA = 4.27618e-15
i=134, err2=1.19918e-14, errA = 4.2818e-15
i=135, err2=1.31262e-15, errA = 4.28052e-15
i=136, err2=8.04033e-14, errA = 4.27695e-15
i=137, err2=2.12274e-14, errA = 4.27838e-15
i=138, err2=5.58419e-15, errA = 4.28002e-15
i=139, err2=4.41415e-15, errA = 4.27684e-15
i=140, err2=4.98525e-15, errA = 4.27535e-15
i=141, err2=2.39264e-13, errA = 4.27231e-15
i=142, err2=4.16916e-15, errA = 4.28047e-15
i=143, err2=5.74171e-15, errA = 4.28157e-15
i=144, err2=4.42908e-14, errA = 4.27514e-15
i=145, err2=7.17858e-14, errA = 4.26968e-15
i=146, err2=6.37942e-14, errA = 4.27334e-15
i=147, err2=2.22665e-15, errA = 4.27677e-15
i=148, err2=4.42684e-14, errA = 4.27817e-15
i=149, err2=1.21323e-14, errA = 4.27263e-15
i=150, err2=3.23393e-14, errA = 4.27413e-15
i=151, err2=1.63205e-16, errA = 4.2779e-15
i=152, err2=1.00482e-15, errA = 4.27829e-15
i=153, err2=8.03882e-16, errA = 4.2772e-15
i=154, err2=1.82963e-15, errA = 4.27832e-15
i=155, err2=6.03878e-17, errA = 4.27866e-15
i=156, err2=3.31591e-17, errA = 4.27882e-15
i=157, err2=2.6135e-17, errA = 4.27873e-15
i=158, err2=2.32219e-16, errA = 4.27841e-15
i=159, err2=1.43759e-17, errA = 4.27854e-15
i=160, err2=1.5581e-17, errA = 4.27833e-15
i=161, err2=1.43537e-16, errA = 4.27843e-15
i=162, err2=3.82309e-17, errA = 4.27814e-15
i=163, err2=6.09716e-17, errA = 4.27831e-15
i=164, err2=2.67156e-17, errA = 4.27823e-15
