iter=10      res2=0.834206      err2=0.862492      errA=0.847094
iter=20      res2=0.655645      err2=0.691284      errA=0.671453
iter=30      res2=0.524842      err2=0.547712      errA=0.5337
iter=40      res2=0.414617      err2=0.437218      errA=0.424599
iter=50      res2=0.328715      err2=0.3475      errA=0.337724
iter=60      res2=0.270395      err2=0.284557      errA=0.276881
iter=70      res2=0.198881      err2=0.210546      errA=0.203767
iter=80      res2=0.158973      err2=0.166978      errA=0.16238
iter=90      res2=0.128501      err2=0.134053      errA=0.130797
iter=100      res2=0.0991637      err2=0.103782      errA=0.101186
iter=110      res2=0.0746438      err2=0.0787567      errA=0.0764869
iter=120      res2=0.0602319      err2=0.06483      errA=0.0622713
iter=130      res2=0.0451741      err2=0.0475184      errA=0.0462068
iter=140      res2=0.0349375      err2=0.0365354      errA=0.035576
iter=150      res2=0.0285823      err2=0.0299138      errA=0.0291269
iter=160      res2=0.0217407      err2=0.0224072      errA=0.0220252
iter=170      res2=0.0177691      err2=0.0186078      errA=0.0181355
iter=180      res2=0.0144077      err2=0.0148695      errA=0.0146447
iter=190      res2=0.0117379      err2=0.0119863      errA=0.0118507
iter=200      res2=0.00916972      err2=0.00945699      errA=0.00930442
iter=210      res2=0.00762158      err2=0.00775546      errA=0.00767815
iter=220      res2=0.00618473      err2=0.0063226      errA=0.00623181
iter=230      res2=0.00490541      err2=0.00490722      errA=0.00489398
iter=240      res2=0.00378292      err2=0.00380628      errA=0.00377966
iter=250      res2=0.00309684      err2=0.00320383      errA=0.00313034
iter=260      res2=0.00245801      err2=0.00256659      errA=0.00249794
iter=270      res2=0.0019225      err2=0.00202016      errA=0.00196154
iter=280      res2=0.00148923      err2=0.00154476      errA=0.00151376
iter=290      res2=0.00121288      err2=0.00122835      errA=0.00122121
iter=300      res2=0.000975764      err2=0.000986453      errA=0.000981327
iter=310      res2=0.000822726      err2=0.000833207      errA=0.000828035
iter=320      res2=0.000618149      err2=0.0006484      errA=0.000631464
iter=330      res2=0.000500474      err2=0.000525327      errA=0.000511009
iter=340      res2=0.00039144      err2=0.000407481      errA=0.000397992
iter=350      res2=0.000309822      err2=0.000324846      errA=0.000315526
iter=360      res2=0.000252828      err2=0.000265119      errA=0.000257794
iter=370      res2=0.000202056      err2=0.000209268      errA=0.000204757
iter=380      res2=0.000165517      err2=0.000174068      errA=0.000168966
iter=390      res2=0.000120766      err2=0.000130286      errA=0.000125146
iter=400      res2=9.59335e-05      err2=0.000103943      errA=9.96853e-05
iter=410      res2=7.52542e-05      err2=8.11674e-05      errA=7.78899e-05
iter=420      res2=5.94957e-05      err2=6.44857e-05      errA=6.17197e-05
iter=430      res2=4.5181e-05      err2=4.9412e-05      errA=4.70699e-05
iter=440      res2=3.64221e-05      err2=3.92919e-05      errA=3.77092e-05
iter=450      res2=2.73659e-05      err2=2.97582e-05      errA=2.83933e-05
iter=460      res2=2.16118e-05      err2=2.33235e-05      errA=2.23608e-05
iter=470      res2=1.75953e-05      err2=1.88799e-05      errA=1.8144e-05
iter=480      res2=1.33523e-05      err2=1.46298e-05      errA=1.3919e-05
iter=490      res2=1.08257e-05      err2=1.18882e-05      errA=1.12717e-05
iter=500      res2=8.63174e-06      err2=9.26926e-06      errA=8.89636e-06
iter=510      res2=6.62578e-06      err2=7.2604e-06      errA=6.90458e-06
iter=520      res2=5.43165e-06      err2=5.9709e-06      errA=5.66581e-06
iter=530      res2=4.22435e-06      err2=4.67405e-06      errA=4.41934e-06
iter=540      res2=3.15348e-06      err2=3.56095e-06      errA=3.32884e-06
iter=550      res2=2.57747e-06      err2=2.87061e-06      errA=2.70649e-06
iter=560      res2=1.89228e-06      err2=2.08792e-06      errA=1.97845e-06
iter=570      res2=1.57606e-06      err2=1.74077e-06      errA=1.65085e-06
iter=580      res2=1.28156e-06      err2=1.40013e-06      errA=1.3342e-06
iter=590      res2=1.00087e-06      err2=1.08714e-06      errA=1.04115e-06
iter=600      res2=8.8678e-07      err2=9.78131e-07      errA=9.29641e-07
iter=610      res2=7.75642e-07      err2=8.4405e-07      errA=8.03166e-07
iter=620      res2=7.11187e-07      err2=7.75315e-07      errA=7.39475e-07
iter=630      res2=6.78876e-07      err2=7.31919e-07      errA=7.02689e-07
iter=640      res2=6.5102e-07      err2=7.07639e-07      errA=6.74367e-07
iter=650      res2=6.11121e-07      err2=6.67252e-07      errA=6.36663e-07
iter=660      res2=6.17129e-07      err2=6.67968e-07      errA=6.42153e-07
iter=670      res2=6.22134e-07      err2=6.67074e-07      errA=6.42581e-07
iter=680      res2=6.3417e-07      err2=6.67831e-07      errA=6.44366e-07
iter=690      res2=6.61978e-07      err2=6.89555e-07      errA=6.67047e-07
iter=700      res2=6.83943e-07      err2=7.14571e-07      errA=6.9327e-07
iter=710      res2=6.97805e-07      err2=7.24079e-07      errA=7.02605e-07
iter=720      res2=7.06693e-07      err2=7.42521e-07      errA=7.21446e-07
iter=730      res2=7.13887e-07      err2=7.51056e-07      errA=7.30024e-07
iter=740      res2=7.17503e-07      err2=7.58619e-07      errA=7.38243e-07
iter=750      res2=7.18609e-07      err2=7.5991e-07      errA=7.39861e-07
iter=760      res2=7.18801e-07      err2=7.56352e-07      errA=7.35938e-07
iter=770      res2=7.18271e-07      err2=7.55723e-07      errA=7.35307e-07
iter=780      res2=7.17868e-07      err2=7.54495e-07      errA=7.33991e-07
iter=790      res2=7.1779e-07      err2=7.54134e-07      errA=7.3356e-07
iter=800      res2=7.17706e-07      err2=7.53663e-07      errA=7.32946e-07
iter=810      res2=7.17286e-07      err2=7.53522e-07      errA=7.32764e-07
iter=820      res2=7.1722e-07      err2=7.53462e-07      errA=7.32687e-07
iter=830      res2=7.17206e-07      err2=7.53475e-07      errA=7.32695e-07
iter=840      res2=7.17217e-07      err2=7.53508e-07      errA=7.32726e-07
iter=850      res2=7.17253e-07      err2=7.53548e-07      errA=7.32771e-07
iter=860      res2=7.1726e-07      err2=7.53577e-07      errA=7.32786e-07
iter=870      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
iter=880      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
iter=890      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
iter=900      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
iter=910      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
iter=920      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
iter=930      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
iter=940      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
iter=950      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
iter=960      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
iter=970      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
iter=980      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
iter=990      res2=7.17279e-07      err2=7.53581e-07      errA=7.328e-07
