A-norm,2-norm
0.95413286733813096,0.94864758515493397
0.86346970320082628,0.85101770428525925
0.78432865892332726,0.76559221591179538
0.7283426649098157,0.7051298867253748
0.65524768207809048,0.63660913656874751
0.60339830708423647,0.58785755568217324
0.55026387889597572,0.53545051706877345
0.51467177030672917,0.5055627025532945
0.47278724790058496,0.46325688123002839
0.4391246393639322,0.43186735783649566
0.41243287386484995,0.40763556312091487
0.38809265357057693,0.3843380904413643
0.36617969520221028,0.36251476834928409
0.34358176577152655,0.34099642333579649
0.32655057457776637,0.32226911074675929
0.29874101619534366,0.29582542471410428
0.28456768928219395,0.28358747893760106
0.26646603844536859,0.26438532946154764
0.23739909012909316,0.23458302375429102
0.2128502848735554,0.21096571877082185
0.19547248358317973,0.19296268724479182
0.17928586019203036,0.17672594272266137
0.16007991552044168,0.15741072135005002
0.1400117120463969,0.13873835949500693
0.12526947965488125,0.12387521155427218
0.11457137553661884,0.11354975608748175
0.10124985462095697,0.10075561307934536
0.091190758975944503,0.09049870457316217
0.082495122771225199,0.082111340260873605
0.073490372735991266,0.072537279757595954
0.066421914177804575,0.065353254106779529
0.060047712003836712,0.058772160774760884
0.054684384175792897,0.05302046450861219
0.048922418718260502,0.047445358386403791
0.04181683085100045,0.040854459950354541
0.037036399678444729,0.03613048300928412
0.032891936070746565,0.032070387460339689
0.029083484205799145,0.02848782763947983
0.025307390283242758,0.024721121049687884
0.022429010910248553,0.02196142968237106
0.019673039553216167,0.01919276361549261
0.017229323341774395,0.016764468101783933
0.015174199651916442,0.014753527501579704
0.013069195358657191,0.012794056407797537
0.011452645720061079,0.011195314275985371
0.0098381634694493757,0.0096309853354340225
0.0085359871631537736,0.0083673398986922193
0.0073950178194832463,0.007247382018547896
0.0064174625162378308,0.006358739761399679
0.0056856071027674036,0.0056606433154695089
0.004927625586863482,0.0048737783125857919
0.0043355100409392224,0.0043212457278126813
0.0037691827132684892,0.003743644963084609
0.0032099115907497783,0.0031864923542047458
0.0027524312303312255,0.0027227184136025644
0.0023864960815240979,0.0023724672472773128
0.002025357429067033,0.0020042109316833119
0.0017652675574985424,0.0017591079287292172
0.0015180596476515741,0.0015178109655835709
0.0013044730250959622,0.0013119211653263372
0.0011104838047268058,0.0011100819492567799
0.00093391688818323217,0.00093268405153391638
0.00077888451050577782,0.00077940425546481394
0.00065513692360870954,0.00065594409662229035
0.00055376452765939078,0.00055265003751329013
0.00046546045592449955,0.00046334719273519561
0.00039165430058331341,0.00038947161603102671
0.00033288308136198059,0.0003322618582168887
0.00027463076263171455,0.0002746932713540265
0.00023523534323665295,0.00023398816631990644
0.00022933187424860986,0.00022854073950446358
0.00019592168922076057,0.00019752440911271907
0.00016505708084015104,0.00016483582832853139
0.00013624623364531145,0.00013600091846600025
0.00011231705469276611,0.00011232988214417656
9.5130706201517815e-05,9.5439365571997538e-05
8.0823934568176586e-05,8.1040815601688071e-05
7.8967170577932535e-05,7.9089130303460975e-05
6.7401611908042479e-05,6.8361095311101586e-05
5.6388452439718892e-05,5.7179612208080626e-05
5.0557320681134822e-05,5.1316441602214833e-05
4.7225798430693694e-05,4.8082291138830795e-05
4.073414233064493e-05,4.1604657887113097e-05
3.4494459216598191e-05,3.5165359843486334e-05
3.3805900622656035e-05,3.4390525578025147e-05
2.9416634807377923e-05,3.0045854522904115e-05
2.4856761765699565e-05,2.5455126002544288e-05
2.4200292792109838e-05,2.4854693357415214e-05
2.0489726525888109e-05,2.1128919876791646e-05
1.9964226158448428e-05,2.0544070475572161e-05
1.7611763029594832e-05,1.8214010619875454e-05
1.7146313149370799e-05,1.7738241236349692e-05
1.4710263015121872e-05,1.5265140400231663e-05
1.2515877635128681e-05,1.2897691987474831e-05
1.0601548313879456e-05,1.0918973602812331e-05
8.9501856787484309e-06,9.203946363792544e-06
7.4312833052006776e-06,7.6387342923957411e-06
6.3257281307580492e-06,6.4794101814950634e-06
5.3441578500813158e-06,5.4299864832977828e-06
5.1866149553342517e-06,5.2731840620248432e-06
