Avgstr = 23.5611800020828923
CG Iteration #1, relres 0.9856133540128902
CG Iteration #2, relres 0.9779797060743477
CG Iteration #3, relres 0.9713774711955586
CG Iteration #4, relres 0.9497035372772803
CG Iteration #5, relres 0.9356782042823465
CG Iteration #6, relres 0.8951667190836663
CG Iteration #7, relres 0.8739173247507848
CG Iteration #8, relres 0.8558977729866734
CG Iteration #9, relres 0.8416221290170779
CG Iteration #10, relres 0.8127883273555284
CG Iteration #11, relres 0.7782893109810469
CG Iteration #12, relres 0.7430127077243417
CG Iteration #13, relres 0.7191078064591893
CG Iteration #14, relres 0.6793156214349444
CG Iteration #15, relres 0.6565675195981522
CG Iteration #16, relres 0.6157165957638614
CG Iteration #17, relres 0.6130154180688173
CG Iteration #18, relres 0.5848222874653151
CG Iteration #19, relres 0.5553196766949354
CG Iteration #20, relres 0.5365599740519059
CG Iteration #21, relres 0.5311108963466586
CG Iteration #22, relres 0.5045317812211126
CG Iteration #23, relres 0.4813249868832266
CG Iteration #24, relres 0.4623918405391878
CG Iteration #25, relres 0.4472245205848729
CG Iteration #26, relres 0.4419902047412640
CG Iteration #27, relres 0.4193327362405499
CG Iteration #28, relres 0.3969968706489160
CG Iteration #29, relres 0.3740680491240810
CG Iteration #30, relres 0.3730166833230996
CG Iteration #31, relres 0.3438338439318660
CG Iteration #32, relres 0.3155080935194539
CG Iteration #33, relres 0.3107025195572305
CG Iteration #34, relres 0.2877024743206195
CG Iteration #35, relres 0.2615156905678291
CG Iteration #36, relres 0.2433918117884950
CG Iteration #37, relres 0.2412979262896007
CG Iteration #38, relres 0.2386049414514337
CG Iteration #39, relres 0.2241368314659699
CG Iteration #40, relres 0.2146176406669305
CG Iteration #41, relres 0.2039155814327797
CG Iteration #42, relres 0.2025751892710445
CG Iteration #43, relres 0.1829849008201869
CG Iteration #44, relres 0.1669678717445729
CG Iteration #45, relres 0.1647090506688670
CG Iteration #46, relres 0.1543487418034608
CG Iteration #47, relres 0.1404751619405797
CG Iteration #48, relres 0.1282451862736520
CG Iteration #49, relres 0.1165475474833301
CG Iteration #50, relres 0.1144377005504714
CG Iteration #51, relres 0.1101050606162956
CG Iteration #52, relres 0.1046560726532526
CG Iteration #53, relres 0.0953133980493589
CG Iteration #54, relres 0.0940777751446993
CG Iteration #55, relres 0.0918549888143190
CG Iteration #56, relres 0.0839142885256902
CG Iteration #57, relres 0.0829371814831388
CG Iteration #58, relres 0.0764593134310711
CG Iteration #59, relres 0.0738400674696758
CG Iteration #60, relres 0.0686765485540250
CG Iteration #61, relres 0.0650964644022161
CG Iteration #62, relres 0.0626620684577491
CG Iteration #63, relres 0.0612370836486361
CG Iteration #64, relres 0.0602333122440927
CG Iteration #65, relres 0.0559297201371609
CG Iteration #66, relres 0.0556794370715279
CG Iteration #67, relres 0.0536645036915654
CG Iteration #68, relres 0.0520603967118161
CG Iteration #69, relres 0.0497196259997789
CG Iteration #70, relres 0.0461545110366478
CG Iteration #71, relres 0.0438631035649043
CG Iteration #72, relres 0.0408411931207409
CG Iteration #73, relres 0.0388071427915446
CG Iteration #74, relres 0.0358113457816929
CG Iteration #75, relres 0.0343578508337154
CG Iteration #76, relres 0.0316069779377025
CG Iteration #77, relres 0.0290197376669422
CG Iteration #78, relres 0.0288251328976045
CG Iteration #79, relres 0.0273968127705204
CG Iteration #80, relres 0.0263989025258572
CG Iteration #81, relres 0.0249592032172747
CG Iteration #82, relres 0.0248302102142968
CG Iteration #83, relres 0.0237867685112296
CG Iteration #84, relres 0.0224428818678555
CG Iteration #85, relres 0.0217402590643077
CG Iteration #86, relres 0.0189900424266993
CG Iteration #87, relres 0.0181869907694382
CG Iteration #88, relres 0.0166430943531700
CG Iteration #89, relres 0.0149955144719523
CG Iteration #90, relres 0.0149445723675686
CG Iteration #91, relres 0.0147921751544246
CG Iteration #92, relres 0.0134518348178077
CG Iteration #93, relres 0.0132687392523165
CG Iteration #94, relres 0.0121062158314816
CG Iteration #95, relres 0.0112835819749341
CG Iteration #96, relres 0.0110313401382257
CG Iteration #97, relres 0.0108894718940376
CG Iteration #98, relres 0.0103317524975481
CG Iteration #99, relres 0.0099498390542194
CG Iteration #100, relres 0.0096780911137344
CG Iteration #101, relres 0.0089496181974219
CG Iteration #102, relres 0.0081402767873603
CG Iteration #103, relres 0.0080890632765311
CG Iteration #104, relres 0.0080244375921425
CG Iteration #105, relres 0.0075092737301465
CG Iteration #106, relres 0.0069749407575150
CG Iteration #107, relres 0.0062966661177285
CG Iteration #108, relres 0.0061309031771722
CG Iteration #109, relres 0.0056046710981064
CG Iteration #110, relres 0.0054054398969346
CG Iteration #111, relres 0.0051916397011506
CG Iteration #112, relres 0.0048735728059090
CG Iteration #113, relres 0.0047872449535451
CG Iteration #114, relres 0.0043625764733108
CG Iteration #115, relres 0.0043321128639436
CG Iteration #116, relres 0.0038963521526360
CG Iteration #117, relres 0.0037921058771307
CG Iteration #118, relres 0.0037394674366518
CG Iteration #119, relres 0.0036998307445431
CG Iteration #120, relres 0.0033099587955059
CG Iteration #121, relres 0.0029814365596627
CG Iteration #122, relres 0.0027625043064125
CG Iteration #123, relres 0.0026550302900295
CG Iteration #124, relres 0.0025163874108401
CG Iteration #125, relres 0.0024711328888247
CG Iteration #126, relres 0.0023660444511352
CG Iteration #127, relres 0.0022893297985116
CG Iteration #128, relres 0.0022700255080929
CG Iteration #129, relres 0.0021862750546262
CG Iteration #130, relres 0.0019421584926671
CG Iteration #131, relres 0.0017011732681226
CG Iteration #132, relres 0.0016740621031930
CG Iteration #133, relres 0.0015021119491383
CG Iteration #134, relres 0.0014875233534782
CG Iteration #135, relres 0.0014246703129434
CG Iteration #136, relres 0.0013695764957619
CG Iteration #137, relres 0.0012380961143306
CG Iteration #138, relres 0.0012362132878167
CG Iteration #139, relres 0.0012169633645744
CG Iteration #140, relres 0.0011340616005871
CG Iteration #141, relres 0.0011022077932113
CG Iteration #142, relres 0.0010577646570252
CG Iteration #143, relres 0.0010077649870207
CG Iteration #144, relres 0.0009830256745512
CG Iteration #145, relres 0.0009627323549948
CG Iteration #146, relres 0.0008997319499235
CG Iteration #147, relres 0.0008326153445408
CG Iteration #148, relres 0.0007823660415456
CG Iteration #149, relres 0.0007362101240860
CG Iteration #150, relres 0.0007286338352661
CG Iteration #151, relres 0.0006729114130455
CG Iteration #152, relres 0.0006642467388890
CG Iteration #153, relres 0.0006541513955234
CG Iteration #154, relres 0.0006090514944981
CG Iteration #155, relres 0.0005797376923504
CG Iteration #156, relres 0.0005730118495424
CG Iteration #157, relres 0.0005579495228174
CG Iteration #158, relres 0.0005092091700088
CG Iteration #159, relres 0.0004731239519778
CG Iteration #160, relres 0.0004425684761936
CG Iteration #161, relres 0.0004027024905806
CG Iteration #162, relres 0.0003779421551142
CG Iteration #163, relres 0.0003725098980419
CG Iteration #164, relres 0.0003234834214889
CG Iteration #165, relres 0.0003205232389650
CG Iteration #166, relres 0.0003116638774284
CG Iteration #167, relres 0.0002681362702067
CG Iteration #168, relres 0.0002664589854077
CG Iteration #169, relres 0.0002565795824136
CG Iteration #170, relres 0.0002518168449860
CG Iteration #171, relres 0.0002457559323339
CG Iteration #172, relres 0.0002191961662702
CG Iteration #173, relres 0.0002175202792958
CG Iteration #174, relres 0.0002170883401120
CG Iteration #175, relres 0.0001860364873498
CG Iteration #176, relres 0.0001804314855628
CG Iteration #177, relres 0.0001662021349641
CG Iteration #178, relres 0.0001575808155679
CG Iteration #179, relres 0.0001495609210756
CG Iteration #180, relres 0.0001476614490164
CG Iteration #181, relres 0.0001335057575565
CG Iteration #182, relres 0.0001276886405837
CG Iteration #183, relres 0.0001273600116137
CG Iteration #184, relres 0.0001262782909997
CG Iteration #185, relres 0.0001149025229315
CG Iteration #186, relres 0.0001115366046034
CG Iteration #187, relres 0.0001109087848584
CG Iteration #188, relres 0.0001062944761159
CG Iteration #189, relres 0.0000941582151457
CG Iteration #190, relres 0.0000843375247121
CG Iteration #191, relres 0.0000808366761843
CG Iteration #192, relres 0.0000734091590681
CG Iteration #193, relres 0.0000718931588537
CG Iteration #194, relres 0.0000699923770567
CG Iteration #195, relres 0.0000680463179572
CG Iteration #196, relres 0.0000645163983908
CG Iteration #197, relres 0.0000641085011481
CG Iteration #198, relres 0.0000610689355179
CG Iteration #199, relres 0.0000543727778031
CG Iteration #200, relres 0.0000532264106659
CG Iteration #201, relres 0.0000482955265637
CG Iteration #202, relres 0.0000474805575306
CG Iteration #203, relres 0.0000454480501265
CG Iteration #204, relres 0.0000439504412266
CG Iteration #205, relres 0.0000437228402676
CG Iteration #206, relres 0.0000424884036255
CG Iteration #207, relres 0.0000385901314948
CG Iteration #208, relres 0.0000374668239006
CG Iteration #209, relres 0.0000368187673193
CG Iteration #210, relres 0.0000355972981348
CG Iteration #211, relres 0.0000331357976002
CG Iteration #212, relres 0.0000319836383146
CG Iteration #213, relres 0.0000309861367362
CG Iteration #214, relres 0.0000299318824071
CG Iteration #215, relres 0.0000260645455617
CG Iteration #216, relres 0.0000249493186209
CG Iteration #217, relres 0.0000248979053899
CG Iteration #218, relres 0.0000219550984099
CG Iteration #219, relres 0.0000209119164289
CG Iteration #220, relres 0.0000204676618334
CG Iteration #221, relres 0.0000178629330218
CG Iteration #222, relres 0.0000173106006554
CG Iteration #223, relres 0.0000162462316259
CG Iteration #224, relres 0.0000160321210617
CG Iteration #225, relres 0.0000155994228399
CG Iteration #226, relres 0.0000141273603799
CG Iteration #227, relres 0.0000130321293992
CG Iteration #228, relres 0.0000127963122073
CG Iteration #229, relres 0.0000118124197287
CG Iteration #230, relres 0.0000114418304182
CG Iteration #231, relres 0.0000108112716018
CG Iteration #232, relres 0.0000100827121624
CG Iteration #233, relres 0.0000097795412594
CG Iteration #234, relres 0.0000091797242879
CG Iteration #235, relres 0.0000084587886519
CG Iteration #236, relres 0.0000080387244351
CG Iteration #237, relres 0.0000077979654049
CG Iteration #238, relres 0.0000077701663100
CG Iteration #239, relres 0.0000071420214511
CG Iteration #240, relres 0.0000069097482937
CG Iteration #241, relres 0.0000064982838150
CG Iteration #242, relres 0.0000063648321107
CG Iteration #243, relres 0.0000060665017845
CG Iteration #244, relres 0.0000056196170822
CG Iteration #245, relres 0.0000055107701413
CG Iteration #246, relres 0.0000053854861038
CG Iteration #247, relres 0.0000049083013664
CG Iteration #248, relres 0.0000048808738336
CG Iteration #249, relres 0.0000046534218193
CG Iteration #250, relres 0.0000044850458278
CG Iteration #251, relres 0.0000044692916795
CG Iteration #252, relres 0.0000043745656578
CG Iteration #253, relres 0.0000041681729828
CG Iteration #254, relres 0.0000039214293335
CG Iteration #255, relres 0.0000037501010176
CG Iteration #256, relres 0.0000035423337302
CG Iteration #257, relres 0.0000034361904242
CG Iteration #258, relres 0.0000031756776129
CG Iteration #259, relres 0.0000031131423523
CG Iteration #260, relres 0.0000030238384245
CG Iteration #261, relres 0.0000029883918797
CG Iteration #262, relres 0.0000025294102019
CG Iteration #263, relres 0.0000025152911089
CG Iteration #264, relres 0.0000024893518862
CG Iteration #265, relres 0.0000023491979690
CG Iteration #266, relres 0.0000022454349979
CG Iteration #267, relres 0.0000021505338264
CG Iteration #268, relres 0.0000019878228719
CG Iteration #269, relres 0.0000019851379202
CG Iteration #270, relres 0.0000018660712446
CG Iteration #271, relres 0.0000017298471066
CG Iteration #272, relres 0.0000016771577922
CG Iteration #273, relres 0.0000015074062326
CG Iteration #274, relres 0.0000013524596688
CG Iteration #275, relres 0.0000012883714749
CG Iteration #276, relres 0.0000011600736798
CG Iteration #277, relres 0.0000010634747661
CG Iteration #278, relres 0.0000010581460499
CG Iteration #279, relres 0.0000010258263108
CG Iteration #280, relres 0.0000009959837265
n = 1000 iter = 280 time = 6.051s relres = 0.0000009959837265
