iter=10      res2=0.962989      err2=0.862134      errA=0.910495
iter=20      res2=0.907994      err2=0.75308      errA=0.824013
iter=30      res2=0.835226      err2=0.68063      errA=0.744529
iter=40      res2=0.71617      err2=0.629317      errA=0.641421
iter=50      res2=0.581251      err2=0.551211      errA=0.53085
iter=60      res2=0.494626      err2=0.496753      errA=0.460364
iter=70      res2=0.393669      err2=0.431503      errA=0.377543
iter=80      res2=0.284573      err2=0.333564      errA=0.282732
iter=90      res2=0.226726      err2=0.273737      errA=0.227761
iter=100      res2=0.178362      err2=0.217908      errA=0.183575
iter=110      res2=0.147649      err2=0.186872      errA=0.153542
iter=120      res2=0.118645      err2=0.151785      errA=0.124368
iter=130      res2=0.0946917      err2=0.124443      errA=0.100854
iter=140      res2=0.072469      err2=0.096116      errA=0.0782728
iter=150      res2=0.0598837      err2=0.0830381      errA=0.0659725
iter=160      res2=0.0480346      err2=0.0678427      errA=0.0539271
iter=170      res2=0.03872      err2=0.0551264      errA=0.043866
iter=180      res2=0.0281798      err2=0.0405283      errA=0.0323628
iter=190      res2=0.022757      err2=0.0334268      errA=0.0264705
iter=200      res2=0.0184105      err2=0.0267146      errA=0.021623
iter=210      res2=0.0152613      err2=0.022553      errA=0.0181356
iter=220      res2=0.0125948      err2=0.0189614      errA=0.0152223
iter=230      res2=0.00954001      err2=0.0147377      errA=0.0117165
iter=240      res2=0.00729284      err2=0.011517      errA=0.00909827
iter=250      res2=0.00605423      err2=0.00970091      errA=0.0076134
iter=260      res2=0.00475031      err2=0.00753698      errA=0.00604279
iter=270      res2=0.0038034      err2=0.0059821      errA=0.00486555
iter=280      res2=0.00304343      err2=0.00490824      errA=0.00394235
iter=290      res2=0.00249438      err2=0.00417523      errA=0.00329404
iter=300      res2=0.00198854      err2=0.00329946      errA=0.00263895
iter=310      res2=0.00162998      err2=0.00273518      errA=0.00218526
iter=320      res2=0.00129856      err2=0.00224765      errA=0.00174786
iter=330      res2=0.00104281      err2=0.00181493      errA=0.00141389
iter=340      res2=0.000856555      err2=0.00148371      errA=0.00116675
iter=350      res2=0.000696632      err2=0.00121189      errA=0.00094558
iter=360      res2=0.000568895      err2=0.00098389      errA=0.000773786
iter=370      res2=0.000467134      err2=0.000801304      errA=0.000630305
iter=380      res2=0.000377091      err2=0.000639346      errA=0.0005076
iter=390      res2=0.000316124      err2=0.0005307      errA=0.000423519
iter=400      res2=0.00025364      err2=0.000427323      errA=0.000338093
iter=410      res2=0.000199236      err2=0.00032887      errA=0.000263912
iter=420      res2=0.000163454      err2=0.000267272      errA=0.000214936
iter=430      res2=0.000134973      err2=0.000213454      errA=0.00017636
iter=440      res2=0.000111895      err2=0.000180872      errA=0.000146681
iter=450      res2=9.29788e-05      err2=0.000152562      errA=0.00012212
iter=460      res2=7.35917e-05      err2=0.00012202      errA=9.644e-05
iter=470      res2=5.9807e-05      err2=9.87501e-05      errA=7.7663e-05
iter=480      res2=4.73705e-05      err2=7.52839e-05      errA=5.99056e-05
iter=490      res2=4.09811e-05      err2=6.33396e-05      errA=5.05924e-05
iter=500      res2=3.47262e-05      err2=5.09021e-05      errA=4.16636e-05
iter=510      res2=3.00841e-05      err2=4.08982e-05      errA=3.46656e-05
iter=520      res2=2.6275e-05      err2=3.20204e-05      errA=2.88356e-05
iter=530      res2=2.37864e-05      err2=2.64047e-05      errA=2.49426e-05
iter=540      res2=2.18466e-05      err2=2.15296e-05      errA=2.1849e-05
iter=550      res2=2.11471e-05      err2=1.96785e-05      errA=2.06577e-05
