iter=10      res2=0.767911      err2=0.731663      errA=0.723357
iter=20      res2=0.325467      err2=0.419007      errA=0.334284
iter=30      res2=0.150538      err2=0.212661      errA=0.163617
iter=40      res2=0.0732785      err2=0.107447      errA=0.0821146
iter=50      res2=0.0349382      err2=0.0528832      errA=0.0407863
iter=60      res2=0.0139152      err2=0.0230551      errA=0.017205
iter=70      res2=0.00677545      err2=0.0109974      errA=0.00847901
iter=80      res2=0.00330193      err2=0.00561467      errA=0.00429519
iter=90      res2=0.00151822      err2=0.00285979      errA=0.00211477
iter=100      res2=0.000686541      err2=0.00138373      errA=0.0010121
iter=110      res2=0.000313645      err2=0.000642013      errA=0.000469556
iter=120      res2=0.000141616      err2=0.000279865      errA=0.00020962
iter=130      res2=7.0075e-05      err2=0.000135086      errA=0.000102616
iter=140      res2=3.34293e-05      err2=6.44538e-05      errA=4.8893e-05
iter=150      res2=1.52865e-05      err2=2.96062e-05      errA=2.22895e-05
iter=160      res2=7.22647e-06      err2=1.33096e-05      errA=1.01403e-05
iter=170      res2=3.7386e-06      err2=6.66627e-06      errA=5.15157e-06
iter=180      res2=1.98524e-06      err2=3.41292e-06      errA=2.62659e-06
iter=190      res2=1.29766e-06      err2=1.7135e-06      errA=1.48538e-06
