=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 128
====DATA = ../graphs/pathDisjoint_30_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 10038889.327380
||xbar||_A = 1870.562683
i=  1, err2=0.162317, errA = 0.42331
i=  2, err2=0.012346, errA = 0.144015
i=  3, err2=0.00322047, errA = 0.0540881
i=  4, err2=0.00189766, errA = 0.0319199
i=  5, err2=0.00100413, errA = 0.0177386
i=  6, err2=0.00014349, errA = 0.0113999
i=  7, err2=3.88073e-05, errA = 0.00449597
i=  8, err2=9.55827e-06, errA = 0.00400718
i=  9, err2=4.70426e-07, errA = 0.00116796
i= 10, err2=4.04517e-07, errA = 0.00109672
i= 11, err2=2.20987e-99, errA = 1.97238e-99
i= 12, err2=1.06049e-108, errA = 2.63166e-108
i= 13, err2=1.45945e-120, errA = 1.37795e-119
i= 14, err2=7.90955e-122, errA = 8.47956e-121
i= 15, err2=8.32148e-123, errA = 1.06609e-121
i= 16, err2=2.55736e-124, errA = 5.46862e-123
i= 17, err2=2.05584e-126, errA = 2.22592e-126
i= 18, err2=2.48774e-128, errA = 1.2599e-126
i= 19, err2=1.21008e-127, errA = 3.65598e-127
i= 20, err2=2.56607e-129, errA = 1.93565e-127
i= 21, err2=2.49546e-128, errA = 2.24238e-128
i= 22, err2=1.51708e-132, errA = 4.17547e-131
i= 23, err2=2.53544e-132, errA = 4.09603e-131
i= 24, err2=3.0283e-133, errA = 3.88088e-131
i= 25, err2=4.23599e-133, errA = 3.8806e-131
i= 26, err2=1.15763e-133, errA = 3.86672e-131
i= 27, err2=3.38074e-133, errA = 3.86636e-131
i= 28, err2=2.74462e-133, errA = 3.8661e-131
i= 29, err2=5.53038e-133, errA = 3.82326e-131
i= 30, err2=1.01939e-132, errA = 3.82181e-131
i= 31, err2=1.76857e-132, errA = 3.7578e-131
i= 32, err2=7.27596e-133, errA = 3.71186e-131
i= 33, err2=7.09258e-133, errA = 3.71072e-131
i= 34, err2=5.14176e-132, errA = 1.7232e-131
i= 35, err2=6.82567e-132, errA = 1.32049e-131
i= 36, err2=6.86681e-133, errA = 1.06604e-131
i= 37, err2=1.16085e-132, errA = 6.22826e-132
i= 38, err2=3.36546e-133, errA = 6.13036e-132
i= 39, err2=1.5869e-133, errA = 6.06356e-132
i= 40, err2=6.71409e-133, errA = 5.88038e-132
i= 41, err2=4.73698e-134, errA = 5.8428e-132
i= 42, err2=7.85333e-134, errA = 5.83836e-132
i= 43, err2=3.27536e-133, errA = 5.82981e-132
