=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/pathDisjoint_30_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 10038889.327132
||xbar||_A = 1870.562683
i=  1, err2=0.162317, errA = 0.42331
i=113, err2=7.5038e-14, errA = 3.48854e-11
i=114, err2=8.08243e-14, errA = 3.49566e-11
i=115, err2=1.59558e-14, errA = 3.50127e-11
i=116, err2=5.71789e-14, errA = 3.50556e-11
i=117, err2=3.55415e-14, errA = 3.50576e-11
i=118, err2=7.13818e-14, errA = 3.49754e-11
i=119, err2=1.22875e-14, errA = 3.49787e-11
i=120, err2=3.6578e-14, errA = 3.49909e-11
i=121, err2=4.57549e-14, errA = 3.49028e-11
i=122, err2=1.42864e-13, errA = 3.4836e-11
i=123, err2=3.13077e-14, errA = 3.49434e-11
i=124, err2=9.11141e-14, errA = 3.50144e-11
i=125, err2=9.61674e-14, errA = 3.51372e-11
i=126, err2=2.79637e-13, errA = 3.49854e-11
i=127, err2=4.17035e-14, errA = 3.50999e-11
i=128, err2=1.26337e-13, errA = 3.5129e-11
i=129, err2=8.84901e-14, errA = 3.49564e-11
i=130, err2=1.71083e-13, errA = 3.4978e-11
i=131, err2=2.46517e-14, errA = 3.50964e-11
i=132, err2=7.58379e-14, errA = 3.5168e-11
i=133, err2=4.56384e-14, errA = 3.51421e-11
i=134, err2=4.17142e-14, errA = 3.50197e-11
i=135, err2=9.24927e-15, errA = 3.50352e-11
i=136, err2=1.62728e-14, errA = 3.50043e-11
i=137, err2=2.79109e-14, errA = 3.49831e-11
i=138, err2=7.42188e-15, errA = 3.49914e-11
i=139, err2=9.60278e-15, errA = 3.49983e-11
i=140, err2=1.77893e-14, errA = 3.50085e-11
i=141, err2=2.92424e-14, errA = 3.50214e-11
i=142, err2=7.73224e-15, errA = 3.49807e-11
i=143, err2=1.25707e-14, errA = 3.49871e-11
i=144, err2=1.95528e-14, errA = 3.49594e-11
i=145, err2=1.76959e-14, errA = 3.49758e-11
i=146, err2=1.27075e-14, errA = 3.49824e-11
i=147, err2=5.48081e-15, errA = 3.49934e-11
i=148, err2=1.23825e-14, errA = 3.49893e-11
i=149, err2=1.3719e-14, errA = 3.50176e-11
i=150, err2=1.69305e-14, errA = 3.50064e-11
i=151, err2=9.28793e-15, errA = 3.50096e-11
i=152, err2=6.76685e-15, errA = 3.50025e-11
i=153, err2=3.44599e-14, errA = 3.4995e-11
i=154, err2=2.94793e-14, errA = 3.49679e-11
i=155, err2=1.42373e-14, errA = 3.50314e-11
i=156, err2=1.74255e-14, errA = 3.50211e-11
i=157, err2=2.44649e-14, errA = 3.50491e-11
i=158, err2=3.50364e-14, errA = 3.50511e-11
i=159, err2=5.4219e-15, errA = 3.50114e-11
i=160, err2=2.45265e-14, errA = 3.49823e-11
i=161, err2=7.91999e-15, errA = 3.4989e-11
i=162, err2=2.4953e-15, errA = 3.49976e-11
i=163, err2=1.03638e-14, errA = 3.50051e-11
i=164, err2=5.16147e-15, errA = 3.50012e-11
i=165, err2=3.24107e-15, errA = 3.49937e-11
i=166, err2=1.62953e-15, errA = 3.49916e-11
i=167, err2=6.18586e-15, errA = 3.49876e-11
i=168, err2=7.76058e-15, errA = 3.4982e-11
i=169, err2=4.96292e-15, errA = 3.49855e-11
i=170, err2=8.148e-15, errA = 3.49937e-11
i=171, err2=2.10159e-15, errA = 3.49938e-11
i=172, err2=1.8225e-15, errA = 3.49929e-11
i=173, err2=5.34023e-15, errA = 3.49919e-11
i=174, err2=1.0182e-14, errA = 3.4996e-11
i=175, err2=7.58012e-15, errA = 3.50053e-11
i=176, err2=9.29945e-15, errA = 3.50116e-11
i=177, err2=1.99203e-14, errA = 3.50198e-11
