=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 256
====DATA = ../graphs/pathDisjoint_30_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 10038889.327380
||xbar||_A = 1870.562683
i=  1, err2=0.162317, errA = 0.42331
i= 44, err2=1.77827e-261, errA = 4.12617e-260
i= 45, err2=1.43739e-262, errA = 4.11232e-260
i= 46, err2=1.07548e-261, errA = 4.11082e-260
i= 47, err2=2.51218e-262, errA = 4.10466e-260
i= 48, err2=4.64514e-262, errA = 4.10291e-260
i= 49, err2=6.92112e-262, errA = 4.10217e-260
i= 50, err2=5.74679e-262, errA = 4.04295e-260
i= 51, err2=6.43025e-262, errA = 4.04205e-260
i= 52, err2=3.34808e-262, errA = 4.03975e-260
i= 53, err2=3.39806e-262, errA = 4.0225e-260
i= 54, err2=2.90122e-262, errA = 4.02152e-260
i= 55, err2=5.41729e-263, errA = 4.02142e-260
i= 56, err2=1.17263e-262, errA = 4.02131e-260
i= 57, err2=2.77329e-262, errA = 4.02121e-260
i= 58, err2=4.06536e-263, errA = 4.02104e-260
i= 59, err2=3.11559e-262, errA = 4.02098e-260
i= 60, err2=1.02892e-262, errA = 4.02094e-260
i= 61, err2=4.83607e-263, errA = 4.02092e-260
i= 62, err2=1.30849e-262, errA = 4.02092e-260
i= 63, err2=1.1459e-262, errA = 4.02095e-260
i= 64, err2=8.97395e-263, errA = 4.021e-260
i= 65, err2=6.32082e-263, errA = 4.02101e-260
i= 66, err2=1.71207e-262, errA = 4.02109e-260
i= 67, err2=2.84544e-262, errA = 4.02112e-260
i= 68, err2=1.37315e-262, errA = 4.02189e-260
i= 69, err2=1.95053e-262, errA = 4.02191e-260
i= 70, err2=6.88715e-262, errA = 4.02368e-260
i= 71, err2=5.7272e-262, errA = 4.02398e-260
i= 72, err2=2.06648e-262, errA = 4.02493e-260
i= 73, err2=3.8432e-262, errA = 4.02502e-260
i= 74, err2=6.98277e-262, errA = 4.02876e-260
i= 75, err2=3.90891e-262, errA = 4.02899e-260
i= 76, err2=1.94479e-262, errA = 4.02942e-260
i= 77, err2=3.11399e-262, errA = 4.02949e-260
i= 78, err2=6.14362e-262, errA = 4.03209e-260
i= 79, err2=1.60193e-262, errA = 4.03222e-260
i= 80, err2=7.55319e-262, errA = 4.03263e-260
i= 81, err2=3.98925e-262, errA = 4.03306e-260
i= 82, err2=3.68269e-262, errA = 4.0339e-260
i= 83, err2=1.024e-262, errA = 4.03394e-260
i= 84, err2=9.6769e-262, errA = 4.03448e-260
i= 85, err2=3.23417e-262, errA = 4.03541e-260
i= 86, err2=3.83326e-262, errA = 4.03588e-260
i= 87, err2=2.2318e-262, errA = 4.03595e-260
i= 88, err2=2.9593e-261, errA = 4.04516e-260
i= 89, err2=4.37609e-262, errA = 4.05042e-260
i= 90, err2=9.40781e-262, errA = 4.05155e-260
i= 91, err2=6.48666e-262, errA = 4.05215e-260
i= 92, err2=2.03124e-261, errA = 4.07305e-260
i= 93, err2=4.88659e-262, errA = 4.07485e-260
i= 94, err2=3.19012e-261, errA = 4.08589e-260
i= 95, err2=1.71351e-261, errA = 4.09283e-260
i= 96, err2=7.9229e-262, errA = 4.10765e-260
i= 97, err2=4.93714e-262, errA = 4.108e-260
i= 98, err2=2.12532e-261, errA = 4.1224e-260
i= 99, err2=4.00384e-262, errA = 4.12416e-260
i=100, err2=4.01902e-262, errA = 4.12476e-260
i=101, err2=3.98993e-262, errA = 4.12488e-260
i=102, err2=1.21542e-261, errA = 4.13015e-260
i=103, err2=3.43434e-262, errA = 4.1306e-260
i=104, err2=7.81796e-262, errA = 4.13145e-260
i=105, err2=8.74285e-262, errA = 4.13188e-260
i=106, err2=1.53441e-261, errA = 4.1468e-260
i=107, err2=3.63807e-262, errA = 4.1474e-260
i=108, err2=2.90894e-261, errA = 4.1508e-260
i=109, err2=3.25058e-262, errA = 4.15496e-260
i=110, err2=1.00115e-261, errA = 4.15524e-260
i=111, err2=9.8906e-262, errA = 4.1581e-260
i=112, err2=1.91068e-261, errA = 4.16021e-260
i=113, err2=1.67442e-262, errA = 4.1616e-260
i=114, err2=4.49569e-262, errA = 4.16165e-260
i=115, err2=2.35598e-262, errA = 4.16253e-260
i=116, err2=8.88458e-263, errA = 4.16254e-260
i=117, err2=3.73849e-262, errA = 4.16258e-260
i=118, err2=2.78933e-262, errA = 4.16261e-260
i=119, err2=1.191e-262, errA = 4.16265e-260
i=120, err2=9.23633e-263, errA = 4.16265e-260
i=121, err2=3.1546e-262, errA = 4.16315e-260
i=122, err2=3.86712e-262, errA = 4.16327e-260
i=123, err2=1.35642e-262, errA = 4.16328e-260
i=124, err2=6.53911e-262, errA = 4.16355e-260
i=125, err2=3.46958e-262, errA = 4.16356e-260
i=126, err2=1.58002e-262, errA = 4.16363e-260
i=127, err2=4.46536e-262, errA = 4.16364e-260
i=128, err2=6.04917e-262, errA = 4.16444e-260
i=129, err2=1.05199e-261, errA = 4.16471e-260
i=130, err2=7.60496e-263, errA = 4.16497e-260
i=131, err2=1.49235e-262, errA = 4.16497e-260
i=132, err2=1.11035e-262, errA = 4.165e-260
i=133, err2=5.14536e-262, errA = 4.1652e-260
i=134, err2=1.19999e-262, errA = 4.16528e-260
i=135, err2=1.66407e-262, errA = 4.1653e-260
i=136, err2=3.10616e-262, errA = 4.16532e-260
i=137, err2=1.26361e-262, errA = 4.16553e-260
i=138, err2=3.61822e-262, errA = 4.16555e-260
i=139, err2=2.34377e-262, errA = 4.16556e-260
i=140, err2=6.74826e-262, errA = 4.16606e-260
i=141, err2=3.41495e-262, errA = 4.16609e-260
i=142, err2=4.05248e-262, errA = 4.16624e-260
i=143, err2=1.44858e-261, errA = 4.1664e-260
i=144, err2=1.17995e-261, errA = 4.16966e-260
i=145, err2=2.08453e-261, errA = 4.17059e-260
i=146, err2=6.64522e-262, errA = 4.17118e-260
i=147, err2=3.12917e-261, errA = 4.17387e-260
i=148, err2=1.80729e-261, errA = 4.17506e-260
i=149, err2=8.28434e-262, errA = 4.17796e-260
i=150, err2=1.0264e-261, errA = 4.17811e-260
i=151, err2=1.44613e-261, errA = 4.17965e-260
i=152, err2=4.89219e-261, errA = 4.18296e-260
i=153, err2=8.38313e-262, errA = 4.18547e-260
i=154, err2=1.33846e-261, errA = 4.1864e-260
i=155, err2=1.10865e-261, errA = 4.1866e-260
i=156, err2=7.99527e-262, errA = 4.19021e-260
i=157, err2=6.95703e-262, errA = 4.19028e-260
i=158, err2=2.71295e-262, errA = 4.19055e-260
i=159, err2=1.24262e-261, errA = 4.19072e-260
i=160, err2=4.32741e-262, errA = 4.19151e-260
i=161, err2=5.00973e-262, errA = 4.1917e-260
i=162, err2=1.90372e-262, errA = 4.19175e-260
i=163, err2=4.94521e-262, errA = 4.19218e-260
i=164, err2=3.20529e-262, errA = 4.19224e-260
i=165, err2=1.02172e-262, errA = 4.19235e-260
i=166, err2=1.02094e-261, errA = 4.19279e-260
i=167, err2=2.71825e-262, errA = 4.19391e-260
i=168, err2=1.6267e-262, errA = 4.19421e-260
i=169, err2=3.94757e-262, errA = 4.19428e-260
i=170, err2=2.54042e-262, errA = 4.19733e-260
i=171, err2=4.28785e-262, errA = 4.19745e-260
i=172, err2=2.78667e-262, errA = 4.1978e-260
i=173, err2=1.59175e-261, errA = 4.20076e-260
i=174, err2=1.40897e-262, errA = 4.20261e-260
i=175, err2=4.24108e-262, errA = 4.20276e-260
i=176, err2=2.47643e-262, errA = 4.20301e-260
i=177, err2=3.28478e-262, errA = 4.2038e-260
i=178, err2=6.1359e-263, errA = 4.20387e-260
i=179, err2=1.4652e-262, errA = 4.20399e-260
i=180, err2=1.63016e-262, errA = 4.20405e-260
i=181, err2=6.64862e-263, errA = 4.20444e-260
i=182, err2=1.45311e-262, errA = 4.20452e-260
i=183, err2=8.42223e-263, errA = 4.20455e-260
i=184, err2=1.13081e-262, errA = 4.20479e-260
i=185, err2=7.9104e-263, errA = 4.20481e-260
i=186, err2=7.6543e-263, errA = 4.20491e-260
i=187, err2=7.28323e-263, errA = 4.20492e-260
i=188, err2=8.77906e-263, errA = 4.20503e-260
i=189, err2=8.24273e-263, errA = 4.20505e-260
i=190, err2=1.53756e-262, errA = 4.20527e-260
i=191, err2=6.76863e-263, errA = 4.20532e-260
i=192, err2=1.38697e-262, errA = 4.20541e-260
i=193, err2=7.83791e-263, errA = 4.20548e-260
i=194, err2=2.94302e-262, errA = 4.20571e-260
i=195, err2=1.16153e-262, errA = 4.20668e-260
i=196, err2=8.30374e-263, errA = 4.20672e-260
i=197, err2=1.66973e-262, errA = 4.20703e-260
i=198, err2=1.69519e-262, errA = 4.20718e-260
i=199, err2=1.82454e-262, errA = 4.20842e-260
i=200, err2=7.38189e-263, errA = 4.20851e-260
i=201, err2=3.93254e-262, errA = 4.20929e-260
i=202, err2=1.90015e-262, errA = 4.21005e-260
i=203, err2=1.93368e-262, errA = 4.21091e-260
i=204, err2=7.77351e-263, errA = 4.21103e-260
i=205, err2=2.97532e-262, errA = 4.21204e-260
i=206, err2=1.1318e-262, errA = 4.21234e-260
i=207, err2=5.09702e-263, errA = 4.21259e-260
i=208, err2=6.83398e-263, errA = 4.21261e-260
i=209, err2=1.33686e-262, errA = 4.21338e-260
i=210, err2=1.98671e-262, errA = 4.21357e-260
i=211, err2=4.74216e-263, errA = 4.21406e-260
i=212, err2=1.91373e-262, errA = 4.21473e-260
i=213, err2=1.7804e-262, errA = 4.21498e-260
i=214, err2=5.75381e-263, errA = 4.21688e-260
i=215, err2=3.33215e-262, errA = 4.21756e-260
i=216, err2=2.29243e-262, errA = 4.21879e-260
i=217, err2=1.24689e-262, errA = 4.22488e-260
i=218, err2=2.59963e-262, errA = 4.22519e-260
i=219, err2=3.13551e-262, errA = 4.25315e-260
i=220, err2=4.00781e-262, errA = 4.25441e-260
i=221, err2=1.33958e-262, errA = 4.25633e-260
i=222, err2=8.96594e-262, errA = 4.26136e-260
i=223, err2=2.26998e-262, errA = 4.26992e-260
i=224, err2=2.77736e-262, errA = 4.27213e-260
i=225, err2=1.86797e-262, errA = 4.27261e-260
i=226, err2=3.96898e-262, errA = 4.28563e-260
i=227, err2=3.54659e-262, errA = 4.28678e-260
i=228, err2=1.17913e-262, errA = 4.28977e-260
i=229, err2=4.8993e-262, errA = 4.29109e-260
i=230, err2=2.89523e-262, errA = 4.29408e-260
i=231, err2=1.81659e-262, errA = 4.3025e-260
i=232, err2=4.53097e-262, errA = 4.30349e-260
i=233, err2=4.07326e-262, errA = 4.30925e-260
i=234, err2=6.7452e-262, errA = 4.3648e-260
i=235, err2=4.3585e-262, errA = 4.36724e-260
i=236, err2=4.63299e-262, errA = 4.37804e-260
i=237, err2=1.37596e-261, errA = 4.47729e-260
i=238, err2=5.70533e-262, errA = 4.48556e-260
i=239, err2=7.19593e-262, errA = 4.50883e-260
i=240, err2=4.76066e-261, errA = 4.6486e-260
i=241, err2=7.32904e-262, errA = 4.81613e-260
i=242, err2=9.92314e-262, errA = 4.85375e-260
i=243, err2=2.16019e-261, errA = 4.87308e-260
i=244, err2=3.99624e-262, errA = 5.05764e-260
i=245, err2=1.18804e-261, errA = 5.07221e-260
i=246, err2=8.64941e-262, errA = 5.08056e-260
i=247, err2=3.29086e-262, errA = 5.1531e-260
i=248, err2=1.04534e-261, errA = 5.15685e-260
i=249, err2=7.40619e-262, errA = 5.20553e-260
i=250, err2=5.69573e-262, errA = 5.2223e-260
i=251, err2=2.4994e-262, errA = 5.22348e-260
i=252, err2=1.05639e-261, errA = 5.26869e-260
i=253, err2=6.99972e-262, errA = 5.27354e-260
i=254, err2=3.87939e-262, errA = 5.28634e-260
i=255, err2=2.80838e-261, errA = 5.32042e-260
i=256, err2=5.71226e-262, errA = 5.3856e-260
i=257, err2=3.98871e-262, errA = 5.39524e-260
i=258, err2=3.9695e-262, errA = 5.39617e-260
i=259, err2=6.23516e-262, errA = 5.43562e-260
i=260, err2=7.92258e-262, errA = 5.43897e-260
i=261, err2=2.55979e-262, errA = 5.44584e-260
i=262, err2=1.18847e-261, errA = 5.46097e-260
i=263, err2=4.03059e-262, errA = 5.46653e-260
i=264, err2=1.27187e-262, errA = 5.47114e-260
i=265, err2=2.45581e-262, errA = 5.47136e-260
i=266, err2=2.61132e-262, errA = 5.47399e-260
i=267, err2=6.01591e-262, errA = 5.4763e-260
i=268, err2=1.00196e-262, errA = 5.47815e-260
i=269, err2=4.0299e-262, errA = 5.47913e-260
i=270, err2=2.47164e-262, errA = 5.48011e-260
i=271, err2=3.43706e-262, errA = 5.48551e-260
i=272, err2=1.04109e-262, errA = 5.4859e-260
i=273, err2=4.51772e-262, errA = 5.48764e-260
i=274, err2=3.24075e-262, errA = 5.48871e-260
i=275, err2=3.57283e-262, errA = 5.49614e-260
i=276, err2=1.36194e-262, errA = 5.49656e-260
i=277, err2=1.109e-261, errA = 5.50262e-260
i=278, err2=2.37652e-262, errA = 5.50998e-260
i=279, err2=3.65095e-262, errA = 5.51106e-260
i=280, err2=1.30062e-262, errA = 5.51171e-260
i=281, err2=7.28167e-262, errA = 5.5146e-260
i=282, err2=1.52668e-262, errA = 5.51761e-260
i=283, err2=2.38109e-262, errA = 5.51812e-260
i=284, err2=8.90246e-263, errA = 5.51839e-260
i=285, err2=4.0297e-262, errA = 5.51974e-260
i=286, err2=1.63725e-262, errA = 5.52049e-260
i=287, err2=1.34477e-262, errA = 5.52146e-260
i=288, err2=5.3794e-263, errA = 5.52152e-260
i=289, err2=9.65936e-263, errA = 5.52167e-260
i=290, err2=7.857e-263, errA = 5.52171e-260
i=291, err2=8.86175e-263, errA = 5.52225e-260
i=292, err2=2.3444e-263, errA = 5.52228e-260
i=293, err2=8.08184e-263, errA = 5.52232e-260
i=294, err2=7.55385e-263, errA = 5.52248e-260
i=295, err2=1.30497e-262, errA = 5.52258e-260
i=296, err2=6.39533e-263, errA = 5.52307e-260
i=297, err2=4.45328e-263, errA = 5.52309e-260
i=298, err2=7.97727e-263, errA = 5.52317e-260
i=299, err2=5.14814e-263, errA = 5.52322e-260
i=300, err2=2.75857e-262, errA = 5.52384e-260
i=301, err2=8.06457e-263, errA = 5.52489e-260
i=302, err2=1.25711e-262, errA = 5.52502e-260
i=303, err2=5.38667e-263, errA = 5.52534e-260
i=304, err2=9.19978e-263, errA = 5.5254e-260
i=305, err2=1.06559e-262, errA = 5.52613e-260
i=306, err2=1.92136e-262, errA = 5.52641e-260
i=307, err2=1.35769e-262, errA = 5.52895e-260
i=308, err2=8.75559e-263, errA = 5.52911e-260
i=309, err2=6.39837e-263, errA = 5.52954e-260
i=310, err2=7.4073e-263, errA = 5.52959e-260
i=311, err2=4.21293e-262, errA = 5.53178e-260
i=312, err2=9.41845e-263, errA = 5.53357e-260
i=313, err2=1.27524e-262, errA = 5.53376e-260
i=314, err2=5.30688e-263, errA = 5.53403e-260
i=315, err2=8.97869e-263, errA = 5.53408e-260
i=316, err2=2.65235e-262, errA = 5.53524e-260
i=317, err2=1.2204e-262, errA = 5.53581e-260
i=318, err2=1.81282e-262, errA = 5.53628e-260
i=319, err2=4.77029e-263, errA = 5.53659e-260
i=320, err2=7.13764e-263, errA = 5.53663e-260
i=321, err2=3.30868e-262, errA = 5.5377e-260
i=322, err2=1.75403e-262, errA = 5.53912e-260
i=323, err2=3.05792e-262, errA = 5.54005e-260
i=324, err2=1.13164e-262, errA = 5.54162e-260
i=325, err2=9.30943e-263, errA = 5.54172e-260
i=326, err2=3.999e-262, errA = 5.54273e-260
i=327, err2=4.08627e-262, errA = 5.54759e-260
i=328, err2=5.33643e-262, errA = 5.55007e-260
i=329, err2=8.29008e-262, errA = 5.56655e-260
i=330, err2=1.91063e-262, errA = 5.57117e-260
i=331, err2=2.28409e-262, errA = 5.57162e-260
i=332, err2=3.79672e-262, errA = 5.57429e-260
i=333, err2=2.9936e-262, errA = 5.5757e-260
i=334, err2=1.14264e-261, errA = 5.58454e-260
i=335, err2=5.86731e-262, errA = 5.61525e-260
i=336, err2=2.40168e-262, errA = 5.61741e-260
i=337, err2=5.45023e-262, errA = 5.61988e-260
i=338, err2=3.84796e-262, errA = 5.62487e-260
i=339, err2=6.6109e-262, errA = 5.62794e-260
i=340, err2=1.6413e-261, errA = 5.67119e-260
i=341, err2=3.72585e-262, errA = 5.69116e-260
i=342, err2=3.25291e-262, errA = 5.69247e-260
i=343, err2=2.74381e-262, errA = 5.69515e-260
i=344, err2=1.33888e-262, errA = 5.69566e-260
i=345, err2=4.61645e-262, errA = 5.69693e-260
i=346, err2=5.39051e-262, errA = 5.70923e-260
i=347, err2=1.63715e-262, errA = 5.71107e-260
i=348, err2=2.33968e-262, errA = 5.71166e-260
i=349, err2=9.75216e-263, errA = 5.7123e-260
i=350, err2=9.69973e-263, errA = 5.71239e-260
i=351, err2=3.92079e-262, errA = 5.71366e-260
i=352, err2=2.03156e-262, errA = 5.71583e-260
i=353, err2=2.55461e-262, errA = 5.71646e-260
i=354, err2=1.38439e-262, errA = 5.71778e-260
i=355, err2=4.91868e-263, errA = 5.71789e-260
i=356, err2=1.40665e-262, errA = 5.71803e-260
i=357, err2=1.43854e-262, errA = 5.71906e-260
i=358, err2=1.68664e-262, errA = 5.71939e-260
i=359, err2=1.37005e-262, errA = 5.72059e-260
i=360, err2=3.74229e-263, errA = 5.7207e-260
i=361, err2=7.98053e-263, errA = 5.72075e-260
i=362, err2=1.40177e-262, errA = 5.72141e-260
i=363, err2=1.75767e-262, errA = 5.72175e-260
i=364, err2=2.86599e-262, errA = 5.72457e-260
i=365, err2=6.57106e-263, errA = 5.72518e-260
i=366, err2=9.81898e-263, errA = 5.72529e-260
i=367, err2=5.75656e-263, errA = 5.72553e-260
i=368, err2=1.55298e-262, errA = 5.72573e-260
i=369, err2=1.23738e-262, errA = 5.72755e-260
i=370, err2=3.56325e-263, errA = 5.72765e-260
i=371, err2=6.89528e-263, errA = 5.72772e-260
i=372, err2=3.17144e-263, errA = 5.7278e-260
i=373, err2=7.62967e-263, errA = 5.72792e-260
i=374, err2=3.12912e-263, errA = 5.72798e-260
i=375, err2=6.34959e-263, errA = 5.72803e-260
i=376, err2=2.41292e-263, errA = 5.72813e-260
i=377, err2=3.30841e-263, errA = 5.72814e-260
i=378, err2=3.0047e-263, errA = 5.72816e-260
i=379, err2=3.19058e-263, errA = 5.72816e-260
i=380, err2=4.75119e-263, errA = 5.72821e-260
i=381, err2=4.45087e-263, errA = 5.72824e-260
i=382, err2=5.91493e-263, errA = 5.72829e-260
i=383, err2=3.92499e-263, errA = 5.72833e-260
i=384, err2=3.50287e-263, errA = 5.72834e-260
i=385, err2=3.16407e-263, errA = 5.72837e-260
i=386, err2=3.30519e-263, errA = 5.72838e-260
i=387, err2=5.35164e-263, errA = 5.72843e-260
i=388, err2=3.43572e-263, errA = 5.72847e-260
i=389, err2=4.0456e-263, errA = 5.72849e-260
i=390, err2=3.29553e-263, errA = 5.72852e-260
i=391, err2=3.86104e-263, errA = 5.72853e-260
i=392, err2=5.15818e-263, errA = 5.72857e-260
i=393, err2=4.59809e-263, errA = 5.7286e-260
i=394, err2=5.67177e-263, errA = 5.72863e-260
i=395, err2=5.86383e-263, errA = 5.72871e-260
i=396, err2=4.64413e-263, errA = 5.72875e-260
i=397, err2=5.27823e-263, errA = 5.72878e-260
i=398, err2=4.18188e-263, errA = 5.72882e-260
i=399, err2=3.46141e-263, errA = 5.72883e-260
i=400, err2=4.75873e-263, errA = 5.72887e-260
i=401, err2=3.9712e-263, errA = 5.72892e-260
i=402, err2=6.17146e-263, errA = 5.72898e-260
i=403, err2=4.969e-263, errA = 5.7291e-260
i=404, err2=3.82875e-263, errA = 5.72913e-260
i=405, err2=5.17637e-263, errA = 5.72919e-260
i=406, err2=4.63225e-263, errA = 5.72924e-260
i=407, err2=7.33209e-263, errA = 5.72931e-260
i=408, err2=8.38521e-263, errA = 5.7295e-260
i=409, err2=6.95281e-263, errA = 5.72961e-260
i=410, err2=8.63086e-263, errA = 5.72977e-260
i=411, err2=5.52934e-263, errA = 5.72991e-260
i=412, err2=5.82399e-263, errA = 5.72997e-260
i=413, err2=7.10283e-263, errA = 5.73009e-260
i=414, err2=5.55813e-263, errA = 5.73018e-260
i=415, err2=9.97889e-263, errA = 5.73035e-260
i=416, err2=7.94876e-263, errA = 5.73074e-260
i=417, err2=7.88161e-263, errA = 5.73088e-260
i=418, err2=9.03454e-263, errA = 5.73114e-260
i=419, err2=6.25336e-263, errA = 5.73127e-260
i=420, err2=9.64788e-263, errA = 5.73141e-260
i=421, err2=1.03766e-262, errA = 5.73177e-260
i=422, err2=1.13633e-262, errA = 5.73201e-260
i=423, err2=1.61918e-262, errA = 5.7326e-260
i=424, err2=9.88296e-263, errA = 5.73305e-260
i=425, err2=1.02077e-262, errA = 5.73325e-260
i=426, err2=9.16048e-263, errA = 5.73359e-260
i=427, err2=7.89445e-263, errA = 5.73373e-260
i=428, err2=1.39415e-262, errA = 5.73406e-260
i=429, err2=1.07698e-262, errA = 5.73457e-260
i=430, err2=1.2048e-262, errA = 5.73486e-260
i=431, err2=1.13158e-262, errA = 5.73545e-260
i=432, err2=7.56395e-263, errA = 5.73565e-260
i=433, err2=1.06775e-262, errA = 5.73583e-260
i=434, err2=9.25391e-263, errA = 5.73609e-260
i=435, err2=1.01269e-262, errA = 5.73625e-260
i=436, err2=1.51177e-262, errA = 5.73672e-260
i=437, err2=1.0742e-262, errA = 5.73714e-260
i=438, err2=1.23528e-262, errA = 5.73739e-260
i=439, err2=1.02067e-262, errA = 5.73776e-260
i=440, err2=7.1865e-263, errA = 5.73789e-260
i=441, err2=1.01773e-262, errA = 5.73806e-260
i=442, err2=8.51564e-263, errA = 5.73833e-260
i=443, err2=1.13767e-262, errA = 5.73853e-260
i=444, err2=1.37625e-262, errA = 5.73914e-260
i=445, err2=8.45869e-263, errA = 5.73942e-260
i=446, err2=1.07925e-262, errA = 5.73965e-260
i=447, err2=8.06233e-263, errA = 5.73992e-260
i=448, err2=9.54594e-263, errA = 5.74005e-260
i=449, err2=1.48656e-262, errA = 5.74046e-260
i=450, err2=1.18297e-262, errA = 5.74085e-260
i=451, err2=1.56497e-262, errA = 5.74124e-260
i=452, err2=1.26752e-262, errA = 5.74191e-260
i=453, err2=9.39228e-263, errA = 5.74213e-260
i=454, err2=1.22123e-262, errA = 5.7424e-260
i=455, err2=8.82158e-263, errA = 5.74267e-260
i=456, err2=1.11009e-262, errA = 5.74285e-260
i=457, err2=1.58093e-262, errA = 5.74356e-260
i=458, err2=1.16522e-262, errA = 5.74402e-260
i=459, err2=1.64275e-262, errA = 5.74454e-260
i=460, err2=1.01817e-262, errA = 5.74508e-260
i=461, err2=1.01859e-262, errA = 5.74526e-260
i=462, err2=1.46996e-262, errA = 5.74575e-260
i=463, err2=1.29114e-262, errA = 5.74617e-260
i=464, err2=2.23416e-262, errA = 5.74686e-260
i=465, err2=1.91779e-262, errA = 5.74829e-260
i=466, err2=1.5818e-262, errA = 5.74887e-260
i=467, err2=1.86496e-262, errA = 5.74977e-260
i=468, err2=1.18596e-262, errA = 5.75034e-260
i=469, err2=1.80761e-262, errA = 5.75079e-260
i=470, err2=2.13738e-262, errA = 5.75219e-260
i=471, err2=2.04562e-262, errA = 5.7531e-260
i=472, err2=3.33301e-262, errA = 5.75554e-260
i=473, err2=1.85181e-262, errA = 5.7576e-260
i=474, err2=2.19943e-262, errA = 5.75846e-260
i=475, err2=2.14409e-262, errA = 5.76011e-260
i=476, err2=1.92916e-262, errA = 5.76091e-260
i=477, err2=3.87291e-262, errA = 5.76327e-260
i=478, err2=3.12752e-262, errA = 5.76711e-260
i=479, err2=3.85186e-262, errA = 5.76964e-260
i=480, err2=3.60438e-262, errA = 5.77481e-260
i=481, err2=2.22386e-262, errA = 5.77663e-260
i=482, err2=3.37026e-262, errA = 5.77864e-260
i=483, err2=2.6787e-262, errA = 5.78159e-260
i=484, err2=3.84538e-262, errA = 5.78381e-260
i=485, err2=5.55946e-262, errA = 5.79267e-260
i=486, err2=3.64102e-262, errA = 5.79776e-260
i=487, err2=4.89236e-262, errA = 5.80277e-260
i=488, err2=2.82599e-262, errA = 5.80772e-260
i=489, err2=3.15344e-262, errA = 5.80948e-260
i=490, err2=4.70596e-262, errA = 5.81482e-260
i=491, err2=3.82588e-262, errA = 5.81895e-260
i=492, err2=6.46198e-262, errA = 5.82571e-260
i=493, err2=4.26671e-262, errA = 5.83606e-260
i=494, err2=3.57451e-262, errA = 5.83908e-260
i=495, err2=3.91954e-262, errA = 5.84367e-260
i=496, err2=2.45845e-262, errA = 5.84601e-260
i=497, err2=4.15481e-262, errA = 5.84851e-260
i=498, err2=4.0453e-262, errA = 5.85494e-260
i=499, err2=4.00577e-262, errA = 5.85828e-260
i=500, err2=4.93158e-262, errA = 5.8654e-260
i=501, err2=2.51434e-262, errA = 5.86888e-260
i=502, err2=3.15254e-262, errA = 5.87059e-260
i=503, err2=2.80813e-262, errA = 5.87361e-260
i=504, err2=2.9456e-262, errA = 5.87516e-260
i=505, err2=5.23043e-262, errA = 5.88012e-260
