,,,,||xbar||_A,1870.562683,,,,,,,,,,
Julia_default,Julia_64,Julia_128,Julia_1024,Matlab_default,Matlab_1024,,Matlab_default_absolute^2,Matlab_1024_absolute^2,,Julia_default,Julia_64,Julia_128,Julia_1024,Matlab_default,Matlab_1024
4.82E-12,1.07E-12,1.07E-12,9.94E+137,3.54373E-11,3.39371E-11,,4.39E-15,4.03E-15,,,,,,,
4.82E-12,1.07E-12,1.07E-12,9.32E+137,3.51552E-11,3.64046E-11,,4.32E-15,4.64E-15,,,,,,,
4.82E-12,1.07E-12,1.07E-12,7.50E+137,3.48689E-11,3.57634E-11,,4.25E-15,4.48E-15,,,,,,,
5.02E-12,1.07E-12,1.07E-12,5.26E+137,3.56574E-11,3.59658E-11,,4.45E-15,4.53E-15,,,,,,,
5.36E-12,1.07E-12,1.07E-12,1.22E+138,3.59053E-11,3.46817E-11,,4.51E-15,4.21E-15,,,,,,,
5.37E-12,1.07E-12,1.07E-12,8.88E+137,3.3822E-11,3.50437E-11,,4.00E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.42E+138,3.31637E-11,3.50296E-11,,3.85E-15,4.29E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.46897E-11,3.50411E-11,,4.21E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.56846E-11,3.50883E-11,,4.46E-15,4.31E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.47872E-11,3.504E-11,,4.23E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.47709E-11,3.49915E-11,,4.23E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50286E-11,3.50451E-11,,4.29E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.51035E-11,3.50589E-11,,4.31E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50344E-11,3.5024E-11,,4.29E-15,4.29E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50137E-11,3.50308E-11,,4.29E-15,4.29E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.51304E-11,3.50223E-11,,4.32E-15,4.29E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.52557E-11,3.49161E-11,,4.35E-15,4.27E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.52069E-11,3.49549E-11,,4.34E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.51637E-11,3.50018E-11,,4.33E-15,4.29E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49279E-11,3.49734E-11,,4.27E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50225E-11,3.50459E-11,,4.29E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50257E-11,3.5055E-11,,4.29E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.5008E-11,3.50189E-11,,4.29E-15,4.29E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49484E-11,3.50164E-11,,4.27E-15,4.29E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.4974E-11,3.50478E-11,,4.28E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49961E-11,3.50518E-11,,4.29E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49734E-11,3.5037E-11,,4.28E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50201E-11,3.50011E-11,,4.29E-15,4.29E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50029E-11,3.50644E-11,,4.29E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49847E-11,3.50362E-11,,4.28E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49938E-11,3.49982E-11,,4.28E-15,4.29E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50128E-11,3.48247E-11,,4.29E-15,4.24E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49995E-11,3.49133E-11,,4.29E-15,4.27E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49696E-11,3.4932E-11,,4.28E-15,4.27E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50116E-11,3.43398E-11,,4.29E-15,4.13E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50149E-11,3.4657E-11,,4.29E-15,4.20E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50114E-11,3.48671E-11,,4.29E-15,4.25E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50009E-11,3.50037E-11,,4.29E-15,4.29E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50079E-11,3.4882E-11,,4.29E-15,4.26E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50047E-11,3.49532E-11,,4.29E-15,4.27E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49999E-11,3.49858E-11,,4.29E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50201E-11,3.50624E-11,,4.29E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50374E-11,3.49636E-11,,4.30E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49858E-11,3.5013E-11,,4.28E-15,4.29E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49693E-11,3.50714E-11,,4.28E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49178E-11,3.49668E-11,,4.27E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49091E-11,3.49353E-11,,4.26E-15,4.27E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49819E-11,3.49781E-11,,4.28E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.4977E-11,3.50352E-11,,4.28E-15,4.29E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49657E-11,3.50953E-11,,4.28E-15,4.31E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.49888E-11,3.50501E-11,,4.28E-15,4.30E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50196E-11,3.4971E-11,,4.29E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50669E-11,3.49773E-11,,4.30E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50356E-11,3.49276E-11,,4.30E-15,4.27E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50233E-11,3.49423E-11,,4.29E-15,4.27E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50046E-11,3.48864E-11,,4.29E-15,4.26E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50091E-11,3.4924E-11,,4.29E-15,4.27E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50316E-11,3.49532E-11,,4.29E-15,4.27E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50107E-11,3.49705E-11,,4.29E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.5006E-11,3.49334E-11,,4.29E-15,4.27E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50238E-11,3.49783E-11,,4.29E-15,4.28E-15,,,,,,,
5.40E-12,1.07E-12,1.07E-12,1.23E+137,3.50342E-11,3.49699E-11,,4.29E-15,4.28E-15,,,,,,,
