=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 64
====DATA = ../graphs/pathDisjoint_30_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 10038889.327380
||xbar||_A = 1870.562683
i=  1, err2=0.162317, errA = 0.42331
i= 44, err2=9.32478e-71, errA = 6.56023e-68
i= 45, err2=1.19231e-69, errA = 6.55927e-68
i= 46, err2=2.5377e-70, errA = 6.52446e-68
i= 47, err2=7.2933e-70, errA = 6.52389e-68
i= 48, err2=4.96901e-70, errA = 6.52262e-68
i= 49, err2=2.38456e-70, errA = 6.51599e-68
i= 50, err2=9.18741e-71, errA = 6.51595e-68
i= 51, err2=2.00144e-70, errA = 6.51563e-68
i= 52, err2=4.77374e-70, errA = 6.51534e-68
i= 53, err2=7.23218e-71, errA = 6.51488e-68
i= 54, err2=7.66206e-70, errA = 6.51444e-68
i= 55, err2=3.04297e-70, errA = 6.51146e-68
i= 56, err2=3.32679e-70, errA = 6.51089e-68
i= 57, err2=1.851e-70, errA = 6.51079e-68
i= 58, err2=2.5533e-70, errA = 6.50503e-68
i= 59, err2=4.60087e-70, errA = 6.5048e-68
i= 60, err2=2.71106e-70, errA = 6.50434e-68
i= 61, err2=1.03015e-68, errA = 6.35824e-68
i= 62, err2=2.17155e-69, errA = 6.22834e-68
i= 63, err2=9.00844e-70, errA = 6.1987e-68
i= 64, err2=2.05904e-69, errA = 6.19526e-68
i= 65, err2=6.74931e-70, errA = 6.12093e-68
i= 66, err2=1.16893e-69, errA = 6.11858e-68
i= 67, err2=5.62287e-70, errA = 6.1167e-68
i= 68, err2=1.35198e-69, errA = 6.08314e-68
i= 69, err2=5.09471e-70, errA = 6.08166e-68
i= 70, err2=6.35795e-70, errA = 6.07807e-68
i= 71, err2=4.21398e-69, errA = 6.06158e-68
i= 72, err2=7.70359e-70, errA = 6.00996e-68
i= 73, err2=8.20022e-70, errA = 6.0043e-68
i= 74, err2=9.65295e-70, errA = 6.00311e-68
i= 75, err2=1.1509e-69, errA = 5.93742e-68
i= 76, err2=1.61527e-69, errA = 5.93374e-68
i= 77, err2=6.52283e-70, errA = 5.92731e-68
i= 78, err2=7.89515e-69, errA = 5.84458e-68
i= 79, err2=3.43629e-69, errA = 5.7329e-68
i= 80, err2=1.32448e-69, errA = 5.61864e-68
i= 81, err2=1.08145e-69, errA = 5.6164e-68
i= 82, err2=1.63616e-69, errA = 5.57746e-68
i= 83, err2=2.83849e-69, errA = 5.55548e-68
i= 84, err2=2.52821e-70, errA = 5.54662e-68
i= 85, err2=7.17437e-70, errA = 5.54503e-68
i= 86, err2=6.50552e-70, errA = 5.54419e-68
i= 87, err2=8.86036e-70, errA = 5.50031e-68
i= 88, err2=6.75155e-70, errA = 5.49932e-68
i= 89, err2=6.03429e-70, errA = 5.49536e-68
i= 90, err2=3.83738e-69, errA = 5.47658e-68
i= 91, err2=4.31761e-70, errA = 5.44751e-68
i= 92, err2=7.91755e-70, errA = 5.44547e-68
i= 93, err2=5.52386e-70, errA = 5.44462e-68
i= 94, err2=3.46939e-70, errA = 5.42904e-68
i= 95, err2=2.70359e-70, errA = 5.4289e-68
i= 96, err2=6.06459e-70, errA = 5.42589e-68
i= 97, err2=2.41397e-70, errA = 5.41629e-68
i= 98, err2=1.39875e-70, errA = 5.41624e-68
i= 99, err2=2.18586e-70, errA = 5.41457e-68
i=100, err2=1.33257e-70, errA = 5.41452e-68
