anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 70      errA=215003.27844621404      err2_a=0.016973964157612754      err2_b=971.2551683246928
iter = 71      errA=203248.92883335194      err2_a=0.01541240097651019      err2_b=917.2561293494092
iter = 72      errA=200123.7554096693      err2_a=0.015011987180636378      err2_b=902.8502668123056
iter = 73      errA=200116.6789557272      err2_a=0.015011087032978168      err2_b=902.8176793370434
iter = 74      errA=193873.89262055382      err2_a=0.014228523473549035      err2_b=874.1214783892294
iter = 75      errA=182806.6157864041      err2_a=0.012902518057918203      err2_b=822.9850224070641
iter = 76      errA=182084.130589438      err2_a=0.012818616995852624      err2_b=819.6424793349493
iter = 77      errA=177201.39503069394      err2_a=0.012260056092402164      err2_b=797.0482958141222
iter = 78      errA=175884.74202669904      err2_a=0.012112010093213518      err2_b=790.9488478398002
iter = 79      errA=175046.37152892043      err2_a=0.012018306351273185      err2_b=787.0641912295888
iter = 80      errA=169211.64281423393      err2_a=0.011378666781972352      err2_b=759.9677765776419
iter = 81      errA=166240.24922077445      err2_a=0.01106122143237359      err2_b=746.1398543032865
iter = 82      errA=158551.56098600378      err2_a=0.010264812762111903      err2_b=710.3864422466523
iter = 83      errA=156794.6789934394      err2_a=0.01008816885573084      err2_b=702.1880789823448
iter = 84      errA=155652.3292268016      err2_a=0.0099740882593284      err2_b=696.8872820565977
iter = 85      errA=154904.88709745347      err2_a=0.00989989835107015      err2_b=693.4165487892991
iter = 86      errA=154531.44317248574      err2_a=0.009862965729647948      err2_b=691.6816960846172
iter = 87      errA=148499.19265074455      err2_a=0.009278123684693693      err2_b=663.6754555787595
iter = 88      errA=140665.37051884408      err2_a=0.008551688882138753      err2_b=627.3378158280826
iter = 89      errA=140263.3578234383      err2_a=0.008515442692615754      err2_b=625.4709076306528
iter = 90      errA=137083.94490467274      err2_a=0.008231845736126876      err2_b=610.7603397657873
iter = 91      errA=133706.3320457926      err2_a=0.007937783164220185      err2_b=595.0772316369146
iter = 92      errA=131082.05589180518      err2_a=0.007714177442324042      err2_b=582.8859573384367
iter = 93      errA=130809.59379137753      err2_a=0.007691163271818786      err2_b=581.6254631722567
iter = 94      errA=130426.54633991022      err2_a=0.007658885028342112      err2_b=579.8533663610327
iter = 95      errA=128745.3052955039      err2_a=0.007518320332779828      err2_b=572.0691910795764
iter = 96      errA=127547.57176818198      err2_a=0.007419298115610344      err2_b=566.5153123235774
iter = 97      errA=127340.74659429988      err2_a=0.0074022886591689555      err2_b=565.5561420644052
iter = 98      errA=122994.40236989119      err2_a=0.007051317145070811      err2_b=545.3425122920459
iter = 99      errA=122414.5937553661      err2_a=0.0070053017920382685      err2_b=542.6549511489264
iter = 100      errA=116870.13870442254      err2_a=0.006576254502528005      err2_b=516.870886182661
iter = 101      errA=113917.73839293756      err2_a=0.006355775732241702      err2_b=503.0937445049899
iter = 102      errA=113646.84202580598      err2_a=0.006335759178458942      err2_b=501.836648955449
iter = 103      errA=112090.97955540771      err2_a=0.006221734126862795      err2_b=494.6064853360721
iter = 104      errA=108116.94776388432      err2_a=0.005937662298060849      err2_b=476.0693766466083
iter = 105      errA=107206.0674294215      err2_a=0.005874020073387496      err2_b=471.8038531217653
iter = 106      errA=104193.4086363093      err2_a=0.005666446143030265      err2_b=457.784788587496
iter = 107      errA=102945.02610831948      err2_a=0.0055821281140087334      err2_b=451.963031213376
iter = 108      errA=101827.03021780936      err2_a=0.005507489276669784      err2_b=446.7388916613744
iter = 109      errA=101754.96776614258      err2_a=0.005502706659901014      err2_b=446.40180828286617
iter = 110      errA=99679.44403354314      err2_a=0.005366276407783564      err2_b=436.69627282995333
iter = 111      errA=99016.91047277414      err2_a=0.005323160461513756      err2_b=433.61331258043543
iter = 112      errA=96421.19258033134      err2_a=0.00515689563574596      err2_b=421.5176253347155
iter = 113      errA=93675.73570955703      err2_a=0.004985934167164626      err2_b=408.65346380589386
iter = 114      errA=93668.38055217994      err2_a=0.004985481144853482      err2_b=408.6191454409447
iter = 115      errA=93659.02248533386      err2_a=0.004984904466429725      err2_b=408.57552864113615
iter = 116      errA=90507.06028073037      err2_a=0.004793700680304488      err2_b=393.8748338257058
iter = 117      errA=88519.64490844205      err2_a=0.004676508252284518      err2_b=384.55849294676943
iter = 118      errA=87468.81293310122      err2_a=0.004615593143196202      err2_b=379.61774321579645
iter = 119      errA=86652.12751049017      err2_a=0.004568554753721721      err2_b=375.7980936038763
iter = 120      errA=86578.5469909555      err2_a=0.004564334643862784      err2_b=375.4541464435685
iter = 121      errA=86418.18371160225      err2_a=0.00455514955608259      err2_b=374.70435772625126
iter = 122      errA=86365.92999000929      err2_a=0.004552153878569493      err2_b=374.46087701139726
iter = 123      errA=82673.54819542909      err2_a=0.00434469058069037      err2_b=357.23256501360237
iter = 124      errA=82335.0841255969      err2_a=0.00432598357398414      err2_b=355.6655865534202
iter = 125      errA=78623.17583460515      err2_a=0.004125978515419907      err2_b=338.37155030749824
iter = 126      errA=78605.21528710515      err2_a=0.004125025235767947      err2_b=338.28855362400293
iter = 127      errA=75756.73278565532      err2_a=0.0039766519684784445      err2_b=325.0610286692678
iter = 128      errA=74752.20536169178      err2_a=0.003925336371588723      err2_b=320.4101561201635
iter = 129      errA=74546.99470999758      err2_a=0.003914932774283437      err2_b=319.45885400269333
iter = 130      errA=73187.34786616344      err2_a=0.0038465113532541685      err2_b=313.1693418760338
iter = 131      errA=72484.16965552526      err2_a=0.003811580237701441      err2_b=309.91058811419424
iter = 132      errA=72161.22098574585      err2_a=0.003795653612476675      err2_b=308.4108382417055
iter = 133      errA=71977.65650158098      err2_a=0.003786627677730102      err2_b=307.55830945254746
iter = 134      errA=71634.69347988116      err2_a=0.003769817216472916      err2_b=305.9651811254149
iter = 135      errA=71442.03330528684      err2_a=0.003760408667127634      err2_b=305.0694522344894
iter = 136      errA=71177.80967528158      err2_a=0.0037474763590278183      err2_b=303.8496937409462
iter = 137      errA=68846.88297520271      err2_a=0.003635073113964028      err2_b=293.0914605950668
iter = 138      errA=68844.08465012336      err2_a=0.003634940139388588      err2_b=293.07852573866467
iter = 139      errA=67401.32871224993      err2_a=0.0035670535338756205      err2_b=286.39694514692724
iter = 140      errA=67300.19723084512      err2_a=0.003562339072672357      err2_b=285.9284803237506
iter = 141      errA=65430.924040647544      err2_a=0.0034760096618487836      err2_b=277.29799083060226
iter = 142      errA=64475.64994434833      err2_a=0.003432803504405935      err2_b=272.8640645503598
iter = 143      errA=64423.20162144019      err2_a=0.0034304473494855595      err2_b=272.6204046738408
iter = 144      errA=64403.110851597135      err2_a=0.0034295450106856334      err2_b=272.5270947469342
iter = 145      errA=63865.25962490054      err2_a=0.0034054928099082823      err2_b=270.02597397951126
iter = 146      errA=63683.93807658939      err2_a=0.0033973526124298314      err2_b=269.1919441166989
iter = 147      errA=63353.50813447751      err2_a=0.003382572406287769      err2_b=267.6709464176289
iter = 148      errA=60850.26767304161      err2_a=0.0032731249777370355      err2_b=256.06502147909055
iter = 149      errA=60766.59981879617      err2_a=0.003269540719822649      err2_b=255.6749260284408
iter = 150      errA=60752.346104155324      err2_a=0.0032689233673023877      err2_b=255.60942970894808
iter = 151      errA=58495.17273016356      err2_a=0.003173039990801154      err2_b=245.16678705998206
iter = 152      errA=58077.39867894711      err2_a=0.003155663263523013      err2_b=243.2235586961758
iter = 153      errA=57033.26636991347      err2_a=0.0031123352691670566      err2_b=238.40643007572365
iter = 154      errA=56613.05797555747      err2_a=0.003095127215426757      err2_b=236.45829815509802
iter = 155      errA=55069.95661980122      err2_a=0.003032747762665379      err2_b=229.29898574295257
iter = 156      errA=55006.26712563668      err2_a=0.00303021152439505      err2_b=229.00182183018563
iter = 157      errA=54639.941438140355      err2_a=0.003015515806784926      err2_b=227.3121715406005
iter = 158      errA=54589.05213070096      err2_a=0.0030134703271807576      err2_b=227.0786789891305
iter = 159      errA=52630.42938957592      err2_a=0.002936158824807178      err2_b=218.03404640857303
iter = 160      errA=52542.27607656372      err2_a=0.002932738773480521      err2_b=217.62494654049306
iter = 161      errA=52488.99412004584      err2_a=0.002930661343784021      err2_b=217.37926517694157
iter = 162      errA=52334.53039303634      err2_a=0.0029246510232250945      err2_b=216.66646631638645
iter = 163      errA=51790.57844924355      err2_a=0.0029034722896661034      err2_b=214.17011566727476
iter = 164      errA=51486.1374850313      err2_a=0.0028917184787864945      err2_b=212.76805561960333
iter = 165      errA=50278.71662703718      err2_a=0.0028457840070229847      err2_b=207.17519628151692
iter = 166      errA=50215.668687131685      err2_a=0.0028434116663078016      err2_b=206.8821931468342
iter = 167      errA=49640.23920616818      err2_a=0.0028217638909784257      err2_b=204.21856786949778
iter = 168      errA=49627.57253757789      err2_a=0.0028212902242184677      err2_b=204.1597879287282
iter = 169      errA=49074.92817157242      err2_a=0.002800556396258001      err2_b=201.61330503179227
iter = 170      errA=48668.814849088776      err2_a=0.0027853592138666495      err2_b=199.74839149847213
iter = 171      errA=47856.617774317136      err2_a=0.00275533820407889      err2_b=195.99952916000615
iter = 172      errA=47493.35937579261      err2_a=0.0027420796252223874      err2_b=194.31343786384554
iter = 173      errA=47477.272811793504      err2_a=0.0027414827461091384      err2_b=194.24017910329385
iter = 174      errA=47442.73183731523      err2_a=0.0027402016121563      err2_b=194.08286622182158
iter = 175      errA=47115.30305883756      err2_a=0.002728101256166587      err2_b=192.58931459885235
iter = 176      errA=46748.591281296336      err2_a=0.0027146128013359693      err2_b=190.91552767240202
iter = 177      errA=46238.75497928057      err2_a=0.002695934660675239      err2_b=188.59121955319378
iter = 178      errA=45282.39340169549      err2_a=0.002661419582573056      err2_b=184.20306472957668
iter = 179      errA=45279.22368108369      err2_a=0.002661303807509977      err2_b=184.18877367360898
iter = 180      errA=43922.30065262982      err2_a=0.002612495559261498      err2_b=178.02408618414384
iter = 181      errA=43582.34150305808      err2_a=0.0026004413139935575      err2_b=176.4723991452044
iter = 182      errA=43452.47224128562      err2_a=0.002595856493606549      err2_b=175.87863266754528
iter = 183      errA=43441.47915115802      err2_a=0.0025954681581176735      err2_b=175.82843945617694
iter = 184      errA=43420.34651112197      err2_a=0.002594717509843964      err2_b=175.732476005086
iter = 185      errA=43381.86668967733      err2_a=0.002593334247460297      err2_b=175.55982298376193
iter = 186      errA=43375.51707390812      err2_a=0.002593106004467419      err2_b=175.53133884500778
iter = 187      errA=42347.03204596565      err2_a=0.0025565721217603397      err2_b=170.88916671154286
iter = 188      errA=42051.87211633307      err2_a=0.002546143096728336      err2_b=169.55915579830838
iter = 189      errA=41631.44628428827      err2_a=0.0025313119610964026      err2_b=167.66851744653223
iter = 190      errA=40152.16919728056      err2_a=0.0024793358265566756      err2_b=161.05289939316103
iter = 191      errA=40109.11909292214      err2_a=0.002477852974910067      err2_b=160.85815945973616
iter = 192      errA=40040.190356660496      err2_a=0.002475461388352344      err2_b=160.5485826598637
iter = 193      errA=40033.64072698783      err2_a=0.0024752335020426968      err2_b=160.51925318227953
iter = 194      errA=39883.77965280603      err2_a=0.0024699885388301916      err2_b=159.85231943741715
iter = 195      errA=39181.068741892595      err2_a=0.0024455595777904495      err2_b=156.7172001286662
iter = 196      errA=38632.96671693023      err2_a=0.00242681177167868      err2_b=154.24859446688166
iter = 197      errA=38627.50360237769      err2_a=0.00242662615113216      err2_b=154.22389759435248
iter = 198      errA=38590.00337778849      err2_a=0.0024253520417431714      err2_b=154.05439777799364
iter = 199      errA=38051.454434941785      err2_a=0.002407080883602295      err2_b=151.62253408722182
iter = 200      errA=37813.26951897651      err2_a=0.002398967842071435      err2_b=150.55393936467763
iter = 201      errA=37789.56596263004      err2_a=0.0023981575444739257      err2_b=150.4480412757096
iter = 202      errA=37513.58733979012      err2_a=0.0023886896501689554      err2_b=149.2203872243834
iter = 203      errA=37508.76234643831      err2_a=0.0023885246979387757      err2_b=149.19887874472903
iter = 204      errA=37498.724487179155      err2_a=0.0023881810818972586      err2_b=149.1541876901818
iter = 205      errA=36859.8675721771      err2_a=0.002366371428879421      err2_b=146.30961987971133
iter = 206      errA=36529.62533321024      err2_a=0.002355246821532119      err2_b=144.82684100321399
iter = 207      errA=36253.07747198438      err2_a=0.002345694312899104      err2_b=143.61478946878213
iter = 208      errA=35063.329635008515      err2_a=0.002305412261198648      err2_b=138.3316627228961
iter = 209      errA=35042.1354070212      err2_a=0.0023047076331515386      err2_b=138.23640879358732
iter = 210      errA=35021.94591532288      err2_a=0.00230402332637928      err2_b=138.14715141325033
