anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 310      errA=18438.732778807287      err2_a=0.001703301739181269      err2_b=67.41618127591268
iter = 311      errA=18348.138858741986      err2_a=0.0016993462441142878      err2_b=67.04484786472293
iter = 312      errA=18262.351543416826      err2_a=0.0016956066252422075      err2_b=66.69179709811824
iter = 313      errA=18205.90203105503      err2_a=0.0016931361320052121      err2_b=66.45971169761205
iter = 314      errA=18126.249188865928      err2_a=0.0016896611372035314      err2_b=66.1306993531116
iter = 315      errA=18121.397386422104      err2_a=0.0016894499226142578      err2_b=66.11059773590542
iter = 316      errA=17925.034230955527      err2_a=0.0016809497514103646      err2_b=65.29082173670385
iter = 317      errA=17727.206062348865      err2_a=0.0016721551389794137      err2_b=64.47677236444547
iter = 318      errA=17503.375126622966      err2_a=0.0016620049461625584      err2_b=63.56380433797723
iter = 319      errA=17496.693232611146      err2_a=0.0016616991575053083      err2_b=63.53664497016923
iter = 320      errA=17484.763968111205      err2_a=0.0016611529188142046      err2_b=63.488164154620726
iter = 321      errA=17311.412768300543      err2_a=0.0016532599185125978      err2_b=62.778057563229524
iter = 322      errA=17147.899584874074      err2_a=0.00164588402758003      err2_b=62.09914437933977
iter = 323      errA=17138.550527266038      err2_a=0.001645459888694128      err2_b=62.060378579727406
iter = 324      errA=17102.58376048737      err2_a=0.0016438171641193241      err2_b=61.91191201071396
iter = 325      errA=16958.890362473037      err2_a=0.0016369571783270206      err2_b=61.33815250175656
iter = 326      errA=16957.02598596583      err2_a=0.00163686850151589      err2_b=61.33066331692714
iter = 327      errA=16943.630567939188      err2_a=0.0016362311506906348      err2_b=61.27685349394597
iter = 328      errA=16710.86760990566      err2_a=0.0016251219192945478      err2_b=60.33983921170322
iter = 329      errA=16584.024986990564      err2_a=0.00161911297575239      err2_b=59.82236810133901
iter = 330      errA=16579.702753043657      err2_a=0.001618908685381161      err2_b=59.804655443819826
iter = 331      errA=16461.799471355356      err2_a=0.0016133032372132106      err2_b=59.32261536779139
iter = 332      errA=16461.573932348627      err2_a=0.001613292310486541      err2_b=59.32170541259237
iter = 333      errA=16386.63172133395      err2_a=0.001609656448463355      err2_b=59.01922957102319
iter = 334      errA=16343.410632350035      err2_a=0.0016075496070533555      err2_b=58.845045551186026
iter = 335      errA=16323.025234156245      err2_a=0.0016065520064272492      err2_b=58.76305307311226
iter = 336      errA=16164.446860905844      err2_a=0.0015987651786176463      err2_b=58.12465584813042
iter = 337      errA=16125.54908878222      err2_a=0.0015968549895876616      err2_b=57.96740600853973
iter = 338      errA=16123.952038670453      err2_a=0.0015967766292374168      err2_b=57.960939310752664
iter = 339      errA=16106.291620239977      err2_a=0.0015958978140406409      err2_b=57.89026035388024
iter = 340      errA=16033.806869948274      err2_a=0.0015922979603525747      err2_b=57.59909893367304
iter = 341      errA=15782.952005952897      err2_a=0.0015799725290667314      err2_b=56.57499446027779
iter = 342      errA=15737.230821315283      err2_a=0.0015777464744290023      err2_b=56.38569954869194
iter = 343      errA=15725.67467894121      err2_a=0.0015771779975782005      err2_b=56.33819308062851
iter = 344      errA=15696.214325333194      err2_a=0.0015756511884101859      err2_b=56.22227352650906
iter = 345      errA=15261.887814340429      err2_a=0.0015534971261699014      err2_b=54.47005710539366
iter = 346      errA=15186.313513416759      err2_a=0.0015496870408449636      err2_b=54.15839447477525
iter = 347      errA=15130.844662190251      err2_a=0.0015467627886106064      err2_b=53.93749355209695
iter = 348      errA=15017.667843351854      err2_a=0.0015408188264604775      err2_b=53.48331821503704
iter = 349      errA=15016.652717342718      err2_a=0.0015407652947390515      err2_b=53.479247184593945
iter = 350      errA=15016.470444940946      err2_a=0.001540755543310463      err2_b=53.478525513815825
iter = 351      errA=14822.219193731476      err2_a=0.0015303863594642963      err2_b=52.70402215690813
iter = 352      errA=14731.035447955262      err2_a=0.0015255470430633796      err2_b=52.335885597831165
iter = 353      errA=14574.528371396289      err2_a=0.0015173129188975536      err2_b=51.695131416755395
iter = 354      errA=14405.947991011839      err2_a=0.0015079929512061276      err2_b=51.02855889123116
iter = 355      errA=14387.986896484561      err2_a=0.0015070039227015179      err2_b=50.956912757641426
iter = 356      errA=14258.329102078433      err2_a=0.0014999030868106432      err2_b=50.43504678244066
iter = 357      errA=14192.82506074675      err2_a=0.0014963393222108931      err2_b=50.16841864320494
iter = 358      errA=14132.317841246058      err2_a=0.001492997813047334      err2_b=49.92447286682088
iter = 359      errA=14117.842258959046      err2_a=0.001492199728379088      err2_b=49.86589944641766
iter = 360      errA=14070.503244631062      err2_a=0.0014895940871379938      err2_b=49.673728756075015
iter = 361      errA=13908.324956306018      err2_a=0.0014803208635674097      err2_b=49.03373625039382
iter = 362      errA=13774.540401924933      err2_a=0.0014727572709377218      err2_b=48.49558430629067
iter = 363      errA=13689.028637660671      err2_a=0.0014678687446946022      err2_b=48.152825474970356
iter = 364      errA=13683.751031637437      err2_a=0.001467565330591701      err2_b=48.131721402022585
iter = 365      errA=13592.250698662538      err2_a=0.0014623038447868122      err2_b=47.76480486618702
iter = 366      errA=13546.307212581538      err2_a=0.0014596656980322652      err2_b=47.57955074196673
iter = 367      errA=13546.14348558343      err2_a=0.0014596561581116621      err2_b=47.57889839207403
iter = 368      errA=13530.281782700473      err2_a=0.001458728545048376      err2_b=47.51588203579146
iter = 369      errA=13528.418691982317      err2_a=0.0014586187107792027      err2_b=47.508531511521376
iter = 370      errA=13483.01573737732      err2_a=0.0014559364477656628      err2_b=47.32948751646188
iter = 371      errA=13316.361353843326      err2_a=0.0014459916793247288      err2_b=46.67413822411949
iter = 372      errA=13288.110868321372      err2_a=0.0014443119992037486      err2_b=46.561962736545155
iter = 373      errA=13285.978120893027      err2_a=0.0014441845543471732      err2_b=46.55352619605648
iter = 374      errA=13251.922401625734      err2_a=0.0014421518949511033      err2_b=46.418503796825554
iter = 375      errA=13198.421618839966      err2_a=0.0014389652820761436      err2_b=46.20536926219827
iter = 376      errA=13019.596673635186      err2_a=0.0014283790966630734      err2_b=45.483501611269865
iter = 377      errA=13000.34975646341      err2_a=0.0014272344906828048      err2_b=45.40562538739392
iter = 378      errA=12998.311737343518      err2_a=0.001427112186286048      err2_b=45.397441956229876
iter = 379      errA=12996.53391785925      err2_a=0.0014270037377920048      err2_b=45.390411819352806
iter = 380      errA=12995.763408507091      err2_a=0.0014269566598227332      err2_b=45.3873694132292
iter = 381      errA=12903.140066871772      err2_a=0.0014213118333663353      err2_b=45.019579676838994
iter = 382      errA=12589.106643080037      err2_a=0.00140220657627259      err2_b=43.75325325099547
iter = 383      errA=12584.598091710674      err2_a=0.0014019308706133059      err2_b=43.73495917633502
iter = 384      errA=12443.792393184023      err2_a=0.0013932149542880414      err2_b=43.16716206566764
iter = 385      errA=12443.686424480842      err2_a=0.0013932083765482255      err2_b=43.166733705386186
iter = 386      errA=12407.673571715828      err2_a=0.0013909539299844255      err2_b=43.02213035617074
iter = 387      errA=12303.599689498646      err2_a=0.001384336978216391      err2_b=42.60832846932228
iter = 388      errA=12300.626725949594      err2_a=0.0013841484981038721      err2_b=42.5964285864453
iter = 389      errA=12137.257997826096      err2_a=0.0013737578273613786      err2_b=41.940559945372996
iter = 390      errA=12116.82318655463      err2_a=0.0013724672675949937      err2_b=41.85740701830151
iter = 391      errA=12116.385162120618      err2_a=0.0013724395047264512      err2_b=41.85562922733406
iter = 392      errA=12113.511219986436      err2_a=0.0013722570823125463      err2_b=41.84397947869301
iter = 393      errA=11955.770354417378      err2_a=0.0013617447252307442      err2_b=41.23088242279484
iter = 394      errA=11832.486718173208      err2_a=0.0013536016181916837      err2_b=40.74207451299021
iter = 395      errA=11823.053905218898      err2_a=0.0013529749505934235      err2_b=40.7046974183046
iter = 396      errA=11804.48419309899      err2_a=0.001351704630480266      err2_b=40.63322614357328
iter = 397      errA=11752.124710365495      err2_a=0.0013481340386920994      err2_b=40.43045406362292
iter = 398      errA=11741.91088618299      err2_a=0.0013474379655484924      err2_b=40.39077268014183
iter = 399      errA=11717.39612450305      err2_a=0.0013457688346973364      err2_b=40.29530475557689
iter = 400      errA=11642.816266018046      err2_a=0.0013406383640070755      err2_b=40.00684602103451
iter = 401      errA=11608.986651418089      err2_a=0.0013382834118084428      err2_b=39.877080398914856
iter = 402      errA=11554.543296386884      err2_a=0.001334492410471428      err2_b=39.66755587399643
iter = 403      errA=11516.198625114157      err2_a=0.001331833602583009      err2_b=39.518757467796576
iter = 404      errA=11489.23313630793      err2_a=0.001329968385842746      err2_b=39.41356611159435
iter = 405      errA=11474.038452573219      err2_a=0.0013289138945239214      err2_b=39.35439736649783
iter = 406      errA=11399.5812389572      err2_a=0.0013237454558980058      err2_b=39.06346186081597
iter = 407      errA=11338.457142322983      err2_a=0.0013194968287638252      err2_b=38.82362576775608
iter = 408      errA=11336.876603753339      err2_a=0.0013193868113124908      err2_b=38.81741726547529
iter = 409      errA=11335.727666346122      err2_a=0.0013193064248719867      err2_b=38.81292802494729
iter = 410      errA=11323.059524168064      err2_a=0.001318420281053551      err2_b=38.76338986300859
iter = 411      errA=11251.598439724676      err2_a=0.0013134311920996462      err2_b=38.48238768456171
iter = 412      errA=11125.605481435021      err2_a=0.0013043274584095708      err2_b=38.00098122890207
iter = 413      errA=10992.407755968254      err2_a=0.001294734291509632      err2_b=37.48455906196253
iter = 414      errA=10920.694646261889      err2_a=0.0012896108913408003      err2_b=37.20163523847435
iter = 415      errA=10833.047593285137      err2_a=0.0012833968645140361      err2_b=36.85068193965533
iter = 416      errA=10829.826954787859      err2_a=0.0012831620750983464      err2_b=36.83811157652497
iter = 417      errA=10812.800694191532      err2_a=0.00128191722941243      err2_b=36.77180755657868
iter = 418      errA=10812.222758693451      err2_a=0.0012818743912339536      err2_b=36.76958910094191
iter = 419      errA=10525.984968309815      err2_a=0.0012607407478357137      err2_b=35.65186814329894
iter = 420      errA=10505.846801877127      err2_a=0.0012592683894594456      err2_b=35.57130810445153
iter = 421      errA=10491.177557562014      err2_a=0.0012581976922594852      err2_b=35.512429035725056
iter = 422      errA=10455.384812223318      err2_a=0.0012555405206806818      err2_b=35.37104360840467
iter = 423      errA=10346.526704307855      err2_a=0.001247503428847336      err2_b=34.935622128357
iter = 424      errA=10344.975640157554      err2_a=0.0012473865112075948      err2_b=34.92952508483634
iter = 425      errA=10323.917332006413      err2_a=0.001245765770776998      err2_b=34.84858894388348
iter = 426      errA=10319.923770940202      err2_a=0.0012454581098502505      err2_b=34.83323881859228
iter = 427      errA=10285.541371150806      err2_a=0.0012428141970429844      err2_b=34.700559818299254
iter = 428      errA=10281.855430581563      err2_a=0.0012425303188779786      err2_b=34.686335700854684
iter = 429      errA=10261.33476700946      err2_a=0.0012409497541515547      err2_b=34.60706390480709
iter = 430      errA=10094.059623374143      err2_a=0.0012280974420135593      err2_b=33.953315182623655
iter = 431      errA=10078.599242800257      err2_a=0.0012269199649323924      err2_b=33.89177124627577
iter = 432      errA=9995.96643265038      err2_a=0.0012205243681584891      err2_b=33.567192084703684
iter = 433      errA=9989.959074449444      err2_a=0.0012200615299146455      err2_b=33.54337248799433
iter = 434      errA=9868.77973410623      err2_a=0.0012103389169683771      err2_b=33.08217708410405
iter = 435      errA=9779.529627133228      err2_a=0.0012032338059342008      err2_b=32.73577446685969
iter = 436      errA=9693.796587925333      err2_a=0.0011964583354775206      err2_b=32.39731501946003
iter = 437      errA=9686.26225035995      err2_a=0.0011958656150379467      err2_b=32.367278881926744
iter = 438      errA=9686.099446325092      err2_a=0.001195852269957532      err2_b=32.36666033685786
iter = 439      errA=9607.257819194521      err2_a=0.001189403792734204      err2_b=32.065088827599574
iter = 440      errA=9562.623092410944      err2_a=0.0011856889343909425      err2_b=31.896951341822117
iter = 441      errA=9496.687238609104      err2_a=0.0011802310706736261      err2_b=31.645457963997107
iter = 442      errA=9489.84084637215      err2_a=0.0011796654857232731      err2_b=31.619183279229073
iter = 443      errA=9423.205168265391      err2_a=0.0011741654382231685      err2_b=31.362216430779302
iter = 444      errA=9423.099451188347      err2_a=0.0011741567141095232      err2_b=31.36180727784489
iter = 445      errA=9341.935956478474      err2_a=0.0011673601429632314      err2_b=31.052020396131713
iter = 446      errA=9319.90597225944      err2_a=0.0011655211167339236      err2_b=30.967160913452812
iter = 447      errA=9316.45703670808      err2_a=0.0011652332798969553      err2_b=30.953853732515636
iter = 448      errA=9289.584546654374      err2_a=0.001162986269331012      err2_b=30.850255374589217
iter = 449      errA=9274.739417424846      err2_a=0.0011617438548986838      err2_b=30.792963779878175
iter = 450      errA=9273.970017028034      err2_a=0.0011616783966673283      err2_b=30.79005260841091
iter = 451      errA=9213.297094082372      err2_a=0.0011565322556665654      err2_b=30.558839121561324
iter = 452      errA=9176.699718608748      err2_a=0.0011533774505154296      err2_b=30.421532509718595
iter = 453      errA=9026.028740883643      err2_a=0.0011404848904450534      err2_b=29.845160569390778
iter = 454      errA=9016.927020769466      err2_a=0.0011397075571128645      err2_b=29.809964189471025
iter = 455      errA=9011.245909286341      err2_a=0.0011392216692838264      err2_b=29.78801764966845
iter = 456      errA=9011.078360173544      err2_a=0.001139207314592101      err2_b=29.78737160483779
iter = 457      errA=9007.295868308798      err2_a=0.0011388791152300364      err2_b=29.77301787664759
iter = 458      errA=9003.5046453129      err2_a=0.001138549835057095      err2_b=29.758643665637738
iter = 459      errA=8912.747860993495      err2_a=0.001130520639831704      err2_b=29.42117642592027
iter = 460      errA=8906.273686071487      err2_a=0.0011299468639129218      err2_b=29.397034341224938
iter = 461      errA=8810.731986336314      err2_a=0.001121503426808371      err2_b=29.037418349832155
iter = 462      errA=8810.63148669626      err2_a=0.0011214945545289312      err2_b=29.037037586555584
iter = 463      errA=8750.119285872666      err2_a=0.0011161340092100795      err2_b=28.808054957406817
iter = 464      errA=8663.768491960182      err2_a=0.0011083153643311522      err2_b=28.48831216609501
iter = 465      errA=8627.963574674372      err2_a=0.0011050857677400746      err2_b=28.35413025955863
iter = 466      errA=8618.811111018636      err2_a=0.001104262167690636      err2_b=28.31963443531612
iter = 467      errA=8610.398570326424      err2_a=0.0011034823452324741      err2_b=28.289196294255703
iter = 468      errA=8583.959064823286      err2_a=0.0011010365011457147      err2_b=28.193061661909965
iter = 469      errA=8477.7639698224      err2_a=0.0010912886382486498      err2_b=27.799756883441493
iter = 470      errA=8387.50751590651      err2_a=0.0010830994087937455      err2_b=27.456405961242403
iter = 471      errA=8367.192180149472      err2_a=0.0010812629401076605      err2_b=27.378270857617142
iter = 472      errA=8353.442416121812      err2_a=0.0010799718639052974      err2_b=27.32801376216496
iter = 473      errA=8305.33982239778      err2_a=0.0010754600656626033      err2_b=27.15130099989983
iter = 474      errA=8270.12844522283      err2_a=0.0010721744591342568      err2_b=27.020368497948393
iter = 475      errA=8189.8231735578265      err2_a=0.0010646846251663902      err2_b=26.71963335053277
iter = 476      errA=8188.711442674626      err2_a=0.0010645811803545297      err2_b=26.715437034156224
iter = 477      errA=8179.224538897909      err2_a=0.001063692024671841      err2_b=26.679970843698577
iter = 478      errA=8057.848466630044      err2_a=0.0010523927271864173      err2_b=26.218512421961858
iter = 479      errA=8051.81788621666      err2_a=0.0010518260300921805      err2_b=26.195719096352814
iter = 480      errA=8036.79150752571      err2_a=0.0010504158219344652      err2_b=26.13875297966982
iter = 481      errA=8015.462926880298      err2_a=0.001048378084530182      err2_b=26.05978303575489
iter = 482      errA=7948.692733401442      err2_a=0.001042032658025457      err2_b=25.80938190598032
iter = 483      errA=7942.25111497132      err2_a=0.0010414161183133484      err2_b=25.78537107103375
iter = 484      errA=7892.689049616642      err2_a=0.0010366200067803155      err2_b=25.603033946956685
iter = 485      errA=7892.588943625695      err2_a=0.0010366103027747776      err2_b=25.60266554978889
iter = 486      errA=7891.872372406323      err2_a=0.0010365405124739165      err2_b=25.600047154791515
iter = 487      errA=7736.059728853701      err2_a=0.0010214608227607344      err2_b=25.02011883776499
iter = 488      errA=7711.181948347797      err2_a=0.0010190053896370244      err2_b=24.929295937613386
iter = 489      errA=7694.913286914791      err2_a=0.0010173892902774464      err2_b=24.87034898261422
iter = 490      errA=7672.341258761709      err2_a=0.0010151290600161913      err2_b=24.78940313763341
iter = 491      errA=7653.208396322448      err2_a=0.0010132185292558423      err2_b=24.72031965566535
iter = 492      errA=7511.597037871264      err2_a=0.0009992228111070068      err2_b=24.195911882843063
iter = 493      errA=7505.715812997603      err2_a=0.0009986461834511635      err2_b=24.173683512429307
iter = 494      errA=7501.830581626143      err2_a=0.0009982636429263412      err2_b=24.15908370685821
iter = 495      errA=7470.191422020072      err2_a=0.000995147578693401      err2_b=24.03999381702086
iter = 496      errA=7458.50330849072      err2_a=0.0009939996092129487      err2_b=23.995708184197433
iter = 497      errA=7455.990009111383      err2_a=0.0009937489813208512      err2_b=23.986393488000953
iter = 498      errA=7454.6264569900495      err2_a=0.0009936130095870735      err2_b=23.98133866821453
iter = 499      errA=7405.199027543306      err2_a=0.0009886394652985774      err2_b=23.800125465790856
iter = 500      errA=7361.149136017039      err2_a=0.0009842121178657611      err2_b=23.637433859772322
iter = 501      errA=7329.668266242583      err2_a=0.0009809799698255626      err2_b=23.5245491189449
iter = 502      errA=7251.571272922954      err2_a=0.0009729844196579822      err2_b=23.241390583659076
iter = 503      errA=7231.4232906043935      err2_a=0.0009709359615556307      err2_b=23.167097586534855
iter = 504      errA=7191.059175635992      err2_a=0.0009668401178571323      err2_b=23.01728122922469
iter = 505      errA=7189.297582137291      err2_a=0.0009666616156368851      err2_b=23.010712335617036
iter = 506      errA=7159.562878875336      err2_a=0.0009636450963946256      err2_b=22.899832989159894
iter = 507      errA=7155.5152609768      err2_a=0.0009632314642879222      err2_b=22.88488288674714
iter = 508      errA=7110.367942290621      err2_a=0.0009586268326412168      err2_b=22.717126272050006
iter = 509      errA=7110.274277467279      err2_a=0.0009586172483893437      err2_b=22.716779109008765
iter = 510      errA=7079.634103685739      err2_a=0.0009554786532802229      err2_b=22.603200881747583
iter = 511      errA=7069.337224536934      err2_a=0.0009543948405593252      err2_b=22.566608089213908
iter = 512      errA=7042.73954243063      err2_a=0.0009515987685585267      err2_b=22.471676281867076
iter = 513      errA=7002.110429259166      err2_a=0.0009473398885264422      err2_b=22.325378851539618
iter = 514      errA=6977.864511512159      err2_a=0.0009448007253135795      err2_b=22.237604530695464
iter = 515      errA=6975.887631408534      err2_a=0.0009445940668930224      err2_b=22.23041536818474
iter = 516      errA=6972.481158000726      err2_a=0.0009442379252482572      err2_b=22.218025717653266
iter = 517      errA=6892.107411170188      err2_a=0.0009358324292189836      err2_b=21.924424395060733
iter = 518      errA=6829.744774583715      err2_a=0.00092937660821996      err2_b=21.690877171700794
iter = 519      errA=6726.73861863287      err2_a=0.0009183352296664568      err2_b=21.323148573501985
iter = 520      errA=6724.103400250203      err2_a=0.0009180544844851174      err2_b=21.313580808932997
iter = 521      errA=6723.963743296451      err2_a=0.0009180395865342786      err2_b=21.31307479054603
iter = 522      errA=6713.293968468092      err2_a=0.000916879878670613      err2_b=21.27564040322214
iter = 523      errA=6663.431316362066      err2_a=0.0009114703474342386      err2_b=21.099471320242017
iter = 524      errA=6611.115707680361      err2_a=0.0009057968108124293      err2_b=20.913381997834634
iter = 525      errA=6546.651391698847      err2_a=0.0008988685277646843      err2_b=20.67882675347963
iter = 526      errA=6540.046814659894      err2_a=0.0008981300452506266      err2_b=20.656355294009096
iter = 527      errA=6483.148804265819      err2_a=0.0008917995538254254      err2_b=20.460178142065693
iter = 528      errA=6448.034152538334      err2_a=0.0008878870200039337      err2_b=20.33877238772964
iter = 529      errA=6363.697148726492      err2_a=0.0008785757640447682      err2_b=20.04009163001481
iter = 530      errA=6337.68195794687      err2_a=0.0008757215409788288      err2_b=19.94630795011644
iter = 531      errA=6310.728281767344      err2_a=0.0008727187986192808      err2_b=19.851483717399034
iter = 532      errA=6308.988305564879      err2_a=0.0008725253833448608      err2_b=19.845326995040836
iter = 533      errA=6298.069496790878      err2_a=0.0008713123893507451      err2_b=19.80661937599286
iter = 534      errA=6297.612525544389      err2_a=0.0008712605142284557      err2_b=19.80506297647137
iter = 535      errA=6188.543931486457      err2_a=0.0008589416192478721      err2_b=19.427479918454775
iter = 536      errA=6180.6982030124955      err2_a=0.0008580594773369095      err2_b=19.39989427354358
iter = 537      errA=6176.63120504334      err2_a=0.0008575990802983578      err2_b=19.385766625081793
iter = 538      errA=6176.08683239485      err2_a=0.0008575369232620775      err2_b=19.38390638357601
iter = 539      errA=6071.452940332946      err2_a=0.000845690214775902      err2_b=19.01821878807831
iter = 540      errA=6033.158235180731      err2_a=0.0008414015125650953      err2_b=18.88049918551431
iter = 541      errA=6007.119474777132      err2_a=0.0008384825995481816      err2_b=18.786670800675065
iter = 542      errA=5994.8061275000855      err2_a=0.0008370671844956486      err2_b=18.74426439075984
iter = 543      errA=5986.944213771969      err2_a=0.0008361647445110213      err2_b=18.717079635628174
iter = 544      errA=5986.888726976371      err2_a=0.0008361583467034781      err2_b=18.71688937779065
iter = 545      errA=5975.189349021214      err2_a=0.0008348020357712934      err2_b=18.677177969828836
iter = 546      errA=5966.085108104233      err2_a=0.0008337467956703171      err2_b=18.646223883618006
iter = 547      errA=5924.9323894136405      err2_a=0.0008289938618866563      err2_b=18.504887974815148
iter = 548      errA=5922.621195136088      err2_a=0.0008287260663258623      err2_b=18.496981013206405
iter = 549      errA=5884.254454685384      err2_a=0.000824266466498615      err2_b=18.366248012301764
iter = 550      errA=5882.221351109314      err2_a=0.0008240303369306447      err2_b=18.359292950964775
iter = 551      errA=5783.765844493034      err2_a=0.0008126945152252578      err2_b=18.014643871464127
iter = 552      errA=5768.856754245416      err2_a=0.0008109756243905543      err2_b=17.962248056324857
iter = 553      errA=5767.836661286916      err2_a=0.0008108562444919253      err2_b=17.958764414454603
iter = 554      errA=5761.025546178089      err2_a=0.000810058382949315      err2_b=17.93553863417793
iter = 555      errA=5696.806718105726      err2_a=0.0008024415077467821      err2_b=17.7212183912314
iter = 556      errA=5696.433963198572      err2_a=0.0008023975316059134      err2_b=17.71995565623415
iter = 557      errA=5670.6531940424875      err2_a=0.0007993492640754285      err2_b=17.6328910126409
iter = 558      errA=5666.93773645965      err2_a=0.000798904633628291      err2_b=17.620638323082375
iter = 559      errA=5651.88778955889      err2_a=0.0007971040852818548      err2_b=17.570924105972406
iter = 560      errA=5559.523489666798      err2_a=0.0007861529299783177      err2_b=17.258016012807147
iter = 561      errA=5545.2459968918565      err2_a=0.0007844565919444639      err2_b=17.20956557875532
iter = 562      errA=5541.127095155918      err2_a=0.000783968023672238      err2_b=17.195525213918014
iter = 563      errA=5539.260932428592      err2_a=0.0007837446700130168      err2_b=17.189280914778482
iter = 564      errA=5476.3220598525195      err2_a=0.0007762510731591469      err2_b=16.975547013955723
iter = 565      errA=5471.331111968332      err2_a=0.0007756431347661921      err2_b=16.959349385362362
iter = 566      errA=5428.413241698583      err2_a=0.0007704304329258236      err2_b=16.8187748260175
iter = 567      errA=5422.955908948716      err2_a=0.0007697670625110582      err2_b=16.800882340209
iter = 568      errA=5421.102707088804      err2_a=0.0007695419274419041      err2_b=16.794795947713173
iter = 569      errA=5338.594292894743      err2_a=0.0007595062789596663      err2_b=16.52328526399184
iter = 570      errA=5262.741404807915      err2_a=0.0007504147830662498      err2_b=16.263399316639905
iter = 571      errA=5257.924908266798      err2_a=0.000749839388835733      err2_b=16.246710916254656
iter = 572      errA=5251.975209578704      err2_a=0.0007491283602057455      err2_b=16.226099401994396
iter = 573      errA=5251.5857057238445      err2_a=0.0007490816348696297      err2_b=16.224760196640776
iter = 574      errA=5251.43024289728      err2_a=0.000749062759251855      err2_b=16.22423923005016
iter = 575      errA=5240.316573463307      err2_a=0.0007477135859591171      err2_b=16.186960509213616
iter = 576      errA=5230.307905869702      err2_a=0.0007464875550207362      err2_b=16.15400846247829
iter = 577      errA=5162.479781867373      err2_a=0.0007381964923574452      err2_b=15.928666304060677
iter = 578      errA=5078.26676076798      err2_a=0.0007279483577447632      err2_b=15.643837827396544
iter = 579      errA=5078.196383947168      err2_a=0.0007279397988292677      err2_b=15.643598403161425
iter = 580      errA=5051.161777781328      err2_a=0.0007246528974021726      err2_b=15.551437609970243
iter = 581      errA=5014.391301093827      err2_a=0.0007202079543697734      err2_b=15.42410491148008
iter = 582      errA=5014.18763317881      err2_a=0.0007201832473128704      err2_b=15.423403444246668
iter = 583      errA=4981.837754951092      err2_a=0.0007161630611098537      err2_b=15.31757375272811
iter = 584      errA=4953.527177469692      err2_a=0.0007126652518294702      err2_b=15.223413444721716
iter = 585      errA=4951.7657953813505      err2_a=0.0007124478630353677      err2_b=15.217531554132055
iter = 586      errA=4951.392675993239      err2_a=0.0007124018032452495      err2_b=15.216286019611573
iter = 587      errA=4920.7049348607825      err2_a=0.0007085972460674334      err2_b=15.114660473844538
iter = 588      errA=4830.344479352817      err2_a=0.0006973241769712367      err2_b=14.81779265455587
iter = 589      errA=4783.954533388047      err2_a=0.0006915802090976233      err2_b=14.661633560722146
iter = 590      errA=4776.198019550941      err2_a=0.000690621053668243      err2_b=14.635372868719076
iter = 591      errA=4772.399840469325      err2_a=0.0006901519338182761      err2_b=14.622471864461698
iter = 592      errA=4770.042699916419      err2_a=0.0006898608287063216      err2_b=14.614461032209817
iter = 593      errA=4767.880221751086      err2_a=0.0006895904086597831      err2_b=14.607313657708195
iter = 594      errA=4747.234773187072      err2_a=0.0006869726515910674      err2_b=14.541171417713832
iter = 595      errA=4727.706996536806      err2_a=0.0006844711084253141      err2_b=14.480022638132597
iter = 596      errA=4681.989986130599      err2_a=0.0006786488311019086      err2_b=14.334292148681637
iter = 597      errA=4674.4707327869055      err2_a=0.0006776967181210947      err2_b=14.309922019885406
iter = 598      errA=4584.108436373827      err2_a=0.0006663758872987322      err2_b=14.008187892781613
iter = 599      errA=4572.907808698162      err2_a=0.0006649802696856191      err2_b=13.970128953477222
iter = 600      errA=4564.252501473078      err2_a=0.0006638706658562898      err2_b=13.942582077240967
iter = 601      errA=4560.617519904881      err2_a=0.0006634049547581634      err2_b=13.93098766331362
iter = 602      errA=4552.625540902964      err2_a=0.0006623817092709325      err2_b=13.905438481799099
iter = 603      errA=4552.493398365871      err2_a=0.0006623645900496489      err2_b=13.90502809125938
iter = 604      errA=4524.763599023363      err2_a=0.0006587800953008794      err2_b=13.818299954792385
iter = 605      errA=4422.746137462908      err2_a=0.0006457792487306688      err2_b=13.485684952207707
iter = 606      errA=4414.912833718589      err2_a=0.0006447889882014281      err2_b=13.459514452873496
iter = 607      errA=4401.275743541964      err2_a=0.0006430441139496962      err2_b=13.4151851144792
iter = 608      errA=4383.006935299363      err2_a=0.0006406983253430356      err2_b=13.35620923670374
iter = 609      errA=4370.381718183719      err2_a=0.0006390829810613136      err2_b=13.315031713109315
iter = 610      errA=4369.481973218095      err2_a=0.0006389665211483449      err2_b=13.312177296318707
iter = 611      errA=4364.052509326328      err2_a=0.0006382614103763527      err2_b=13.295089946661454
iter = 612      errA=4359.349673209723      err2_a=0.0006376511383007567      err2_b=13.280252573040853
iter = 613      errA=4299.48719717909      err2_a=0.0006299104538157698      err2_b=13.089075890046056
iter = 614      errA=4287.236855237547      err2_a=0.0006283216729058292      err2_b=13.050100372870034
iter = 615      errA=4286.859073258517      err2_a=0.0006282727362262162      err2_b=13.048894025143678
iter = 616      errA=4225.651590671605      err2_a=0.0006202995454620204      err2_b=12.855589160841337
iter = 617      errA=4211.096857165228      err2_a=0.0006184153212814109      err2_b=12.808727623429291
iter = 618      errA=4180.454336474752      err2_a=0.0006144635055128583      err2_b=12.708921758786886
iter = 619      errA=4176.259074259419      err2_a=0.0006139238776971583      err2_b=12.695146692973394
