=========CG using MATLAB default precision=====
====DATA = ../graphs/se_1/
====error given as ||Ax - b||_2^2 and ||x - xbar||_A^2
i=2164, err2=5.05513e+06, errA = 193.616
i=2165, err2=1.20858e+07, errA = 193.567
i=2166, err2=1.9734e+07, errA = 193.449
i=2167, err2=4.88683e+06, errA = 193.271
i=2168, err2=6.03299e+06, errA = 193.221
i=2169, err2=5.85035e+06, errA = 193.17
i=2170, err2=1.94874e+06, errA = 193.123
i=2171, err2=7.96433e+06, errA = 193.101
i=2172, err2=2.82254e+06, errA = 193.054
i=2173, err2=7.23717e+06, errA = 193.006
i=2174, err2=1.60155e+06, errA = 192.985
i=2175, err2=217824, errA = 192.982
i=2176, err2=429135, errA = 192.98
i=2177, err2=3.67109e+06, errA = 192.945
i=2178, err2=1.2192e+06, errA = 192.935
i=2179, err2=1.50563e+06, errA = 192.926
i=2180, err2=1.61862e+06, errA = 192.921
i=2181, err2=2.96541e+06, errA = 192.9
i=2182, err2=4.67498e+06, errA = 192.86
i=2183, err2=8.0351e+06, errA = 192.835
i=2184, err2=3.71894e+06, errA = 192.785
i=2185, err2=1.88823e+06, errA = 192.747
i=2186, err2=3.46079e+06, errA = 192.736
i=2187, err2=3.70658e+06, errA = 192.718
i=2188, err2=4.04631e+06, errA = 192.7
i=2189, err2=2.4354e+06, errA = 192.675
i=2190, err2=3.93545e+06, errA = 192.651
i=2191, err2=1.60798e+06, errA = 192.641
i=2192, err2=1.18193e+06, errA = 192.629
i=2193, err2=1.55267e+06, errA = 192.613
i=2194, err2=1.67007e+06, errA = 192.598
i=2195, err2=500117, errA = 192.593
i=2196, err2=1.55257e+06, errA = 192.587
i=2197, err2=3.32546e+06, errA = 192.571
i=2198, err2=3.14467e+06, errA = 192.522
i=2199, err2=1.50827e+07, errA = 192.484
i=2200, err2=9.30831e+06, errA = 192.325
i=2201, err2=7.27672e+06, errA = 192.255
i=2202, err2=1.67209e+06, errA = 192.22
i=2203, err2=665154, errA = 192.216
i=2204, err2=701924, errA = 192.212
i=2205, err2=1.32836e+06, errA = 192.206
i=2206, err2=2.35533e+06, errA = 192.192
i=2207, err2=6.95438e+06, errA = 192.167
i=2208, err2=1.16336e+06, errA = 192.139
i=2209, err2=1.68899e+07, errA = 192.107
i=2210, err2=2.7863e+06, errA = 192.019
i=2211, err2=6.06768e+06, errA = 191.991
i=2212, err2=1.52574e+07, errA = 191.941
i=2213, err2=9.44288e+06, errA = 191.873
i=2214, err2=3.47654e+06, errA = 191.836
i=2215, err2=3.25238e+06, errA = 191.825
i=2216, err2=8.69745e+06, errA = 191.729
i=2217, err2=1.18871e+07, errA = 191.678
i=2218, err2=3.37007e+07, errA = 191.175
i=2219, err2=1.62106e+07, errA = 191.094
i=2220, err2=2.7469e+07, errA = 190.893
i=2221, err2=9.8298e+06, errA = 190.803
i=2222, err2=1.32167e+07, errA = 190.753
i=2223, err2=1.12198e+07, errA = 190.23
i=2224, err2=9.26627e+06, errA = 190.137
i=2225, err2=2.73378e+06, errA = 190.102
i=2226, err2=1.58082e+06, errA = 190.089
i=2227, err2=658504, errA = 190.071
i=2228, err2=3.2424e+06, errA = 190.056
i=2229, err2=1.08904e+06, errA = 190.048
i=2230, err2=1.42813e+06, errA = 190.04
i=2231, err2=1.42059e+06, errA = 190.033
i=2232, err2=3.85025e+06, errA = 190.016
i=2233, err2=1.89622e+06, errA = 189.907
i=2234, err2=3.64167e+06, errA = 189.898
i=2235, err2=5.207e+06, errA = 189.871
i=2236, err2=6.12362e+06, errA = 189.84
i=2237, err2=7.60998e+06, errA = 189.778
i=2238, err2=6.73966e+06, errA = 189.75
i=2239, err2=3.15361e+06, errA = 189.716
i=2240, err2=1.40853e+06, errA = 189.708
i=2241, err2=5.72511e+06, errA = 189.678
i=2242, err2=5.92041e+06, errA = 189.648
i=2243, err2=3.83234e+06, errA = 189.621
i=2244, err2=3.77608e+07, errA = 189.496
i=2245, err2=2.8249e+06, errA = 189.373
i=2246, err2=1.88231e+06, errA = 189.361
i=2247, err2=3.49104e+06, errA = 189.343
i=2248, err2=9.13695e+06, errA = 189.289
i=2249, err2=2.01238e+07, errA = 189.219
i=2250, err2=1.77309e+06, errA = 189.155
i=2251, err2=1.15492e+06, errA = 189.143
i=2252, err2=3.42935e+06, errA = 189.113
i=2253, err2=5.67226e+06, errA = 189.075
i=2254, err2=2.80726e+06, errA = 189.039
i=2255, err2=2.59038e+06, errA = 189.031
i=2256, err2=7.22896e+06, errA = 189.005
i=2257, err2=9.82229e+06, errA = 188.932
i=2258, err2=4.59026e+06, errA = 188.871
i=2259, err2=1.62258e+06, errA = 188.859
i=2260, err2=2.2274e+06, errA = 188.837
i=2261, err2=2.22202e+06, errA = 188.814
i=2262, err2=2.67127e+06, errA = 188.804
i=2263, err2=4.1828e+06, errA = 188.788
i=2264, err2=3.38676e+06, errA = 188.767
i=2265, err2=2.42152e+06, errA = 188.746
i=2266, err2=2.36174e+06, errA = 188.731
i=2267, err2=6.2896e+06, errA = 188.713
i=2268, err2=1.2558e+06, errA = 188.689
i=2269, err2=445763, errA = 188.681
i=2270, err2=1.84742e+06, errA = 188.676
i=2271, err2=2.40986e+06, errA = 188.621
i=2272, err2=3.16211e+06, errA = 188.611
i=2273, err2=801071, errA = 188.588
i=2274, err2=862350, errA = 188.583
i=2275, err2=556346, errA = 188.575
i=2276, err2=1.1411e+06, errA = 188.572
i=2277, err2=4.80508e+06, errA = 188.532
i=2278, err2=2.48318e+06, errA = 188.518
i=2279, err2=788618, errA = 188.503
i=2280, err2=1.01454e+06, errA = 188.498
i=2281, err2=1.75237e+06, errA = 188.491
i=2282, err2=3.9358e+06, errA = 188.48
i=2283, err2=2.38408e+06, errA = 188.451
i=2284, err2=4.96457e+06, errA = 188.435
i=2285, err2=1.3688e+06, errA = 188.4
i=2286, err2=2.31297e+06, errA = 188.387
i=2287, err2=3.92138e+06, errA = 188.327
i=2288, err2=1.42736e+07, errA = 188.282
i=2289, err2=1.09999e+07, errA = 188.18
i=2290, err2=1.26581e+06, errA = 188.16
i=2291, err2=4.36251e+06, errA = 188.131
i=2292, err2=4.32328e+06, errA = 188.092
i=2293, err2=7.646e+06, errA = 188.072
i=2294, err2=3.84822e+06, errA = 188.021
i=2295, err2=2.38265e+07, errA = 187.902
i=2296, err2=1.56544e+06, errA = 187.835
i=2297, err2=936717, errA = 187.83
i=2298, err2=4.92567e+07, errA = 187.672
i=2299, err2=4.85912e+07, errA = 187.289
i=2300, err2=2.3379e+07, errA = 187.037
i=2301, err2=2.99249e+07, errA = 186.909
i=2302, err2=4.46938e+06, errA = 186.806
i=2303, err2=3.13115e+07, errA = 186.667
i=2304, err2=2.76613e+07, errA = 186.53
i=2305, err2=7.76719e+06, errA = 186.441
i=2306, err2=1.03178e+07, errA = 186.402
i=2307, err2=8.79025e+06, errA = 186.344
i=2308, err2=8.59494e+06, errA = 186.307
i=2309, err2=7.71896e+06, errA = 186.26
i=2310, err2=7.82022e+06, errA = 186.195
i=2311, err2=2.93962e+06, errA = 186.13
i=2312, err2=5.5283e+06, errA = 186.109
i=2313, err2=3.3943e+06, errA = 186.082
i=2314, err2=1.83895e+06, errA = 186.059
i=2315, err2=2.90965e+06, errA = 186.041
i=2316, err2=4.85939e+06, errA = 186.008
i=2317, err2=6.51198e+06, errA = 185.989
i=2318, err2=2.21584e+06, errA = 185.946
i=2319, err2=6.30872e+06, errA = 185.899
i=2320, err2=5.70002e+06, errA = 185.874
i=2321, err2=6.10684e+06, errA = 185.844
i=2322, err2=1.08929e+07, errA = 185.808
i=2323, err2=4.54159e+06, errA = 185.722
i=2324, err2=3.49157e+06, errA = 185.702
i=2325, err2=987526, errA = 185.671
i=2326, err2=2.99344e+06, errA = 185.648
i=2327, err2=5.59749e+06, errA = 185.616
i=2328, err2=1.27998e+07, errA = 185.525
i=2329, err2=1.90262e+07, errA = 185.445
i=2330, err2=3.22399e+06, errA = 185.395
i=2331, err2=3.68869e+06, errA = 185.381
i=2332, err2=5.31752e+06, errA = 185.344
i=2333, err2=536164, errA = 185.332
i=2334, err2=916872, errA = 185.326
i=2335, err2=1.70259e+06, errA = 185.322
i=2336, err2=3.05288e+07, errA = 185.222
i=2337, err2=1.26055e+07, errA = 185.11
i=2338, err2=3.37484e+06, errA = 185.037
i=2339, err2=574389, errA = 185.029
i=2340, err2=3.29627e+06, errA = 185.011
i=2341, err2=2.34403e+06, errA = 184.99
i=2342, err2=3.01411e+06, errA = 184.97
i=2343, err2=2.61245e+06, errA = 184.946
i=2344, err2=3.03665e+06, errA = 184.934
i=2345, err2=1.29907e+06, errA = 184.92
i=2346, err2=624257, errA = 184.916
i=2347, err2=1.0016e+06, errA = 184.903
i=2348, err2=1.16363e+06, errA = 184.899
i=2349, err2=716573, errA = 184.888
i=2350, err2=1.23514e+06, errA = 184.884
i=2351, err2=1.21316e+06, errA = 184.877
i=2352, err2=3.60977e+06, errA = 184.825
i=2353, err2=4.60885e+06, errA = 184.788
i=2354, err2=3.87208e+06, errA = 184.738
i=2355, err2=2.30285e+07, errA = 184.681
i=2356, err2=5.79031e+06, errA = 184.599
i=2357, err2=5.00736e+06, errA = 184.571
i=2358, err2=1.35571e+07, errA = 184.5
i=2359, err2=652408, errA = 184.46
i=2360, err2=8.21134e+06, errA = 184.434
i=2361, err2=1.09812e+07, errA = 184.387
i=2362, err2=6.59162e+06, errA = 184.334
i=2363, err2=9.92626e+06, errA = 184.284
i=2364, err2=5.12079e+06, errA = 184.23
i=2365, err2=2.10607e+06, errA = 184.216
i=2366, err2=1.4851e+06, errA = 184.198
i=2367, err2=5.61328e+06, errA = 184.175
i=2368, err2=6.45661e+07, errA = 183.786
i=2369, err2=2.45337e+07, errA = 183.487
i=2370, err2=1.30057e+06, errA = 183.442
i=2371, err2=1.15275e+06, errA = 183.438
i=2372, err2=1.66828e+06, errA = 183.427
i=2373, err2=1.7834e+06, errA = 183.416
i=2374, err2=1.32351e+06, errA = 183.406
i=2375, err2=1.48254e+06, errA = 183.393
i=2376, err2=1.30329e+06, errA = 183.389
i=2377, err2=8.16875e+06, errA = 183.368
i=2378, err2=1.33134e+06, errA = 183.296
i=2379, err2=2.3485e+06, errA = 183.283
i=2380, err2=3.74672e+06, errA = 183.268
i=2381, err2=4.3373e+06, errA = 183.241
i=2382, err2=4.52237e+06, errA = 183.219
i=2383, err2=2.91918e+06, errA = 183.203
i=2384, err2=2.37049e+06, errA = 183.189
i=2385, err2=7.47305e+06, errA = 183.168
i=2386, err2=8.3484e+06, errA = 183.059
i=2387, err2=2.91877e+06, errA = 183.027
i=2388, err2=2.21496e+06, errA = 183.005
i=2389, err2=2.08568e+06, errA = 182.915
i=2390, err2=6.76475e+06, errA = 182.895
i=2391, err2=1.16887e+06, errA = 182.872
i=2392, err2=3.04738e+06, errA = 182.851
i=2393, err2=1.9944e+07, errA = 182.772
i=2394, err2=8.88784e+06, errA = 182.708
i=2395, err2=2.07417e+07, errA = 182.525
i=2396, err2=7.63578e+06, errA = 182.465
i=2397, err2=2.34961e+06, errA = 182.444
i=2398, err2=8.0743e+06, errA = 182.423
i=2399, err2=5.57138e+06, errA = 182.353
i=2400, err2=2.37263e+06, errA = 182.272
i=2401, err2=6.03893e+06, errA = 182.223
i=2402, err2=2.38778e+06, errA = 182.207
i=2403, err2=3.37596e+06, errA = 182.196
i=2404, err2=8.91134e+06, errA = 182.134
i=2405, err2=9.18421e+06, errA = 182.06
i=2406, err2=4.51521e+06, errA = 182.024
i=2407, err2=1.5034e+06, errA = 182.014
i=2408, err2=1.48951e+06, errA = 182.001
i=2409, err2=463940, errA = 181.997
i=2410, err2=589857, errA = 181.992
i=2411, err2=496497, errA = 181.989
i=2412, err2=325342, errA = 181.984
i=2413, err2=985147, errA = 181.979
i=2414, err2=2.48705e+06, errA = 181.969
i=2415, err2=1.0561e+06, errA = 181.958
i=2416, err2=1.69075e+06, errA = 181.948
i=2417, err2=1.95171e+06, errA = 181.939
i=2418, err2=3.16356e+06, errA = 181.919
i=2419, err2=4.97114e+06, errA = 181.899
i=2420, err2=3.08647e+06, errA = 181.871
i=2421, err2=1.08041e+06, errA = 181.863
i=2422, err2=2.85381e+06, errA = 181.832
i=2423, err2=4.40745e+06, errA = 181.819
i=2424, err2=8.5753e+06, errA = 181.79
i=2425, err2=1.33011e+07, errA = 181.674
i=2426, err2=1.15916e+06, errA = 181.627
i=2427, err2=1.18272e+06, errA = 181.619
i=2428, err2=347079, errA = 181.616
i=2429, err2=557826, errA = 181.613
i=2430, err2=2.65543e+06, errA = 181.601
i=2431, err2=3.44702e+06, errA = 181.591
i=2432, err2=2.24062e+06, errA = 181.568
i=2433, err2=253746, errA = 181.557
i=2434, err2=1.30589e+06, errA = 181.551
i=2435, err2=2.4021e+06, errA = 181.542
i=2436, err2=917430, errA = 181.534
i=2437, err2=2.1401e+06, errA = 181.527
i=2438, err2=3.01753e+06, errA = 181.508
i=2439, err2=614465, errA = 181.495
i=2440, err2=261868, errA = 181.485
i=2441, err2=2.3505e+06, errA = 181.458
i=2442, err2=4.74998e+06, errA = 181.434
i=2443, err2=3.89635e+06, errA = 181.413
i=2444, err2=4.41974e+06, errA = 181.377
i=2445, err2=8.82425e+06, errA = 181.349
i=2446, err2=7.73512e+06, errA = 181.294
i=2447, err2=1.76886e+06, errA = 181.276
i=2448, err2=1.72782e+07, errA = 181.224
i=2449, err2=1.16203e+07, errA = 181.099
i=2450, err2=2.70226e+07, errA = 181.032
i=2451, err2=2.96429e+07, errA = 180.71
i=2452, err2=1.60403e+07, errA = 180.614
i=2453, err2=5.20553e+06, errA = 180.535
i=2454, err2=2.65283e+06, errA = 180.513
i=2455, err2=3.272e+06, errA = 180.503
i=2456, err2=9.45776e+06, errA = 180.467
i=2457, err2=3.2605e+06, errA = 180.434
i=2458, err2=1.70964e+06, errA = 180.409
i=2459, err2=1.29843e+06, errA = 180.401
i=2460, err2=694988, errA = 180.397
i=2461, err2=903033, errA = 180.392
i=2462, err2=3.3965e+06, errA = 180.358
i=2463, err2=1.0368e+06, errA = 180.346
i=2464, err2=831363, errA = 180.34
i=2465, err2=636965, errA = 180.338
i=2466, err2=62262.4, errA = 180.332
i=2467, err2=172610, errA = 180.332
i=2468, err2=287030, errA = 180.314
i=2469, err2=939716, errA = 180.303
i=2470, err2=2.04217e+06, errA = 180.296
i=2471, err2=1.84357e+06, errA = 180.281
i=2472, err2=1.4138e+06, errA = 180.274
i=2473, err2=1.15987e+06, errA = 180.268
i=2474, err2=609158, errA = 180.252
i=2475, err2=1.85215e+06, errA = 180.241
i=2476, err2=2.95092e+06, errA = 180.231
i=2477, err2=1.97158e+06, errA = 180.22
i=2478, err2=740098, errA = 180.208
i=2479, err2=446188, errA = 180.205
i=2480, err2=262971, errA = 180.203
i=2481, err2=1.6254e+06, errA = 180.199
i=2482, err2=3.89395e+06, errA = 180.187
i=2483, err2=2.47027e+06, errA = 180.136
i=2484, err2=1.07145e+06, errA = 180.127
i=2485, err2=531197, errA = 180.122
i=2486, err2=2.17081e+06, errA = 180.117
i=2487, err2=4.9215e+06, errA = 180.095
i=2488, err2=6.1191e+06, errA = 180.034
i=2489, err2=3.69223e+06, errA = 180.011
i=2490, err2=1.33469e+06, errA = 180
i=2491, err2=1.96828e+06, errA = 179.993
i=2492, err2=2.23716e+06, errA = 179.978
i=2493, err2=1.14131e+06, errA = 179.966
i=2494, err2=2.90396e+06, errA = 179.953
i=2495, err2=1.71816e+06, errA = 179.939
i=2496, err2=1.32787e+06, errA = 179.93
i=2497, err2=1.51465e+06, errA = 179.921
i=2498, err2=3.06675e+06, errA = 179.899
i=2499, err2=1.8678e+06, errA = 179.833
i=2500, err2=1.11801e+07, errA = 179.815
i=2501, err2=8.6954e+06, errA = 179.602
i=2502, err2=3.37668e+06, errA = 179.575
i=2503, err2=4.43527e+06, errA = 179.538
i=2504, err2=948070, errA = 179.529
i=2505, err2=2.37454e+06, errA = 179.517
i=2506, err2=815255, errA = 179.504
i=2507, err2=398618, errA = 179.499
i=2508, err2=2.29204e+06, errA = 179.488
i=2509, err2=2.97044e+06, errA = 179.468
i=2510, err2=5.86798e+06, errA = 179.444
i=2511, err2=843721, errA = 179.417
i=2512, err2=1.93732e+06, errA = 179.41
i=2513, err2=2.1201e+06, errA = 179.401
i=2514, err2=3.8101e+06, errA = 179.383
i=2515, err2=1.08202e+07, errA = 179.355
i=2516, err2=2.89342e+06, errA = 179.294
i=2517, err2=3.71626e+06, errA = 179.271
i=2518, err2=333423, errA = 179.263
i=2519, err2=3.29955e+06, errA = 179.257
i=2520, err2=1.74081e+06, errA = 179.211
i=2521, err2=4.95254e+06, errA = 179.178
i=2522, err2=1.25426e+07, errA = 179.117
i=2523, err2=1.92525e+06, errA = 179.068
i=2524, err2=1.73027e+07, errA = 179.021
i=2525, err2=8.061e+06, errA = 178.946
i=2526, err2=1.31504e+07, errA = 178.909
i=2527, err2=1.80431e+07, errA = 178.707
i=2528, err2=2.67146e+07, errA = 178.569
i=2529, err2=7.58608e+06, errA = 178.505
i=2530, err2=1.02626e+07, errA = 178.454
i=2531, err2=1.16107e+07, errA = 178.391
i=2532, err2=1.03356e+07, errA = 178.334
i=2533, err2=4.06577e+06, errA = 178.204
i=2534, err2=3.42009e+06, errA = 178.183
i=2535, err2=823901, errA = 178.162
i=2536, err2=548878, errA = 178.156
i=2537, err2=333475, errA = 178.15
i=2538, err2=1.90395e+06, errA = 178.143
i=2539, err2=1.156e+06, errA = 178.137
i=2540, err2=833251, errA = 178.132
i=2541, err2=1.27969e+06, errA = 178.124
i=2542, err2=2.28123e+06, errA = 178.112
i=2543, err2=9.91166e+06, errA = 178.083
i=2544, err2=7.6891e+06, errA = 178.025
i=2545, err2=1.48221e+06, errA = 177.996
i=2546, err2=2.949e+06, errA = 177.988
i=2547, err2=1.02772e+07, errA = 177.954
i=2548, err2=3.28705e+06, errA = 177.902
i=2549, err2=1.91656e+06, errA = 177.886
i=2550, err2=4.80847e+06, errA = 177.87
i=2551, err2=1.61644e+06, errA = 177.837
i=2552, err2=3.4214e+06, errA = 177.829
i=2553, err2=4.31667e+06, errA = 177.806
i=2554, err2=3.40589e+06, errA = 177.771
i=2555, err2=6.25154e+06, errA = 177.754
i=2556, err2=3.58287e+06, errA = 177.707
i=2557, err2=1.38652e+06, errA = 177.699
i=2558, err2=2.06199e+06, errA = 177.683
i=2559, err2=5.38745e+06, errA = 177.628
i=2560, err2=6.44095e+06, errA = 177.587
i=2561, err2=5.12446e+06, errA = 177.504
i=2562, err2=2.79584e+06, errA = 177.482
i=2563, err2=577681, errA = 177.471
i=2564, err2=945057, errA = 177.464
i=2565, err2=335121, errA = 177.461
i=2566, err2=995151, errA = 177.455
i=2567, err2=544249, errA = 177.452
i=2568, err2=1.47833e+06, errA = 177.443
i=2569, err2=3.22114e+06, errA = 177.434
i=2570, err2=5.64301e+06, errA = 177.38
i=2571, err2=1.45699e+06, errA = 177.35
i=2572, err2=4.04e+06, errA = 177.27
i=2573, err2=1.15223e+07, errA = 177.235
i=2574, err2=3.80255e+06, errA = 177.19
i=2575, err2=9.17235e+06, errA = 177.163
i=2576, err2=6.50867e+06, errA = 177.114
i=2577, err2=1.84122e+06, errA = 177.096
i=2578, err2=6.01202e+06, errA = 177.069
i=2579, err2=2.53102e+06, errA = 177.053
i=2580, err2=2.88101e+06, errA = 177.017
i=2581, err2=810486, errA = 177.011
i=2582, err2=875827, errA = 177.006
i=2583, err2=635726, errA = 177.001
i=2584, err2=1.17201e+06, errA = 176.993
i=2585, err2=2.47471e+06, errA = 176.979
i=2586, err2=3.15681e+06, errA = 176.963
i=2587, err2=6.70292e+06, errA = 176.934
i=2588, err2=2.60051e+06, errA = 176.89
i=2589, err2=2.00589e+06, errA = 176.88
i=2590, err2=1.38044e+07, errA = 176.837
i=2591, err2=8.50428e+06, errA = 176.757
i=2592, err2=1.16598e+06, errA = 176.709
i=2593, err2=4.75198e+06, errA = 176.701
i=2594, err2=1.04338e+07, errA = 176.322
i=2595, err2=1.6366e+06, errA = 176.281
i=2596, err2=8.88446e+06, errA = 176.251
i=2597, err2=1.28397e+07, errA = 176.187
i=2598, err2=1.86961e+07, errA = 175.959
i=2599, err2=5.95344e+06, errA = 175.892
i=2600, err2=2.71712e+06, errA = 175.876
i=2601, err2=1.91729e+06, errA = 175.864
i=2602, err2=1.16813e+06, errA = 175.855
i=2603, err2=676585, errA = 175.848
i=2604, err2=1.19277e+06, errA = 175.845
i=2605, err2=2.07447e+06, errA = 175.836
i=2606, err2=1.06966e+07, errA = 175.775
i=2607, err2=9.80448e+06, errA = 175.731
i=2608, err2=5.06076e+06, errA = 175.673
i=2609, err2=1.26575e+06, errA = 175.654
i=2610, err2=708703, errA = 175.651
i=2611, err2=2.27115e+06, errA = 175.643
i=2612, err2=1.2069e+07, errA = 175.61
i=2613, err2=5.03828e+06, errA = 175.549
i=2614, err2=2.58537e+06, errA = 175.394
i=2615, err2=1.85307e+07, errA = 175.274
i=2616, err2=7.19877e+06, errA = 175.165
i=2617, err2=3.06255e+06, errA = 175.15
i=2618, err2=9.84772e+06, errA = 175.105
i=2619, err2=1.34044e+06, errA = 175.059
i=2620, err2=981871, errA = 175.05
i=2621, err2=158881, errA = 175.047
i=2622, err2=481842, errA = 175.045
i=2623, err2=642638, errA = 175.042
i=2624, err2=1.97337e+06, errA = 175.035
i=2625, err2=3.54227e+06, errA = 175.017
i=2626, err2=2.58408e+06, errA = 174.993
i=2627, err2=653847, errA = 174.988
i=2628, err2=300156, errA = 174.985
i=2629, err2=2.15567e+06, errA = 174.976
i=2630, err2=2.55844e+06, errA = 174.963
i=2631, err2=7.9492e+06, errA = 174.943
i=2632, err2=3.29018e+06, errA = 174.9
i=2633, err2=7.27554e+06, errA = 174.82
i=2634, err2=1.14516e+07, errA = 174.727
i=2635, err2=4.76783e+06, errA = 174.692
i=2636, err2=8.65e+06, errA = 174.621
i=2637, err2=1.39298e+06, errA = 174.602
i=2638, err2=3.58399e+06, errA = 174.588
i=2639, err2=4.78868e+06, errA = 174.561
i=2640, err2=2.69941e+06, errA = 174.545
i=2641, err2=6.29833e+06, errA = 174.488
i=2642, err2=5.95193e+06, errA = 174.461
i=2643, err2=2.52312e+07, errA = 174.326
i=2644, err2=8.59263e+06, errA = 174.267
i=2645, err2=450093, errA = 174.212
i=2646, err2=212982, errA = 174.209
i=2647, err2=1.43846e+06, errA = 174.206
i=2648, err2=1.41214e+06, errA = 174.177
i=2649, err2=1.3974e+06, errA = 174.169
i=2650, err2=6.20086e+06, errA = 174.144
i=2651, err2=3.13227e+06, errA = 174.127
i=2652, err2=1.58836e+06, errA = 174.106
i=2653, err2=2.84616e+06, errA = 174.074
i=2654, err2=986652, errA = 174.059
i=2655, err2=685955, errA = 174.056
i=2656, err2=1.40388e+06, errA = 174.049
i=2657, err2=1.04181e+06, errA = 174.044
i=2658, err2=3.25692e+06, errA = 174.029
i=2659, err2=2.93372e+06, errA = 174.008
i=2660, err2=6.75479e+06, errA = 173.971
i=2661, err2=5.8848e+06, errA = 173.935
i=2662, err2=3.44905e+06, errA = 173.903
i=2663, err2=2.65907e+06, errA = 173.871
i=2664, err2=2.397e+06, errA = 173.854
i=2665, err2=8.24292e+06, errA = 173.829
i=2666, err2=3.06015e+06, errA = 173.796
i=2667, err2=1.7689e+06, errA = 173.784
i=2668, err2=1.98074e+06, errA = 173.774
i=2669, err2=872683, errA = 173.768
i=2670, err2=407894, errA = 173.764
i=2671, err2=1.05185e+06, errA = 173.76
i=2672, err2=616400, errA = 173.755
i=2673, err2=5.72077e+06, errA = 173.739
i=2674, err2=5.41732e+06, errA = 173.68
i=2675, err2=1.26924e+07, errA = 173.626
i=2676, err2=6.24173e+06, errA = 173.566
i=2677, err2=1.00687e+07, errA = 173.481
i=2678, err2=8.68274e+06, errA = 173.452
i=2679, err2=2.97556e+06, errA = 173.385
i=2680, err2=1.07191e+07, errA = 173.34
i=2681, err2=2.47751e+07, errA = 173.153
i=2682, err2=6.39962e+06, errA = 173.072
i=2683, err2=2.15527e+07, errA = 172.894
i=2684, err2=2.62384e+06, errA = 172.856
i=2685, err2=987413, errA = 172.823
i=2686, err2=602597, errA = 172.817
i=2687, err2=2.24639e+06, errA = 172.81
i=2688, err2=718434, errA = 172.8
i=2689, err2=504181, errA = 172.792
i=2690, err2=1.39911e+06, errA = 172.788
i=2691, err2=4.40208e+06, errA = 172.776
i=2692, err2=559743, errA = 172.752
i=2693, err2=319557, errA = 172.75
i=2694, err2=210891, errA = 172.748
i=2695, err2=232719, errA = 172.745
i=2696, err2=200840, errA = 172.745
i=2697, err2=2.76009e+06, errA = 172.734
i=2698, err2=668407, errA = 172.724
i=2699, err2=632349, errA = 172.721
i=2700, err2=658684, errA = 172.716
i=2701, err2=715692, errA = 172.714
i=2702, err2=4.53376e+06, errA = 172.698
i=2703, err2=2.49006e+06, errA = 172.68
i=2704, err2=730350, errA = 172.674
i=2705, err2=907543, errA = 172.663
i=2706, err2=1.05325e+06, errA = 172.649
i=2707, err2=7.16847e+06, errA = 172.627
i=2708, err2=7.34068e+06, errA = 172.56
i=2709, err2=3.21765e+06, errA = 172.528
i=2710, err2=954684, errA = 172.52
i=2711, err2=1.66626e+06, errA = 172.515
i=2712, err2=2.11192e+06, errA = 172.497
i=2713, err2=4.0961e+06, errA = 172.458
i=2714, err2=626234, errA = 172.444
i=2715, err2=879533, errA = 172.44
i=2716, err2=5.70858e+06, errA = 172.401
i=2717, err2=1.01232e+06, errA = 172.389
i=2718, err2=1.05915e+06, errA = 172.384
i=2719, err2=4.6806e+06, errA = 172.368
i=2720, err2=1.02081e+07, errA = 172.307
i=2721, err2=7.14901e+06, errA = 172.229
i=2722, err2=8.27755e+06, errA = 172.156
i=2723, err2=5.98327e+06, errA = 172.128
i=2724, err2=3.20547e+06, errA = 172.1
i=2725, err2=9.13076e+06, errA = 172.038
i=2726, err2=7.599e+06, errA = 172.011
i=2727, err2=6.15969e+06, errA = 171.94
i=2728, err2=4.25366e+06, errA = 171.919
i=2729, err2=2.551e+06, errA = 171.9
i=2730, err2=1.89641e+07, errA = 171.806
i=2731, err2=1.01485e+07, errA = 171.742
i=2732, err2=8.99888e+06, errA = 171.595
i=2733, err2=1.18614e+07, errA = 171.467
i=2734, err2=1.3384e+06, errA = 171.441
i=2735, err2=961883, errA = 171.434
i=2736, err2=5.4097e+06, errA = 171.423
i=2737, err2=2.29015e+06, errA = 171.388
i=2738, err2=3.1034e+06, errA = 171.378
i=2739, err2=956203, errA = 171.349
i=2740, err2=2.25319e+06, errA = 171.339
i=2741, err2=774957, errA = 171.321
i=2742, err2=714607, errA = 171.317
i=2743, err2=331987, errA = 171.315
i=2744, err2=2.58776e+06, errA = 171.307
i=2745, err2=5.86368e+06, errA = 171.257
i=2746, err2=2.68926e+06, errA = 171.238
i=2747, err2=1.12989e+06, errA = 171.211
i=2748, err2=4.77343e+06, errA = 171.185
i=2749, err2=5.19296e+06, errA = 171.156
i=2750, err2=8.75825e+06, errA = 171.129
i=2751, err2=2.08428e+06, errA = 171.092
i=2752, err2=685367, errA = 171.086
i=2753, err2=4.45092e+06, errA = 171.077
i=2754, err2=3.93956e+06, errA = 171.028
i=2755, err2=3.27425e+06, errA = 171.006
i=2756, err2=1.373e+07, errA = 170.954
i=2757, err2=8.33876e+06, errA = 170.849
i=2758, err2=1.05091e+07, errA = 170.809
i=2759, err2=3.90444e+06, errA = 170.755
i=2760, err2=7.40332e+06, errA = 170.73
i=2761, err2=1.80717e+07, errA = 170.602
i=2762, err2=3.02572e+07, errA = 170.454
i=2763, err2=4.76283e+06, errA = 170.386
i=2764, err2=2.33713e+06, errA = 170.328
