iter=10      res2=0.956165      err2=1.74474      errA=0.947332
iter=20      res2=0.80926      err2=1.9599      errA=0.824078
iter=30      res2=0.624867      err2=2.30175      errA=0.684088
iter=40      res2=0.438773      err2=1.80876      errA=0.536377
iter=50      res2=0.286894      err2=1.63728      errA=0.400488
iter=60      res2=0.188171      err2=1.01645      errA=0.297566
iter=70      res2=0.130502      err2=0.761709      errA=0.227601
iter=80      res2=0.0867698      err2=0.608973      errA=0.166575
iter=90      res2=0.0586042      err2=0.45261      errA=0.1215
iter=100      res2=0.0445088      err2=0.366053      errA=0.0965959
iter=110      res2=0.0335348      err2=0.286403      errA=0.0758936
iter=120      res2=0.0253963      err2=0.244607      errA=0.0594074
iter=130      res2=0.0187585      err2=0.168429      errA=0.0454015
iter=140      res2=0.0141019      err2=0.137432      errA=0.0350608
iter=150      res2=0.0102852      err2=0.0924206      errA=0.0261532
iter=160      res2=0.00823991      err2=0.0687896      errA=0.0213197
iter=170      res2=0.0060478      err2=0.0518219      errA=0.0159702
iter=180      res2=0.00484558      err2=0.0479201      errA=0.0129769
iter=190      res2=0.00375459      err2=0.0420758      errA=0.0102046
iter=200      res2=0.00287996      err2=0.0316744      errA=0.0079477
iter=210      res2=0.00217595      err2=0.0205383      errA=0.00610143
iter=220      res2=0.00170887      err2=0.0152188      errA=0.00485599
iter=230      res2=0.00134203      err2=0.0140198      errA=0.00387094
iter=240      res2=0.00107222      err2=0.01051      errA=0.00312867
iter=250      res2=0.000804726      err2=0.0094647      errA=0.00237961
iter=260      res2=0.000617293      err2=0.00676683      errA=0.00184413
iter=270      res2=0.000480835      err2=0.00521575      errA=0.00144709
iter=280      res2=0.000372485      err2=0.00449064      errA=0.00113445
iter=290      res2=0.000297671      err2=0.00352503      errA=0.000914258
iter=300      res2=0.000229729      err2=0.00272706      errA=0.000706245
iter=310      res2=0.000178764      err2=0.00170341      errA=0.000552128
iter=320      res2=0.000139672      err2=0.00134976      errA=0.000436191
iter=330      res2=0.000110748      err2=0.00122269      errA=0.000347845
iter=340      res2=8.71909e-05      err2=0.000980082      errA=0.00027474
iter=350      res2=6.70637e-05      err2=0.000847092      errA=0.000212483
iter=360      res2=5.36145e-05      err2=0.000660821      errA=0.000170469
iter=370      res2=4.28253e-05      err2=0.000544223      errA=0.000137293
iter=380      res2=3.41035e-05      err2=0.000382461      errA=0.00011067
iter=390      res2=2.69568e-05      err2=0.000288011      errA=8.84493e-05
iter=400      res2=2.08027e-05      err2=0.000331769      errA=6.84963e-05
iter=410      res2=1.63358e-05      err2=0.000338535      errA=5.4339e-05
iter=420      res2=1.25058e-05      err2=0.000235283      errA=4.19097e-05
iter=430      res2=9.96534e-06      err2=0.000254104      errA=3.36319e-05
iter=440      res2=7.91988e-06      err2=0.000233856      errA=2.68751e-05
iter=450      res2=6.0096e-06      err2=0.000261124      errA=2.04146e-05
iter=460      res2=4.70035e-06      err2=0.000265729      errA=1.62777e-05
iter=470      res2=3.88096e-06      err2=0.000261764      errA=1.34079e-05
iter=480      res2=3.08214e-06      err2=0.000281403      errA=1.06953e-05
iter=490      res2=2.54416e-06      err2=0.000271986      errA=8.77074e-06
iter=500      res2=2.15796e-06      err2=0.00026896      errA=7.38533e-06
iter=510      res2=1.89205e-06      err2=0.000268914      errA=6.17733e-06
iter=520      res2=1.71163e-06      err2=0.000264075      errA=5.43884e-06
iter=530      res2=1.5709e-06      err2=0.00026126      errA=4.87584e-06
iter=540      res2=1.48432e-06      err2=0.000266477      errA=4.54738e-06
iter=550      res2=1.45284e-06      err2=0.000265147      errA=4.26111e-06
iter=560      res2=1.42594e-06      err2=0.000260928      errA=4.02571e-06
iter=570      res2=1.43439e-06      err2=0.000261532      errA=3.92474e-06
iter=580      res2=1.4661e-06      err2=0.00026231      errA=3.86499e-06
iter=590      res2=1.45968e-06      err2=0.000262254      errA=3.81422e-06
iter=600      res2=1.45234e-06      err2=0.000263089      errA=3.77828e-06
iter=610      res2=1.49316e-06      err2=0.000262686      errA=3.75414e-06
iter=620      res2=1.50516e-06      err2=0.000263027      errA=3.74006e-06
iter=630      res2=1.52255e-06      err2=0.000263141      errA=3.73818e-06
iter=640      res2=1.53961e-06      err2=0.000262831      errA=3.7328e-06
iter=650      res2=1.49838e-06      err2=0.000262744      errA=3.72506e-06
