iter=10      res2=0.883767      err2=1.9748      errA=0.894782
iter=20      res2=0.482476      err2=1.51582      errA=0.585447
iter=30      res2=0.19498      err2=0.957521      errA=0.312044
iter=40      res2=0.0884465      err2=0.797778      errA=0.170928
iter=50      res2=0.0423143      err2=0.319202      errA=0.0924589
iter=60      res2=0.0240679      err2=0.26795      errA=0.0565292
iter=70      res2=0.0127016      err2=0.12458      errA=0.0318157
iter=80      res2=0.00735511      err2=0.0726344      errA=0.0192347
iter=90      res2=0.0040623      err2=0.0452568      errA=0.0110154
iter=100      res2=0.00232856      err2=0.0231174      errA=0.00651413
iter=110      res2=0.00127022      err2=0.0150389      errA=0.00366892
iter=120      res2=0.000734672      err2=0.00747893      errA=0.00215804
iter=130      res2=0.000419377      err2=0.00408953      errA=0.00126229
iter=140      res2=0.0002426      err2=0.00258495      errA=0.000748455
iter=150      res2=0.000151849      err2=0.00167859      errA=0.000478874
iter=160      res2=7.79206e-05      err2=0.000915189      errA=0.000251984
iter=170      res2=4.58829e-05      err2=0.00053447      errA=0.000150043
iter=180      res2=2.615e-05      err2=0.0003238      errA=8.65758e-05
iter=190      res2=1.65756e-05      err2=0.000186391      errA=5.52325e-05
iter=200      res2=1.0537e-05      err2=0.000135841      errA=3.54929e-05
iter=210      res2=5.69471e-06      err2=7.35885e-05      errA=1.93181e-05
iter=220      res2=3.60752e-06      err2=4.52624e-05      errA=1.23233e-05
iter=230      res2=2.40423e-06      err2=3.18383e-05      errA=8.30368e-06
iter=240      res2=1.35615e-06      err2=1.73506e-05      errA=4.75364e-06
iter=250      res2=8.81151e-07      err2=1.12346e-05      errA=3.11165e-06
iter=260      res2=5.61609e-07      err2=8.80017e-06      errA=2.00642e-06
iter=270      res2=3.63281e-07      err2=5.13502e-06      errA=1.31139e-06
iter=280      res2=2.20476e-07      err2=3.94829e-06      errA=8.00497e-07
iter=290      res2=1.5174e-07      err2=2.10186e-06      errA=5.53311e-07
iter=300      res2=1.01394e-07      err2=2.07217e-06      errA=3.71738e-07
iter=310      res2=7.11704e-08      err2=1.2516e-06      errA=2.63173e-07
iter=320      res2=4.37991e-08      err2=7.16243e-07      errA=1.62526e-07
iter=330      res2=3.03944e-08      err2=4.10645e-07      errA=1.12794e-07
iter=340      res2=2.12204e-08      err2=3.45721e-07      errA=7.86956e-08
iter=350      res2=1.48901e-08      err2=1.83866e-07      errA=5.46211e-08
iter=360      res2=1.13595e-08      err2=2.05932e-07      errA=4.05174e-08
iter=370      res2=8.49573e-09      err2=1.37636e-07      errA=2.86586e-08
iter=380      res2=7.0421e-09      err2=9.35414e-08      errA=2.19662e-08
iter=390      res2=6.57897e-09      err2=7.91113e-08      errA=1.96311e-08
