iter=10      res2=0.956167      err2=1.73988      errA=0.947335
iter=20      res2=0.827588      err2=1.71141      errA=0.838051
iter=30      res2=0.634926      err2=1.90627      errA=0.691819
iter=40      res2=0.44172      err2=1.82767      errA=0.538899
iter=50      res2=0.287691      err2=1.7103      errA=0.401292
iter=60      res2=0.202018      err2=1.21392      errA=0.313027
iter=70      res2=0.129872      err2=0.808255      errA=0.226698
iter=80      res2=0.0909361      err2=0.648968      errA=0.172821
iter=90      res2=0.0625054      err2=0.458856      errA=0.127883
iter=100      res2=0.046937      err2=0.477129      errA=0.100992
iter=110      res2=0.0354583      err2=0.313689      errA=0.0796903
iter=120      res2=0.0261901      err2=0.211613      errA=0.0610006
iter=130      res2=0.0200265      err2=0.195718      errA=0.0481593
iter=140      res2=0.0149801      err2=0.128067      errA=0.0370152
iter=150      res2=0.0116366      err2=0.106116      errA=0.0293962
iter=160      res2=0.00881427      err2=0.0767182      errA=0.0227057
iter=170      res2=0.00703572      err2=0.0695598      errA=0.0184273
iter=180      res2=0.0054755      err2=0.0499037      errA=0.0145743
iter=190      res2=0.00424067      err2=0.0439126      errA=0.0114269
iter=200      res2=0.00338033      err2=0.028699      errA=0.00923316
iter=210      res2=0.00258382      err2=0.0266735      errA=0.00717985
iter=220      res2=0.00202933      err2=0.0183647      errA=0.00571621
iter=230      res2=0.00157232      err2=0.0150356      errA=0.0044916
iter=240      res2=0.00123506      err2=0.0124554      errA=0.00357407
iter=250      res2=0.00096302      err2=0.00964678      errA=0.00283136
iter=260      res2=0.000774209      err2=0.00830487      errA=0.00229544
iter=270      res2=0.000598889      err2=0.00609804      errA=0.00178876
iter=280      res2=0.000471786      err2=0.00520132      errA=0.00142199
iter=290      res2=0.000359096      err2=0.0042956      errA=0.00109444
iter=300      res2=0.000276407      err2=0.00307963      errA=0.00084959
iter=310      res2=0.00022603      err2=0.00243601      errA=0.000695379
iter=320      res2=0.000184449      err2=0.00176609      errA=0.000569562
iter=330      res2=0.000138959      err2=0.00139908      errA=0.000433725
iter=340      res2=0.000109833      err2=0.00115648      errA=0.000345362
iter=350      res2=8.52053e-05      err2=0.0010314      errA=0.000269002
iter=360      res2=6.86455e-05      err2=0.00102318      errA=0.000217785
iter=370      res2=5.3877e-05      err2=0.000712247      errA=0.000171199
iter=380      res2=4.25128e-05      err2=0.000510084      errA=0.00013656
iter=390      res2=3.23532e-05      err2=0.000356038      errA=0.00010537
iter=400      res2=2.55175e-05      err2=0.000287355      errA=8.38968e-05
iter=410      res2=1.97945e-05      err2=0.000214993      errA=6.54183e-05
iter=420      res2=1.5676e-05      err2=0.000180882      errA=5.21706e-05
iter=430      res2=1.23883e-05      err2=0.000129775      errA=4.15935e-05
iter=440      res2=9.48855e-06      err2=0.000114663      errA=3.20073e-05
iter=450      res2=7.54844e-06      err2=0.000110183      errA=2.54864e-05
iter=460      res2=5.99861e-06      err2=0.000101563      errA=2.02884e-05
iter=470      res2=4.69868e-06      err2=0.000100128      errA=1.59271e-05
iter=480      res2=3.76103e-06      err2=0.000112976      errA=1.28173e-05
iter=490      res2=3.03542e-06      err2=0.000115316      errA=1.03298e-05
iter=500      res2=2.39458e-06      err2=0.000114974      errA=8.16345e-06
iter=510      res2=2.00994e-06      err2=0.000108987      errA=6.71806e-06
iter=520      res2=1.66407e-06      err2=0.000112073      errA=5.53571e-06
iter=530      res2=1.45982e-06      err2=0.000109918      errA=4.77888e-06
iter=540      res2=1.32072e-06      err2=0.00010983      errA=4.2558e-06
iter=550      res2=1.25352e-06      err2=0.000109052      errA=3.92559e-06
iter=560      res2=1.21584e-06      err2=0.000108768      errA=3.78869e-06
