iter=10      res2=0.869554      err2=0.849237      errA=0.856982
iter=20      res2=0.758752      err2=0.683559      errA=0.716772
iter=30      res2=0.594824      err2=0.545833      errA=0.560844
iter=40      res2=0.440082      err2=0.408846      errA=0.413989
iter=50      res2=0.300136      err2=0.301274      errA=0.292114
iter=60      res2=0.18587      err2=0.200851      errA=0.186445
iter=70      res2=0.124911      err2=0.138103      errA=0.127238
iter=80      res2=0.080555      err2=0.0891269      errA=0.0825836
iter=90      res2=0.0590092      err2=0.0660696      errA=0.0609614
iter=100      res2=0.038879      err2=0.0440256      errA=0.0403364
iter=110      res2=0.0280222      err2=0.0304361      errA=0.0286637
iter=120      res2=0.0208273      err2=0.0223142      errA=0.0211701
iter=130      res2=0.0126156      err2=0.0142936      errA=0.0131559
iter=140      res2=0.00832285      err2=0.00982356      errA=0.00879343
iter=150      res2=0.0050221      err2=0.0058544      errA=0.00533659
iter=160      res2=0.00408913      err2=0.00464808      errA=0.00427711
iter=170      res2=0.00233731      err2=0.00271354      errA=0.00245767
iter=180      res2=0.00172674      err2=0.00198989      errA=0.00180459
iter=190      res2=0.00118995      err2=0.00133906      errA=0.00122335
iter=200      res2=0.00080297      err2=0.000877011      errA=0.000814249
iter=210      res2=0.000553961      err2=0.00057244      errA=0.000546359
iter=220      res2=0.000371692      err2=0.000380396      errA=0.000363056
iter=230      res2=0.000271369      err2=0.000287451      errA=0.000268882
iter=240      res2=0.000163702      err2=0.00017418      errA=0.000162482
iter=250      res2=0.000113507      err2=0.000121529      errA=0.00011319
iter=260      res2=8.04548e-05      err2=8.5508e-05      errA=8.04576e-05
iter=270      res2=5.43907e-05      err2=6.02679e-05      errA=5.53637e-05
iter=280      res2=3.68978e-05      err2=4.19352e-05      errA=3.78618e-05
iter=290      res2=2.55207e-05      err2=2.87567e-05      errA=2.62118e-05
iter=300      res2=1.71614e-05      err2=1.83037e-05      errA=1.72492e-05
iter=310      res2=1.07317e-05      err2=1.1908e-05      errA=1.10257e-05
iter=320      res2=6.99481e-06      err2=7.80877e-06      errA=7.20051e-06
iter=330      res2=4.50643e-06      err2=5.05187e-06      errA=4.64662e-06
iter=340      res2=3.50043e-06      err2=3.88767e-06      errA=3.60065e-06
iter=350      res2=1.99689e-06      err2=2.21303e-06      errA=2.05006e-06
iter=360      res2=1.2783e-06      err2=1.43714e-06      errA=1.32349e-06
iter=370      res2=8.17601e-07      err2=9.37904e-07      errA=8.50625e-07
iter=380      res2=5.70603e-07      err2=6.45185e-07      errA=5.89091e-07
iter=390      res2=3.57013e-07      err2=3.95561e-07      errA=3.64084e-07
iter=400      res2=2.75405e-07      err2=3.0298e-07      errA=2.80206e-07
iter=410      res2=1.66845e-07      err2=1.84137e-07      errA=1.69923e-07
iter=420      res2=1.24048e-07      err2=1.39139e-07      errA=1.2736e-07
iter=430      res2=8.44824e-08      err2=9.26573e-08      errA=8.60201e-08
iter=440      res2=5.4328e-08      err2=5.93153e-08      errA=5.54758e-08
iter=450      res2=3.75976e-08      err2=4.26335e-08      errA=3.91126e-08
iter=460      res2=2.43235e-08      err2=2.83375e-08      errA=2.56717e-08
iter=470      res2=1.60026e-08      err2=1.87735e-08      errA=1.6947e-08
iter=480      res2=1.07979e-08      err2=1.23672e-08      errA=1.12026e-08
iter=490      res2=6.86896e-09      err2=7.50821e-09      errA=6.96168e-09
iter=500      res2=5.08913e-09      err2=5.41077e-09      errA=5.10725e-09
iter=510      res2=3.2064e-09      err2=3.43122e-09      errA=3.20582e-09
iter=520      res2=2.26532e-09      err2=2.34736e-09      errA=2.24551e-09
iter=530      res2=1.54832e-09      err2=1.66149e-09      errA=1.55417e-09
iter=540      res2=9.75682e-10      err2=1.08636e-09      errA=9.94785e-10
