iter=890      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=900      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=910      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=920      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=930      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=940      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=950      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=960      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=970      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=980      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=990      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
