Avgstr = 59.3884451292667279
CG Iteration #1, relres 0.9995143838079650
CG Iteration #2, relres 0.9990606721592874
CG Iteration #3, relres 0.9976660802524800
CG Iteration #4, relres 0.9960200246503483
CG Iteration #5, relres 0.9933305641677381
CG Iteration #6, relres 0.9910344820886028
CG Iteration #7, relres 0.9875256227239533
CG Iteration #8, relres 0.9822674512972597
CG Iteration #9, relres 0.9770292854146326
CG Iteration #10, relres 0.9720334920775165
CG Iteration #11, relres 0.9667585354415239
CG Iteration #12, relres 0.9595622639355418
CG Iteration #13, relres 0.9539316962472875
CG Iteration #14, relres 0.9474956869917593
CG Iteration #15, relres 0.9468828209937179
CG Iteration #16, relres 0.9410283225267980
CG Iteration #17, relres 0.9349148170044387
CG Iteration #18, relres 0.9254174712473852
CG Iteration #19, relres 0.9182631971419175
CG Iteration #20, relres 0.9081317522971405
CG Iteration #21, relres 0.9007288044966151
CG Iteration #22, relres 0.8997246853707263
CG Iteration #23, relres 0.8930407622257929
CG Iteration #24, relres 0.8843616382932525
CG Iteration #25, relres 0.8775285386587980
CG Iteration #26, relres 0.8757069280656139
CG Iteration #27, relres 0.8726356625912632
CG Iteration #28, relres 0.8662484994085323
CG Iteration #29, relres 0.8568057588412895
CG Iteration #30, relres 0.8538510350791048
CG Iteration #31, relres 0.8495593343737964
CG Iteration #32, relres 0.8382581165102401
CG Iteration #33, relres 0.8277961152998721
CG Iteration #34, relres 0.8185035855890059
CG Iteration #35, relres 0.8088283629387181
CG Iteration #36, relres 0.8083610559579631
CG Iteration #37, relres 0.7972172502775473
CG Iteration #38, relres 0.7899744731099742
CG Iteration #39, relres 0.7883190959716794
CG Iteration #40, relres 0.7863277218659208
CG Iteration #41, relres 0.7782961823290276
CG Iteration #42, relres 0.7693777935968477
CG Iteration #43, relres 0.7603830532774633
CG Iteration #44, relres 0.7577029778065499
CG Iteration #45, relres 0.7496575568746631
CG Iteration #46, relres 0.7489375068005879
CG Iteration #47, relres 0.7474882395245830
CG Iteration #48, relres 0.7392769895689376
CG Iteration #49, relres 0.7279943733195128
CG Iteration #50, relres 0.7233709851495451
CG Iteration #51, relres 0.7141726476119283
CG Iteration #52, relres 0.7123625850563028
CG Iteration #53, relres 0.7040621881499772
CG Iteration #54, relres 0.6949552805037691
CG Iteration #55, relres 0.6906563957334880
CG Iteration #56, relres 0.6872812564114379
CG Iteration #57, relres 0.6849799354346516
CG Iteration #58, relres 0.6840368528621664
CG Iteration #59, relres 0.6749855660466710
CG Iteration #60, relres 0.6657664657358958
CG Iteration #61, relres 0.6595316091033667
CG Iteration #62, relres 0.6519263527623659
CG Iteration #63, relres 0.6419746499484006
CG Iteration #64, relres 0.6319476690527671
CG Iteration #65, relres 0.6313510438123311
CG Iteration #66, relres 0.6205641389717244
CG Iteration #67, relres 0.6204604746266658
CG Iteration #68, relres 0.6096200698850882
CG Iteration #69, relres 0.6075459162551756
CG Iteration #70, relres 0.6020179862723593
CG Iteration #71, relres 0.5944690919911200
CG Iteration #72, relres 0.5919903743818115
CG Iteration #73, relres 0.5851195783065815
CG Iteration #74, relres 0.5838974151730008
CG Iteration #75, relres 0.5788180711563171
CG Iteration #76, relres 0.5712273776131755
CG Iteration #77, relres 0.5682283453540224
CG Iteration #78, relres 0.5662911610045456
CG Iteration #79, relres 0.5607832087182593
CG Iteration #80, relres 0.5498862726695167
CG Iteration #81, relres 0.5419957588087384
CG Iteration #82, relres 0.5356680459553063
CG Iteration #83, relres 0.5269800047650668
CG Iteration #84, relres 0.5250320447775390
CG Iteration #85, relres 0.5202015562756779
CG Iteration #86, relres 0.5159668908471979
CG Iteration #87, relres 0.5129101983311850
CG Iteration #88, relres 0.5112159518540530
CG Iteration #89, relres 0.5076122671946933
CG Iteration #90, relres 0.5041054183895755
CG Iteration #91, relres 0.4966792056928946
CG Iteration #92, relres 0.4921204614811523
CG Iteration #93, relres 0.4820466495949521
CG Iteration #94, relres 0.4801506150144132
CG Iteration #95, relres 0.4757515911767734
CG Iteration #96, relres 0.4725882168318017
CG Iteration #97, relres 0.4619079431611097
CG Iteration #98, relres 0.4589993152846621
CG Iteration #99, relres 0.4586864096376388
CG Iteration #100, relres 0.4561966092491570
CG Iteration #101, relres 0.4493831821668092
CG Iteration #102, relres 0.4396464978698119
CG Iteration #103, relres 0.4367337506963170
CG Iteration #104, relres 0.4354341725722884
CG Iteration #105, relres 0.4299235910013786
CG Iteration #106, relres 0.4291600659969033
CG Iteration #107, relres 0.4202448372953970
CG Iteration #108, relres 0.4185152914588976
CG Iteration #109, relres 0.4152836705696529
CG Iteration #110, relres 0.4151277143724151
CG Iteration #111, relres 0.4074638768189167
CG Iteration #112, relres 0.3961867802559124
CG Iteration #113, relres 0.3862840093174954
CG Iteration #114, relres 0.3852535456009422
CG Iteration #115, relres 0.3813681458720950
CG Iteration #116, relres 0.3746812196457488
CG Iteration #117, relres 0.3734967587825242
CG Iteration #118, relres 0.3647054697873294
CG Iteration #119, relres 0.3644599284521443
CG Iteration #120, relres 0.3642874341170158
CG Iteration #121, relres 0.3568321991626727
CG Iteration #122, relres 0.3540188575449753
CG Iteration #123, relres 0.3507080527636650
CG Iteration #124, relres 0.3468625935399313
CG Iteration #125, relres 0.3448989163771597
CG Iteration #126, relres 0.3367628969381923
CG Iteration #127, relres 0.3357423364132086
CG Iteration #128, relres 0.3304762697475865
CG Iteration #129, relres 0.3290290816388379
CG Iteration #130, relres 0.3257536863193343
CG Iteration #131, relres 0.3238865394649664
CG Iteration #132, relres 0.3199231224524345
CG Iteration #133, relres 0.3157886528563192
CG Iteration #134, relres 0.3102697381554233
CG Iteration #135, relres 0.3083025191197324
CG Iteration #136, relres 0.3078451260886703
CG Iteration #137, relres 0.3039644603237926
CG Iteration #138, relres 0.3016700048240561
CG Iteration #139, relres 0.2989340274346733
CG Iteration #140, relres 0.2983877267154219
CG Iteration #141, relres 0.2956208557339569
CG Iteration #142, relres 0.2899473827669877
CG Iteration #143, relres 0.2860233248977031
CG Iteration #144, relres 0.2845209645806005
CG Iteration #145, relres 0.2805051762074486
CG Iteration #146, relres 0.2787132446747412
CG Iteration #147, relres 0.2743470134315382
CG Iteration #148, relres 0.2723870046593709
CG Iteration #149, relres 0.2664137452437298
CG Iteration #150, relres 0.2653907746886097
CG Iteration #151, relres 0.2646196677244288
CG Iteration #152, relres 0.2636195307042444
CG Iteration #153, relres 0.2616980160370465
CG Iteration #154, relres 0.2564346810040788
CG Iteration #155, relres 0.2514477483707758
CG Iteration #156, relres 0.2496640757195345
CG Iteration #157, relres 0.2491006738764853
CG Iteration #158, relres 0.2477343354530315
CG Iteration #159, relres 0.2432688014001675
CG Iteration #160, relres 0.2379152957637112
CG Iteration #161, relres 0.2369716913618266
CG Iteration #162, relres 0.2349992688479940
CG Iteration #163, relres 0.2332029224551762
CG Iteration #164, relres 0.2297615987799140
CG Iteration #165, relres 0.2265112624230955
CG Iteration #166, relres 0.2232421027905023
CG Iteration #167, relres 0.2223412825299591
CG Iteration #168, relres 0.2217738091669690
CG Iteration #169, relres 0.2171463199731004
CG Iteration #170, relres 0.2147879301234690
CG Iteration #171, relres 0.2121261772246966
CG Iteration #172, relres 0.2118366618588250
CG Iteration #173, relres 0.2088681521373470
CG Iteration #174, relres 0.2038094971747895
CG Iteration #175, relres 0.2018082640932390
CG Iteration #176, relres 0.1984733557323747
CG Iteration #177, relres 0.1981720663783925
CG Iteration #178, relres 0.1946803582531715
CG Iteration #179, relres 0.1919632741713284
CG Iteration #180, relres 0.1908807558972267
CG Iteration #181, relres 0.1898362759628068
CG Iteration #182, relres 0.1893496380849473
CG Iteration #183, relres 0.1890855681885866
CG Iteration #184, relres 0.1850515851171562
CG Iteration #185, relres 0.1844773886264177
CG Iteration #186, relres 0.1832035517802095
CG Iteration #187, relres 0.1808236959274420
CG Iteration #188, relres 0.1787226551515725
CG Iteration #189, relres 0.1771828568693511
CG Iteration #190, relres 0.1762702786011136
CG Iteration #191, relres 0.1723982670308447
CG Iteration #192, relres 0.1687822396100289
CG Iteration #193, relres 0.1687443639410421
CG Iteration #194, relres 0.1667090153189802
CG Iteration #195, relres 0.1656897392448154
CG Iteration #196, relres 0.1618513812207852
CG Iteration #197, relres 0.1617798767698505
CG Iteration #198, relres 0.1592934749783656
CG Iteration #199, relres 0.1573555899156510
CG Iteration #200, relres 0.1570701329219248
CG Iteration #201, relres 0.1558713161333270
CG Iteration #202, relres 0.1547401041883298
CG Iteration #203, relres 0.1525414909025128
CG Iteration #204, relres 0.1524091828741822
CG Iteration #205, relres 0.1490986644351580
CG Iteration #206, relres 0.1468224339723374
CG Iteration #207, relres 0.1439013172286558
CG Iteration #208, relres 0.1428089330413502
CG Iteration #209, relres 0.1415088061025890
CG Iteration #210, relres 0.1398552717322545
CG Iteration #211, relres 0.1371388155919583
CG Iteration #212, relres 0.1369947963492920
CG Iteration #213, relres 0.1364392112710984
CG Iteration #214, relres 0.1357624695422758
CG Iteration #215, relres 0.1345057739562958
CG Iteration #216, relres 0.1325774622782498
CG Iteration #217, relres 0.1315209194231375
CG Iteration #218, relres 0.1289114838564978
CG Iteration #219, relres 0.1271484661032499
CG Iteration #220, relres 0.1259408508341853
CG Iteration #221, relres 0.1256962641874030
CG Iteration #222, relres 0.1253809354486380
CG Iteration #223, relres 0.1227275660729184
CG Iteration #224, relres 0.1217505340869540
CG Iteration #225, relres 0.1208293182584173
CG Iteration #226, relres 0.1195880426204064
CG Iteration #227, relres 0.1179764126858536
CG Iteration #228, relres 0.1168797500357194
CG Iteration #229, relres 0.1164741930890550
CG Iteration #230, relres 0.1153530913421989
CG Iteration #231, relres 0.1138503153898381
CG Iteration #232, relres 0.1131749589765910
CG Iteration #233, relres 0.1108420653768390
