Avgstr = 13.9502492543415837
CG Iteration #1, relres 0.9971377937701040
CG Iteration #2, relres 0.9953035007210195
CG Iteration #3, relres 0.9886890706791281
CG Iteration #4, relres 0.9814302892850967
CG Iteration #5, relres 0.9765086618413810
CG Iteration #6, relres 0.9686696904489321
CG Iteration #7, relres 0.9614384021617395
CG Iteration #8, relres 0.9492360109679049
CG Iteration #9, relres 0.9387516503154616
CG Iteration #10, relres 0.9253029542607227
CG Iteration #11, relres 0.9077170053430675
CG Iteration #12, relres 0.8948952461823355
CG Iteration #13, relres 0.8803616025475597
CG Iteration #14, relres 0.8789733155216664
CG Iteration #15, relres 0.8671132395113456
CG Iteration #16, relres 0.8498408890763887
CG Iteration #17, relres 0.8340592324234406
CG Iteration #18, relres 0.8203628606738451
CG Iteration #19, relres 0.8044548177433877
CG Iteration #20, relres 0.7893250018162887
CG Iteration #21, relres 0.7808177628631293
CG Iteration #22, relres 0.7705206973847256
CG Iteration #23, relres 0.7555022480831007
CG Iteration #24, relres 0.7526840231303799
CG Iteration #25, relres 0.7427632631124075
CG Iteration #26, relres 0.7369547643443748
CG Iteration #27, relres 0.7215817416168382
CG Iteration #28, relres 0.7075341609503407
CG Iteration #29, relres 0.7026342946976015
CG Iteration #30, relres 0.6863124004034054
CG Iteration #31, relres 0.6697308952369405
CG Iteration #32, relres 0.6541528487604858
CG Iteration #33, relres 0.6374060829965082
CG Iteration #34, relres 0.6346846409409176
CG Iteration #35, relres 0.6224484747092000
CG Iteration #36, relres 0.6172772259980637
CG Iteration #37, relres 0.6004741318048101
CG Iteration #38, relres 0.5971799882723866
CG Iteration #39, relres 0.5825245272801191
CG Iteration #40, relres 0.5757570892352992
CG Iteration #41, relres 0.5651304567518094
CG Iteration #42, relres 0.5493651349940442
CG Iteration #43, relres 0.5444046128094649
CG Iteration #44, relres 0.5318971211210825
CG Iteration #45, relres 0.5276496386187399
CG Iteration #46, relres 0.5131394342690087
CG Iteration #47, relres 0.4964504504670455
CG Iteration #48, relres 0.4885559075642482
CG Iteration #49, relres 0.4809885756734676
CG Iteration #50, relres 0.4743941582907267
CG Iteration #51, relres 0.4617037345677275
CG Iteration #52, relres 0.4432423409027081
CG Iteration #53, relres 0.4380129420897696
CG Iteration #54, relres 0.4248209500006006
CG Iteration #55, relres 0.4243842489881072
CG Iteration #56, relres 0.4094466059431769
CG Iteration #57, relres 0.3967623572838108
CG Iteration #58, relres 0.3831835534878743
CG Iteration #59, relres 0.3774674429809241
CG Iteration #60, relres 0.3744624624783822
CG Iteration #61, relres 0.3642763523934322
CG Iteration #62, relres 0.3613088427804843
CG Iteration #63, relres 0.3486073156845391
CG Iteration #64, relres 0.3433682580331034
CG Iteration #65, relres 0.3427020167185033
CG Iteration #66, relres 0.3323917102232275
CG Iteration #67, relres 0.3204550236180269
CG Iteration #68, relres 0.3171854671327240
CG Iteration #69, relres 0.3136823883845219
CG Iteration #70, relres 0.3063724406480778
CG Iteration #71, relres 0.3034471756738304
CG Iteration #72, relres 0.2999355864999864
CG Iteration #73, relres 0.2881589491203108
CG Iteration #74, relres 0.2777411100034710
CG Iteration #75, relres 0.2754550861531621
CG Iteration #76, relres 0.2661074287175336
CG Iteration #77, relres 0.2590648605022137
CG Iteration #78, relres 0.2521522513668003
CG Iteration #79, relres 0.2509053479654604
CG Iteration #80, relres 0.2408069302982143
CG Iteration #81, relres 0.2324092332895104
CG Iteration #82, relres 0.2291964713001471
CG Iteration #83, relres 0.2219395088247763
CG Iteration #84, relres 0.2169672735091874
