anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 72      errA=3.823921374171583      err2_a=0.034159866505233165      err2_b=5.531390233433482
iter = 73      errA=3.463143365232544      err2_a=0.030754427357433587      err2_b=4.971353603310355
iter = 74      errA=3.124975736461748      err2_a=0.027586612380149592      err2_b=4.543955054811886
iter = 75      errA=3.0689006808344628      err2_a=0.027071880671771555      err2_b=4.485608543687224
iter = 76      errA=2.7869754985989097      err2_a=0.024434123053791963      err2_b=4.1305214652237545
iter = 77      errA=2.771883344470107      err2_a=0.024335239185442243      err2_b=4.125488821504345
iter = 78      errA=2.7667575831178612      err2_a=0.02442941762046536      err2_b=4.103115157295733
iter = 79      errA=2.4525902141167975      err2_a=0.021524887915223813      err2_b=3.6237903096434785
iter = 80      errA=2.3902814712020617      err2_a=0.021153229125385364      err2_b=3.50639199109888
iter = 81      errA=2.1280149471540835      err2_a=0.018446461763337616      err2_b=3.167749405776464
iter = 82      errA=2.02422377578995      err2_a=0.017565802728965355      err2_b=3.006326363782413
iter = 83      errA=1.9620207332396682      err2_a=0.01713150975558029      err2_b=2.8920408005871763
iter = 84      errA=1.8281020643854018      err2_a=0.016049317405655704      err2_b=2.673691956408178
iter = 85      errA=1.5944225266159675      err2_a=0.014005730035675125      err2_b=2.3522265939061517
iter = 86      errA=1.5576849380011357      err2_a=0.013431803601237403      err2_b=2.315878607443124
iter = 87      errA=1.395547961458717      err2_a=0.012128984133886765      err2_b=2.0316730866154202
iter = 88      errA=1.2160277248436357      err2_a=0.010742864666145055      err2_b=1.7734585771893743
iter = 89      errA=1.1673220898999392      err2_a=0.01035460370619406      err2_b=1.6950399854035805
iter = 90      errA=1.130039902637501      err2_a=0.00994478518178105      err2_b=1.6611621617521766
iter = 91      errA=1.0353600312877342      err2_a=0.009115039425029505      err2_b=1.4992718536026046
iter = 92      errA=1.0331113781635948      err2_a=0.009082147265056507      err2_b=1.4973853422140306
iter = 93      errA=1.0152138455073039      err2_a=0.008849232809202608      err2_b=1.4852078750133142
iter = 94      errA=0.8760097364007173      err2_a=0.007684350216805798      err2_b=1.2790225389485261
iter = 95      errA=0.7525820208527013      err2_a=0.006536831702363211      err2_b=1.1080743144966663
iter = 96      errA=0.6545229683758984      err2_a=0.005734322147775944      err2_b=0.952862415025735
iter = 97      errA=0.5727663933476125      err2_a=0.005089749841139565      err2_b=0.8172723671395673
iter = 98      errA=0.5558296304209446      err2_a=0.004963847105964778      err2_b=0.797002702180934
iter = 99      errA=0.5545426720844654      err2_a=0.004928166657084588      err2_b=0.8006074115189789
iter = 100      errA=0.5497146610691451      err2_a=0.004900823594603928      err2_b=0.7882502891776612
iter = 101      errA=0.549071172979208      err2_a=0.004896668852026283      err2_b=0.7883552228609563
iter = 102      errA=0.4839145042587645      err2_a=0.00419991367227214      err2_b=0.7176376238033799
iter = 103      errA=0.4701670329020997      err2_a=0.004105144288219264      err2_b=0.6906073392899259
iter = 104      errA=0.45535913823393787      err2_a=0.0039912783938959836      err2_b=0.6648760037318462
iter = 105      errA=0.38702695272568943      err2_a=0.0034385513969127837      err2_b=0.569776563872962
iter = 106      errA=0.38698830274270407      err2_a=0.003439922529181433      err2_b=0.5693457706137675
iter = 107      errA=0.33357683023680806      err2_a=0.0029560129814399706      err2_b=0.49173101319225215
iter = 108      errA=0.33012320903186065      err2_a=0.0029231960258293754      err2_b=0.486511484448143
iter = 109      errA=0.2958812091575662      err2_a=0.002591909043707153      err2_b=0.4326174891205534
iter = 110      errA=0.27525164507192995      err2_a=0.002451366150747447      err2_b=0.40064749686637335
iter = 111      errA=0.2354209014616067      err2_a=0.0021000970370077363      err2_b=0.3431737421215208
iter = 112      errA=0.23371322128552827      err2_a=0.002082701920870445      err2_b=0.3410191319732488
iter = 113      errA=0.2221100096773981      err2_a=0.0020003366264239545      err2_b=0.3242543662486795
iter = 114      errA=0.1978524626643523      err2_a=0.0017456435806496766      err2_b=0.2928201960143415
iter = 115      errA=0.19747317641514162      err2_a=0.0017430091935469886      err2_b=0.2922624062246775
iter = 116      errA=0.16370576486453653      err2_a=0.0014442900560492154      err2_b=0.24756611780107604
iter = 117      errA=0.14147913106224622      err2_a=0.001245694540446038      err2_b=0.21218116209099072
iter = 118      errA=0.13674002408205455      err2_a=0.0011939805476004878      err2_b=0.2060583058515798
iter = 119      errA=0.13645927920116832      err2_a=0.0011894175115816131      err2_b=0.20557722343380394
iter = 120      errA=0.13594193844754468      err2_a=0.0011869776354426725      err2_b=0.2049328074138593
iter = 121      errA=0.1151870927567009      err2_a=0.0010251160069849618      err2_b=0.16542854770176732
iter = 122      errA=0.11141240960164776      err2_a=0.0009908141369833175      err2_b=0.15997892442124015
iter = 123      errA=0.09657651835665249      err2_a=0.0008468817033712178      err2_b=0.139585080846742
iter = 124      errA=0.0961050431132164      err2_a=0.0008369827619290703      err2_b=0.13946611228146386
iter = 125      errA=0.09329345696337348      err2_a=0.0008221696069082987      err2_b=0.13367463864479256
iter = 126      errA=0.07832245004877442      err2_a=0.0006911806728858642      err2_b=0.11321655073185222
iter = 127      errA=0.06956272578781414      err2_a=0.0006268233727162527      err2_b=0.101137463481788
iter = 128      errA=0.06587081123997843      err2_a=0.0006003044676262163      err2_b=0.09324007907262397
iter = 129      errA=0.06346407561203984      err2_a=0.0005791191053834083      err2_b=0.09022198491969015
iter = 130      errA=0.060345062599630496      err2_a=0.0005455504878537114      err2_b=0.08735010540601951
iter = 131      errA=0.05865951062419412      err2_a=0.0005290573717193863      err2_b=0.08490745896511076
iter = 132      errA=0.053978922674482746      err2_a=0.0004874754735107424      err2_b=0.07680641321443943
iter = 133      errA=0.045675417588446544      err2_a=0.00040758718128027416      err2_b=0.06546249340312439
iter = 134      errA=0.04567168679515704      err2_a=0.0004076845076811598      err2_b=0.06545060302546919
iter = 135      errA=0.037789047909178926      err2_a=0.0003264510766019123      err2_b=0.057113834979994976
iter = 136      errA=0.03484068553956133      err2_a=0.0003012330420084674      err2_b=0.05360609937786851
iter = 137      errA=0.029058868127115684      err2_a=0.000251813116761676      err2_b=0.04373443640302151
iter = 138      errA=0.029050287646360157      err2_a=0.0002516340112416855      err2_b=0.043767543707540886
iter = 139      errA=0.023516972880592013      err2_a=0.00020319480394611372      err2_b=0.03528961133568128
iter = 140      errA=0.023447351150243396      err2_a=0.0002029073089575095      err2_b=0.03522399823242191
iter = 141      errA=0.02319731002093015      err2_a=0.0001995658939320999      err2_b=0.035036300109394666
iter = 142      errA=0.022159018923762114      err2_a=0.00019114622100919654      err2_b=0.03345649783018683
iter = 143      errA=0.019622471170693108      err2_a=0.00017042429683726887      err2_b=0.02907234502645693
iter = 144      errA=0.01950620617842067      err2_a=0.00016967737812756658      err2_b=0.029015508269751963
iter = 145      errA=0.01871668114441919      err2_a=0.00016219046254671      err2_b=0.027712577649233967
iter = 146      errA=0.0185989385224466      err2_a=0.0001610592426961072      err2_b=0.027527130807701333
iter = 147      errA=0.01771629252051036      err2_a=0.00015376656689924218      err2_b=0.026315485130901744
iter = 148      errA=0.014973655777737176      err2_a=0.00012911528339411206      err2_b=0.0220928163665117
iter = 149      errA=0.014971750888766826      err2_a=0.00012918954695503087      err2_b=0.022087621277510554
iter = 150      errA=0.012748969841293804      err2_a=0.00010897049664456767      err2_b=0.01881939018911781
iter = 151      errA=0.012498814159486574      err2_a=0.000107821974826775      err2_b=0.018335556313465323
iter = 152      errA=0.011992110068202187      err2_a=0.00010380197097699272      err2_b=0.017627676356344064
iter = 153      errA=0.010085943870873349      err2_a=8.69476786715682e-5      err2_b=0.014751478442109943
iter = 154      errA=0.008519092969605324      err2_a=7.358834960473024e-5      err2_b=0.012609629760116913
iter = 155      errA=0.008030118584548532      err2_a=6.950293234020687e-5      err2_b=0.011961582148171734
iter = 156      errA=0.007560247037559598      err2_a=6.638029757562344e-5      err2_b=0.011224384970429026
iter = 157      errA=0.007495643212742328      err2_a=6.565242814068628e-5      err2_b=0.011164435795864984
iter = 158      errA=0.006538868771243892      err2_a=5.738490636680975e-5      err2_b=0.00967895357262931
iter = 159      errA=0.006450434884996821      err2_a=5.677950851908621e-5      err2_b=0.009559850560530653
iter = 160      errA=0.006282199582654781      err2_a=5.528712196380845e-5      err2_b=0.009301500622956264
iter = 161      errA=0.005103774809546532      err2_a=4.433073071537369e-5      err2_b=0.00762234030619292
iter = 162      errA=0.004159281509880733      err2_a=3.627671120327497e-5      err2_b=0.006187134894275132
iter = 163      errA=0.004142857400763329      err2_a=3.6208654456377624e-5      err2_b=0.006171755721922205
iter = 164      errA=0.0036675208371628504      err2_a=3.2078094805376474e-5      err2_b=0.005429796956884917
iter = 165      errA=0.003605846272587332      err2_a=3.127921580621513e-5      err2_b=0.005386588949397568
iter = 166      errA=0.0032830939117045378      err2_a=2.867395812639461e-5      err2_b=0.004813368376347252
iter = 167      errA=0.003279267114013945      err2_a=2.861988557301726e-5      err2_b=0.004814839076055945
iter = 168      errA=0.002823546469448528      err2_a=2.457353658985997e-5      err2_b=0.004168324100957879
iter = 169      errA=0.0027690637562765245      err2_a=2.4221249492357696e-5      err2_b=0.004038485162225636
iter = 170      errA=0.0024336503158795338      err2_a=2.153013000019806e-5      err2_b=0.0035646485596573887
iter = 171      errA=0.002251137896283998      err2_a=1.9949290842529295e-5      err2_b=0.0032822736823016033
iter = 172      errA=0.0021613859441929942      err2_a=1.897096678446431e-5      err2_b=0.0031558540548248947
iter = 173      errA=0.002063748867110501      err2_a=1.817853581301905e-5      err2_b=0.003008655021514204
iter = 174      errA=0.0017213892582544877      err2_a=1.543478637667822e-5      err2_b=0.002436134052502739
iter = 175      errA=0.0015466055911802605      err2_a=1.3940252470695416e-5      err2_b=0.0021728764616365274
iter = 176      errA=0.0015240630512385175      err2_a=1.3671954233881726e-5      err2_b=0.002153447853880484
iter = 177      errA=0.0014906169181249382      err2_a=1.3340960890400389e-5      err2_b=0.002100575079535829
iter = 178      errA=0.0014887729960529799      err2_a=1.3340802154603067e-5      err2_b=0.0020953060808571473
iter = 179      errA=0.0013143688663628953      err2_a=1.1982808920486415e-5      err2_b=0.0018153353182150537
iter = 180      errA=0.0011404202761394237      err2_a=1.037283302745499e-5      err2_b=0.001605618695590281
iter = 181      errA=0.0010515501713087496      err2_a=9.374169933101526e-6      err2_b=0.001538741550384206
iter = 182      errA=0.0010063671252876643      err2_a=8.98791738423722e-6      err2_b=0.0014888363493482026
iter = 183      errA=0.0009693451015226244      err2_a=8.72782604729106e-6      err2_b=0.0014327481868078198
iter = 184      errA=0.000867240086147228      err2_a=7.881174643113283e-6      err2_b=0.0012507923617225145
iter = 185      errA=0.0008267751059800249      err2_a=7.422690047464946e-6      err2_b=0.0011986868146600092
iter = 186      errA=0.0008080436573750383      err2_a=7.229013925231924e-6      err2_b=0.001162922735678749
iter = 187      errA=0.00063957779582178      err2_a=5.629940700671457e-6      err2_b=0.0009579997790039222
iter = 188      errA=0.0006174338667132011      err2_a=5.432476133292077e-6      err2_b=0.0009330444885576836
iter = 189      errA=0.0005205505472991354      err2_a=4.664695497916889e-6      err2_b=0.000772703241081656
iter = 190      errA=0.00050300666699884      err2_a=4.4643190332049325e-6      err2_b=0.0007511800447454846
iter = 191      errA=0.0004944221232057048      err2_a=4.364777594874416e-6      err2_b=0.000737649489921112
iter = 192      errA=0.0004121319019304635      err2_a=3.628942873275634e-6      err2_b=0.0006087419448516742
iter = 193      errA=0.0004102097495078314      err2_a=3.6073123896206343e-6      err2_b=0.000605748202193927
iter = 194      errA=0.00040920270996290916      err2_a=3.6005665502106e-6      err2_b=0.0006034166631524752
iter = 195      errA=0.00037069235979092274      err2_a=3.2690576007970043e-6      err2_b=0.000551031036820349
iter = 196      errA=0.0003398999358026099      err2_a=2.9804158210995844e-6      err2_b=0.0005056117028287196
iter = 197      errA=0.0003020665753623468      err2_a=2.6404634249680154e-6      err2_b=0.0004536087858167456
iter = 198      errA=0.00023207764333676894      err2_a=2.0664386102664155e-6      err2_b=0.00034141306652257726
iter = 199      errA=0.0002082708452382985      err2_a=1.8527510168558318e-6      err2_b=0.0003050850117266638
iter = 200      errA=0.00019631986003149305      err2_a=1.727197132382225e-6      err2_b=0.00028664646829745755
