iter=10      res2=0.781741      err2=0.682836      errA=0.730723
iter=20      res2=0.495549      err2=0.440338      errA=0.460984
iter=30      res2=0.272331      err2=0.25554      errA=0.259088
iter=40      res2=0.156266      err2=0.155558      errA=0.153404
iter=50      res2=0.0860568      err2=0.0890124      errA=0.0864935
iter=60      res2=0.0440914      err2=0.0451061      errA=0.044188
iter=70      res2=0.0245918      err2=0.0255921      errA=0.0248575
iter=80      res2=0.0139529      err2=0.0142385      errA=0.0139839
iter=90      res2=0.00744965      err2=0.00769438      errA=0.00749634
iter=100      res2=0.00437982      err2=0.00443799      errA=0.00436474
iter=110      res2=0.00231645      err2=0.00227227      errA=0.00226874
iter=120      res2=0.0013956      err2=0.00137624      errA=0.00136874
iter=130      res2=0.000784621      err2=0.000791668      errA=0.000776321
iter=140      res2=0.000406495      err2=0.000404953      errA=0.000400002
iter=150      res2=0.000243597      err2=0.000242259      errA=0.000239125
iter=160      res2=0.000129814      err2=0.00012745      errA=0.000127132
iter=170      res2=7.76436e-05      err2=7.60578e-05      errA=7.60424e-05
iter=180      res2=4.43164e-05      err2=4.57057e-05      errA=4.44824e-05
iter=190      res2=2.30029e-05      err2=2.43932e-05      errA=2.34766e-05
iter=200      res2=1.32107e-05      err2=1.35757e-05      errA=1.32666e-05
iter=210      res2=7.50327e-06      err2=7.59206e-06      errA=7.44933e-06
iter=220      res2=4.23426e-06      err2=4.18248e-06      errA=4.13798e-06
iter=230      res2=2.49374e-06      err2=2.45863e-06      errA=2.42056e-06
iter=240      res2=1.3646e-06      err2=1.34047e-06      errA=1.30588e-06
iter=250      res2=9.08791e-07      err2=9.37164e-07      errA=8.73049e-07
iter=260      res2=7.04696e-07      err2=7.69385e-07      errA=6.63429e-07
iter=270      res2=6.21706e-07      err2=6.57733e-07      errA=5.82976e-07
iter=280      res2=6.04901e-07      err2=6.4053e-07      errA=5.69139e-07
iter=290      res2=6.01017e-07      err2=6.28128e-07      errA=5.69302e-07
iter=300      res2=6.1472e-07      err2=6.40384e-07      errA=5.8517e-07
