Avgstr = 59.3884451292667279
CG Iteration #1, relres 0.9995143838079650
CG Iteration #2, relres 0.9990606721592874
CG Iteration #3, relres 0.9976660802524800
CG Iteration #4, relres 0.9960200246503483
CG Iteration #5, relres 0.9933305641677381
CG Iteration #6, relres 0.9910344820886028
CG Iteration #7, relres 0.9875256227239533
CG Iteration #8, relres 0.9822674512972597
CG Iteration #9, relres 0.9770292854146375
CG Iteration #10, relres 0.9720334920783782
CG Iteration #11, relres 0.9667585354539219
CG Iteration #12, relres 0.9595622617152155
CG Iteration #13, relres 0.9539316575624611
CG Iteration #14, relres 0.9471010542925011
CG Iteration #15, relres 0.9411948712067555
CG Iteration #16, relres 0.9350610890698873
CG Iteration #17, relres 0.9255650723719279
CG Iteration #18, relres 0.9184220104440022
CG Iteration #19, relres 0.9082851068076556
CG Iteration #20, relres 0.9003488991320943
CG Iteration #21, relres 0.8937425838046305
CG Iteration #22, relres 0.8849825145121339
CG Iteration #23, relres 0.8770922692408313
CG Iteration #24, relres 0.8762411395446572
CG Iteration #25, relres 0.8678595462901083
CG Iteration #26, relres 0.8582172745113252
CG Iteration #27, relres 0.8514891367171710
CG Iteration #28, relres 0.8398157809688720
CG Iteration #29, relres 0.8298665643959844
CG Iteration #30, relres 0.8202900776363476
CG Iteration #31, relres 0.8104046015944432
CG Iteration #32, relres 0.7992045508944219
CG Iteration #33, relres 0.7923439180493097
CG Iteration #34, relres 0.7910676746502721
CG Iteration #35, relres 0.7812364187332792
CG Iteration #36, relres 0.7722908484155749
CG Iteration #37, relres 0.7632452408038926
CG Iteration #38, relres 0.7536758285823590
CG Iteration #39, relres 0.7480010824633152
CG Iteration #40, relres 0.7427833370843189
CG Iteration #41, relres 0.7319282464543616
CG Iteration #42, relres 0.7316237479003805
CG Iteration #43, relres 0.7198481111506513
CG Iteration #44, relres 0.7179046973045982
CG Iteration #45, relres 0.7091168695678802
CG Iteration #46, relres 0.7007323639803386
CG Iteration #47, relres 0.6915522028050554
CG Iteration #48, relres 0.6825758764978485
CG Iteration #49, relres 0.6720187449919547
CG Iteration #50, relres 0.6612249408265666
CG Iteration #51, relres 0.6508694943096998
CG Iteration #52, relres 0.6384058551437897
CG Iteration #53, relres 0.6344908183945103
CG Iteration #54, relres 0.6266635076142648
CG Iteration #55, relres 0.6143573152352657
CG Iteration #56, relres 0.6056864769256519
CG Iteration #57, relres 0.6035226638545148
CG Iteration #58, relres 0.5924885327778914
CG Iteration #59, relres 0.5883847351272273
CG Iteration #60, relres 0.5864169898955274
CG Iteration #61, relres 0.5837584882170690
CG Iteration #62, relres 0.5729196893786577
CG Iteration #63, relres 0.5624044984854789
CG Iteration #64, relres 0.5553368946866116
CG Iteration #65, relres 0.5486812048285695
CG Iteration #66, relres 0.5376696262240281
CG Iteration #67, relres 0.5266089600386802
CG Iteration #68, relres 0.5231066691925147
CG Iteration #69, relres 0.5163575648039458
CG Iteration #70, relres 0.5156049926592503
CG Iteration #71, relres 0.5066930750487402
CG Iteration #72, relres 0.4967531150310736
CG Iteration #73, relres 0.4844579358993861
CG Iteration #74, relres 0.4812774288421822
CG Iteration #75, relres 0.4746955066652965
CG Iteration #76, relres 0.4735143929721119
CG Iteration #77, relres 0.4632102475748528
CG Iteration #78, relres 0.4627947366388150
CG Iteration #79, relres 0.4533277162788815
CG Iteration #80, relres 0.4435957124886544
CG Iteration #81, relres 0.4337381711675493
CG Iteration #82, relres 0.4235299389203755
CG Iteration #83, relres 0.4213594348937813
CG Iteration #84, relres 0.4119174710922391
CG Iteration #85, relres 0.4113924853564793
CG Iteration #86, relres 0.4008743315658768
CG Iteration #87, relres 0.3988584374573090
CG Iteration #88, relres 0.3883605976863970
CG Iteration #89, relres 0.3791408122741975
CG Iteration #90, relres 0.3730640684043197
CG Iteration #91, relres 0.3692711566672111
CG Iteration #92, relres 0.3596949037701843
CG Iteration #93, relres 0.3580079959636027
CG Iteration #94, relres 0.3513947439192119
CG Iteration #95, relres 0.3510242602658106
CG Iteration #96, relres 0.3485254762193513
CG Iteration #97, relres 0.3423783910244317
CG Iteration #98, relres 0.3376718308836650
CG Iteration #99, relres 0.3351390080551561
CG Iteration #100, relres 0.3325465186557462
CG Iteration #101, relres 0.3253437997172316
CG Iteration #102, relres 0.3244108194473852
CG Iteration #103, relres 0.3161834318546145
CG Iteration #104, relres 0.3079617955809438
CG Iteration #105, relres 0.2991088400730292
CG Iteration #106, relres 0.2972239429684359
CG Iteration #107, relres 0.2966310437521129
CG Iteration #108, relres 0.2895288781242191
CG Iteration #109, relres 0.2825274903331049
CG Iteration #110, relres 0.2817836503936541
CG Iteration #111, relres 0.2769094326892855
CG Iteration #112, relres 0.2748049366760798
CG Iteration #113, relres 0.2692303458398928
CG Iteration #114, relres 0.2690370824965405
CG Iteration #115, relres 0.2672255437076527
CG Iteration #116, relres 0.2610499235379942
CG Iteration #117, relres 0.2547804035489580
CG Iteration #118, relres 0.2486410537044744
CG Iteration #119, relres 0.2478530417061131
CG Iteration #120, relres 0.2412355947716781
CG Iteration #121, relres 0.2391003325534694
CG Iteration #122, relres 0.2340561835525008
CG Iteration #123, relres 0.2270764623661803
CG Iteration #124, relres 0.2210030076667575
CG Iteration #125, relres 0.2189567521231580
CG Iteration #126, relres 0.2157326457417275
CG Iteration #127, relres 0.2136061936554186
CG Iteration #128, relres 0.2133807863873030
CG Iteration #129, relres 0.2083652557476321
CG Iteration #130, relres 0.2029809563573144
CG Iteration #131, relres 0.2029040855423069
CG Iteration #132, relres 0.2012747426921394
CG Iteration #133, relres 0.1960104986799577
CG Iteration #134, relres 0.1943231216729434
CG Iteration #135, relres 0.1907318897596956
CG Iteration #136, relres 0.1887410279436362
CG Iteration #137, relres 0.1853152827207561
CG Iteration #138, relres 0.1836624711385431
CG Iteration #139, relres 0.1787159171885553
CG Iteration #140, relres 0.1783291058190752
CG Iteration #141, relres 0.1737914100417781
CG Iteration #142, relres 0.1719104154372252
CG Iteration #143, relres 0.1708333426884482
CG Iteration #144, relres 0.1681239137396419
CG Iteration #145, relres 0.1637380748294916
CG Iteration #146, relres 0.1610093240002253
CG Iteration #147, relres 0.1588425782816531
CG Iteration #148, relres 0.1554395255110826
CG Iteration #149, relres 0.1554075534937154
CG Iteration #150, relres 0.1535891803516357
CG Iteration #151, relres 0.1526561175513401
CG Iteration #152, relres 0.1490442876510835
CG Iteration #153, relres 0.1450845541892605
CG Iteration #154, relres 0.1411610770004432
CG Iteration #155, relres 0.1399457547907083
CG Iteration #156, relres 0.1379212208866654
CG Iteration #157, relres 0.1358026527208202
CG Iteration #158, relres 0.1346232796138569
CG Iteration #159, relres 0.1339748754171444
CG Iteration #160, relres 0.1313182414699071
CG Iteration #161, relres 0.1286370563988552
CG Iteration #162, relres 0.1284399954080035
CG Iteration #163, relres 0.1269736232657042
CG Iteration #164, relres 0.1230661905130224
CG Iteration #165, relres 0.1215223973082036
CG Iteration #166, relres 0.1192264013118432
CG Iteration #167, relres 0.1191783458892491
CG Iteration #168, relres 0.1171204303909655
CG Iteration #169, relres 0.1157445572204198
CG Iteration #170, relres 0.1144238119892469
CG Iteration #171, relres 0.1130536938233847
CG Iteration #172, relres 0.1118600032569378
CG Iteration #173, relres 0.1106021164763269
CG Iteration #174, relres 0.1073049169550354
CG Iteration #175, relres 0.1049725369712557
CG Iteration #176, relres 0.1035020344055287
CG Iteration #177, relres 0.1031559266909365
CG Iteration #178, relres 0.0999381899162508
CG Iteration #179, relres 0.0967211967324372
CG Iteration #180, relres 0.0942348321935448
CG Iteration #181, relres 0.0935599380094857
CG Iteration #182, relres 0.0925635655543895
CG Iteration #183, relres 0.0899441892982473
CG Iteration #184, relres 0.0899133074114544
CG Iteration #185, relres 0.0896396589157014
CG Iteration #186, relres 0.0892260836562299
CG Iteration #187, relres 0.0868003466502528
CG Iteration #188, relres 0.0867322591129796
CG Iteration #189, relres 0.0858425198691671
CG Iteration #190, relres 0.0850089269806978
CG Iteration #191, relres 0.0835672937345862
CG Iteration #192, relres 0.0809324985370160
CG Iteration #193, relres 0.0791012933126266
CG Iteration #194, relres 0.0777831234249401
CG Iteration #195, relres 0.0754495332545286
CG Iteration #196, relres 0.0750112921671773
CG Iteration #197, relres 0.0726536012999213
CG Iteration #198, relres 0.0703847434056036
CG Iteration #199, relres 0.0687727661945725
CG Iteration #200, relres 0.0679825702706100
CG Iteration #201, relres 0.0679430136052806
CG Iteration #202, relres 0.0674380417377353
CG Iteration #203, relres 0.0659257007402328
CG Iteration #204, relres 0.0650914934870673
CG Iteration #205, relres 0.0630062927980227
CG Iteration #206, relres 0.0626245944450775
CG Iteration #207, relres 0.0607312476255904
CG Iteration #208, relres 0.0604433940229093
CG Iteration #209, relres 0.0589549882916957
CG Iteration #210, relres 0.0578347189354611
CG Iteration #211, relres 0.0575131247122202
CG Iteration #212, relres 0.0568834913763660
CG Iteration #213, relres 0.0557057507499971
CG Iteration #214, relres 0.0543862467336822
CG Iteration #215, relres 0.0538378787061833
CG Iteration #216, relres 0.0528489775394171
CG Iteration #217, relres 0.0526266227642956
CG Iteration #218, relres 0.0524174449196988
CG Iteration #219, relres 0.0515675696561842
CG Iteration #220, relres 0.0515593348337509
CG Iteration #221, relres 0.0498721578461394
CG Iteration #222, relres 0.0492651675509498
CG Iteration #223, relres 0.0481790526317079
CG Iteration #224, relres 0.0475066532419759
CG Iteration #225, relres 0.0469200932041735
CG Iteration #226, relres 0.0462408273391578
CG Iteration #227, relres 0.0459632713727880
CG Iteration #228, relres 0.0455761197975371
CG Iteration #229, relres 0.0443021313011125
CG Iteration #230, relres 0.0429226525250772
CG Iteration #231, relres 0.0423769637376714
CG Iteration #232, relres 0.0414580147478215
CG Iteration #233, relres 0.0410715339501595
