iter=10      res2=0.982946      err2=1.14342      errA=0.97632
iter=20      res2=0.915708      err2=1.14948      errA=0.907663
iter=30      res2=0.827807      err2=1.15617      errA=0.830734
iter=40      res2=0.741378      err2=1.11161      errA=0.760043
iter=50      res2=0.645128      err2=1.07539      errA=0.683526
iter=60      res2=0.523877      err2=1.01681      errA=0.586186
iter=70      res2=0.426741      err2=0.944313      errA=0.504047
iter=80      res2=0.340158      err2=0.884647      errA=0.425573
iter=90      res2=0.278719      err2=0.736103      errA=0.365655
iter=100      res2=0.223169      err2=0.621813      errA=0.30746
iter=110      res2=0.181302      err2=0.552613      errA=0.260237
iter=120      res2=0.151365      err2=0.475615      errA=0.224062
iter=130      res2=0.126425      err2=0.409202      errA=0.192428
iter=140      res2=0.105059      err2=0.354342      errA=0.163956
iter=150      res2=0.089526      err2=0.296863      errA=0.142307
iter=160      res2=0.0744743      err2=0.258601      errA=0.120626
iter=170      res2=0.064388      err2=0.225019      errA=0.105652
iter=180      res2=0.0548798      err2=0.191848      errA=0.0911764
iter=190      res2=0.0468785      err2=0.172313      errA=0.0788099
iter=200      res2=0.0411202      err2=0.143955      errA=0.069653
iter=210      res2=0.0344771      err2=0.122063      errA=0.0589513
iter=220      res2=0.0296854      err2=0.108911      errA=0.0511549
iter=230      res2=0.0253716      err2=0.090385      errA=0.043999
iter=240      res2=0.0221818      err2=0.0806545      errA=0.0387246
iter=250      res2=0.0190628      err2=0.0702355      errA=0.0335153
iter=260      res2=0.0163536      err2=0.0609416      errA=0.0289277
iter=270      res2=0.0143476      err2=0.0529253      errA=0.0255085
iter=280      res2=0.0124922      err2=0.0460062      errA=0.022323
iter=290      res2=0.0109095      err2=0.0419075      errA=0.0195846
iter=300      res2=0.00923084      err2=0.0355928      errA=0.0166389
iter=310      res2=0.00793029      err2=0.0289307      errA=0.0143427
iter=320      res2=0.00697779      err2=0.026779      errA=0.0126715
iter=330      res2=0.00606806      err2=0.0228564      errA=0.0110686
iter=340      res2=0.0053512      err2=0.020413      errA=0.00979986
iter=350      res2=0.00465124      err2=0.0186307      errA=0.0085503
iter=360      res2=0.00402501      err2=0.016198      errA=0.00742456
iter=370      res2=0.00343711      err2=0.0133195      errA=0.00636581
iter=380      res2=0.00297538      err2=0.0116087      errA=0.00552739
iter=390      res2=0.00260071      err2=0.0100381      errA=0.00484419
iter=400      res2=0.00225948      err2=0.00889059      errA=0.00421778
iter=410      res2=0.0019963      err2=0.00771673      errA=0.00373514
iter=420      res2=0.00174079      err2=0.00690099      errA=0.00326362
iter=430      res2=0.00150658      err2=0.00597535      errA=0.00283028
iter=440      res2=0.0013115      err2=0.00531392      errA=0.00247206
iter=450      res2=0.00112512      err2=0.00466211      errA=0.00212678
iter=460      res2=0.00100048      err2=0.00431384      errA=0.00189407
iter=470      res2=0.000852443      err2=0.00331685      errA=0.00161524
iter=480      res2=0.000751599      err2=0.00318604      errA=0.00142624
iter=490      res2=0.000646347      err2=0.00262263      errA=0.00122804
