iter=10      res2=0.992296      err2=1.04391      errA=0.980358
iter=20      res2=0.979837      err2=1.02404      errA=0.953582
iter=30      res2=0.958279      err2=1.02584      errA=0.921142
iter=40      res2=0.934743      err2=1.02219      errA=0.892263
iter=50      res2=0.896921      err2=0.970838      errA=0.853188
iter=60      res2=0.857059      err2=0.968756      errA=0.816586
iter=70      res2=0.810965      err2=0.954378      errA=0.777197
iter=80      res2=0.755111      err2=0.922638      errA=0.732345
iter=90      res2=0.690782      err2=0.937595      errA=0.681872
iter=100      res2=0.633167      err2=0.925399      errA=0.636777
iter=110      res2=0.574563      err2=0.920582      errA=0.591704
iter=120      res2=0.504316      err2=0.851326      errA=0.536005
iter=130      res2=0.451172      err2=0.865537      errA=0.493333
iter=140      res2=0.395718      err2=0.783094      errA=0.446881
iter=150      res2=0.345004      err2=0.700404      errA=0.402518
iter=160      res2=0.30702      err2=0.649351      errA=0.368258
iter=170      res2=0.267354      err2=0.595657      errA=0.330746
iter=180      res2=0.238395      err2=0.554214      errA=0.302272
iter=190      res2=0.211155      err2=0.514403      errA=0.27481
iter=200      res2=0.185287      err2=0.478579      errA=0.247481
iter=210      res2=0.164542      err2=0.422287      errA=0.224654
iter=220      res2=0.145341      err2=0.384838      errA=0.202677
iter=230      res2=0.12999      err2=0.354511      errA=0.184832
iter=240      res2=0.115762      err2=0.328785      errA=0.167381
iter=250      res2=0.103049      err2=0.300143      errA=0.151694
iter=260      res2=0.0925555      err2=0.27169      errA=0.138182
iter=270      res2=0.0832203      err2=0.253209      errA=0.126068
iter=280      res2=0.0758113      err2=0.233349      errA=0.116122
iter=290      res2=0.0679972      err2=0.208819      errA=0.105311
iter=300      res2=0.0608909      err2=0.188793      errA=0.0954387
iter=310      res2=0.0557153      err2=0.172725      errA=0.0879906
iter=320      res2=0.0508667      err2=0.156602      errA=0.0809677
iter=330      res2=0.0457838      err2=0.146236      errA=0.0735009
iter=340      res2=0.0424039      err2=0.135294      errA=0.0684192
iter=350      res2=0.0384604      err2=0.124916      errA=0.0624936
iter=360      res2=0.0345178      err2=0.11124      errA=0.0565271
iter=370      res2=0.0316514      err2=0.102118      errA=0.052128
iter=380      res2=0.0286446      err2=0.0932294      errA=0.0473911
iter=390      res2=0.0262221      err2=0.0846697      errA=0.04354
iter=400      res2=0.0240472      err2=0.0804412      errA=0.0400971
iter=410      res2=0.0220212      err2=0.0719719      errA=0.0368403
iter=420      res2=0.0202368      err2=0.0683159      errA=0.0339797
iter=430      res2=0.0185364      err2=0.0631789      errA=0.0311818
iter=440      res2=0.0169739      err2=0.0586894      errA=0.0286248
iter=450      res2=0.0155123      err2=0.0530276      errA=0.0262074
iter=460      res2=0.0141975      err2=0.047064      errA=0.0240726
iter=470      res2=0.0130643      err2=0.0449316      errA=0.0221698
iter=480      res2=0.0117689      err2=0.041161      errA=0.0200305
iter=490      res2=0.0108436      err2=0.0359108      errA=0.0184707
iter=500      res2=0.0100343      err2=0.034142      errA=0.0171422
iter=510      res2=0.0090951      err2=0.0318605      errA=0.0155927
iter=520      res2=0.00834571      err2=0.0287995      errA=0.0143177
iter=530      res2=0.0076949      err2=0.0263257      errA=0.0132143
iter=540      res2=0.00705315      err2=0.0240973      errA=0.0121481
