Avgstr = 12.1997658664955626
CG Iteration #1, relres 0.9998782519977018
CG Iteration #2, relres 0.9995153631421325
CG Iteration #3, relres 0.9986094056178914
CG Iteration #4, relres 0.9975991379743107
CG Iteration #5, relres 0.9961083428485992
CG Iteration #6, relres 0.9939721793246901
CG Iteration #7, relres 0.9915985375672244
CG Iteration #8, relres 0.9884918405413974
CG Iteration #9, relres 0.9836273481286361
CG Iteration #10, relres 0.9785475595029660
CG Iteration #11, relres 0.9727260540175691
CG Iteration #12, relres 0.9651393006312522
CG Iteration #13, relres 0.9587937976330141
CG Iteration #14, relres 0.9565570477673796
CG Iteration #15, relres 0.9455001412000826
CG Iteration #16, relres 0.9347807834907913
CG Iteration #17, relres 0.9251119614298237
CG Iteration #18, relres 0.9078705312671150
CG Iteration #19, relres 0.8916797869963864
CG Iteration #20, relres 0.8711068038885472
CG Iteration #21, relres 0.8498314498073385
CG Iteration #22, relres 0.8411074123215914
CG Iteration #23, relres 0.8345158904836936
CG Iteration #24, relres 0.8271618816263101
CG Iteration #25, relres 0.8066194361317248
CG Iteration #26, relres 0.7878351795071044
CG Iteration #27, relres 0.7669197830889751
CG Iteration #28, relres 0.7621235538099637
CG Iteration #29, relres 0.7367344334778466
CG Iteration #30, relres 0.7086335075485160
CG Iteration #31, relres 0.6932211753115376
CG Iteration #32, relres 0.6874475290962520
CG Iteration #33, relres 0.6858691252750435
CG Iteration #34, relres 0.6677570833742347
CG Iteration #35, relres 0.6479709203365096
CG Iteration #36, relres 0.6398946011739022
CG Iteration #37, relres 0.6177747725329662
CG Iteration #38, relres 0.6042600103106857
CG Iteration #39, relres 0.5890897399231243
CG Iteration #40, relres 0.5850727371608446
CG Iteration #41, relres 0.5600908251958587
CG Iteration #42, relres 0.5380225154058966
CG Iteration #43, relres 0.5362562028939865
CG Iteration #44, relres 0.5158041942942558
CG Iteration #45, relres 0.4954205247748216
CG Iteration #46, relres 0.4888845446411006
CG Iteration #47, relres 0.4721106170184298
CG Iteration #48, relres 0.4619688745253536
CG Iteration #49, relres 0.4449637044988822
CG Iteration #50, relres 0.4374158541285483
CG Iteration #51, relres 0.4170204043775736
CG Iteration #52, relres 0.4106432888403951
CG Iteration #53, relres 0.3997530833027747
CG Iteration #54, relres 0.3881421604430992
CG Iteration #55, relres 0.3791061407467760
CG Iteration #56, relres 0.3770950556404408
CG Iteration #57, relres 0.3690311086615743
CG Iteration #58, relres 0.3588888401247271
CG Iteration #59, relres 0.3411797974265416
CG Iteration #60, relres 0.3362683987290822
CG Iteration #61, relres 0.3284824960674635
CG Iteration #62, relres 0.3189141749174331
CG Iteration #63, relres 0.3165470713001654
CG Iteration #64, relres 0.3064426417547162
CG Iteration #65, relres 0.2932726644536238
CG Iteration #66, relres 0.2873573363954205
CG Iteration #67, relres 0.2790216803483516
CG Iteration #68, relres 0.2773025947786270
CG Iteration #69, relres 0.2658431742358398
CG Iteration #70, relres 0.2527220816883673
CG Iteration #71, relres 0.2438145210212716
CG Iteration #72, relres 0.2379332838138977
CG Iteration #73, relres 0.2365914266775105
CG Iteration #74, relres 0.2235573308284624
CG Iteration #75, relres 0.2125075078873206
CG Iteration #76, relres 0.2085328278917344
CG Iteration #77, relres 0.2001258816149108
CG Iteration #78, relres 0.1941098091067404
CG Iteration #79, relres 0.1907001021705334
CG Iteration #80, relres 0.1849442019393583
CG Iteration #81, relres 0.1766441312076295
CG Iteration #82, relres 0.1762221710213003
CG Iteration #83, relres 0.1748820455599564
CG Iteration #84, relres 0.1706578329485771
CG Iteration #85, relres 0.1661476259157089
CG Iteration #86, relres 0.1637084532666115
CG Iteration #87, relres 0.1621612674682187
CG Iteration #88, relres 0.1606125246457275
CG Iteration #89, relres 0.1537049490684798
CG Iteration #90, relres 0.1507571638281829
CG Iteration #91, relres 0.1469085330993128
CG Iteration #92, relres 0.1436774330505801
CG Iteration #93, relres 0.1434866879827794
CG Iteration #94, relres 0.1354977002541994
CG Iteration #95, relres 0.1340659162539788
CG Iteration #96, relres 0.1289195241070676
CG Iteration #97, relres 0.1255428481920074
CG Iteration #98, relres 0.1199781042137448
CG Iteration #99, relres 0.1171295180564952
CG Iteration #100, relres 0.1116271163900646
CG Iteration #101, relres 0.1113139631294396
CG Iteration #102, relres 0.1109283264387537
CG Iteration #103, relres 0.1054722129974432
CG Iteration #104, relres 0.1045856489840731
CG Iteration #105, relres 0.1015062349854592
CG Iteration #106, relres 0.0993675535864177
CG Iteration #107, relres 0.0982805691817324
CG Iteration #108, relres 0.0937843601705187
CG Iteration #109, relres 0.0929944385332433
CG Iteration #110, relres 0.0884395083279002
CG Iteration #111, relres 0.0866387390484547
CG Iteration #112, relres 0.0859306737213739
CG Iteration #113, relres 0.0834485009179810
CG Iteration #114, relres 0.0802235735551143
CG Iteration #115, relres 0.0780183294622098
CG Iteration #116, relres 0.0750698563936504
CG Iteration #117, relres 0.0744586887217740
CG Iteration #118, relres 0.0738517022845458
CG Iteration #119, relres 0.0703527009112534
CG Iteration #120, relres 0.0696700906367361
CG Iteration #121, relres 0.0693309035239372
CG Iteration #122, relres 0.0665693985596763
CG Iteration #123, relres 0.0651476813407739
CG Iteration #124, relres 0.0633822303973583
CG Iteration #125, relres 0.0627565420014808
CG Iteration #126, relres 0.0614030512355669
CG Iteration #127, relres 0.0590504628940852
CG Iteration #128, relres 0.0587169105768215
CG Iteration #129, relres 0.0566118760010136
CG Iteration #130, relres 0.0553437802525588
CG Iteration #131, relres 0.0551751556879994
CG Iteration #132, relres 0.0537547727109199
CG Iteration #133, relres 0.0527785764708393
CG Iteration #134, relres 0.0524834271731573
CG Iteration #135, relres 0.0503379435658480
CG Iteration #136, relres 0.0492633758028267
CG Iteration #137, relres 0.0472705701936782
CG Iteration #138, relres 0.0461908100676151
CG Iteration #139, relres 0.0440260433054038
CG Iteration #140, relres 0.0439407418002007
CG Iteration #141, relres 0.0433648353265635
CG Iteration #142, relres 0.0425504224464723
CG Iteration #143, relres 0.0418243508156272
CG Iteration #144, relres 0.0412727448966198
CG Iteration #145, relres 0.0408242205777056
CG Iteration #146, relres 0.0401181867431638
CG Iteration #147, relres 0.0389156695182919
CG Iteration #148, relres 0.0387237691362995
CG Iteration #149, relres 0.0380604189375667
CG Iteration #150, relres 0.0372629700766271
CG Iteration #151, relres 0.0367226410996257
CG Iteration #152, relres 0.0360544191411978
CG Iteration #153, relres 0.0358337017071438
CG Iteration #154, relres 0.0345809060855820
CG Iteration #155, relres 0.0334416213628443
CG Iteration #156, relres 0.0324595097733902
CG Iteration #157, relres 0.0320556361931526
CG Iteration #158, relres 0.0317725796286625
CG Iteration #159, relres 0.0312133833026494
CG Iteration #160, relres 0.0311463262030150
CG Iteration #161, relres 0.0303059033923601
CG Iteration #162, relres 0.0297760971718890
CG Iteration #163, relres 0.0293703370890255
CG Iteration #164, relres 0.0292410104981725
CG Iteration #165, relres 0.0286505161817634
CG Iteration #166, relres 0.0280701806218859
CG Iteration #167, relres 0.0268735920143994
CG Iteration #168, relres 0.0263386714313018
CG Iteration #169, relres 0.0254439506630823
CG Iteration #170, relres 0.0252931947534208
CG Iteration #171, relres 0.0245337515084838
CG Iteration #172, relres 0.0238351857830170
CG Iteration #173, relres 0.0232978908611207
CG Iteration #174, relres 0.0222431586458698
CG Iteration #175, relres 0.0218685021776209
CG Iteration #176, relres 0.0216589410371134
CG Iteration #177, relres 0.0214447916730026
CG Iteration #178, relres 0.0205456416561878
CG Iteration #179, relres 0.0205292301861636
CG Iteration #180, relres 0.0195107842634774
CG Iteration #181, relres 0.0193416510945896
CG Iteration #182, relres 0.0190794458183794
CG Iteration #183, relres 0.0187397341824192
CG Iteration #184, relres 0.0186061840395796
CG Iteration #185, relres 0.0179369818794325
CG Iteration #186, relres 0.0170188430240604
CG Iteration #187, relres 0.0165386076414826
CG Iteration #188, relres 0.0164817156507958
CG Iteration #189, relres 0.0160468921772113
CG Iteration #190, relres 0.0156207818220625
CG Iteration #191, relres 0.0154214804257936
CG Iteration #192, relres 0.0152603909908259
CG Iteration #193, relres 0.0148516695880801
CG Iteration #194, relres 0.0142534964804386
CG Iteration #195, relres 0.0140207013856385
CG Iteration #196, relres 0.0135436403448687
CG Iteration #197, relres 0.0134020639374608
CG Iteration #198, relres 0.0133570394910469
CG Iteration #199, relres 0.0131205111684572
CG Iteration #200, relres 0.0129711425146842
CG Iteration #201, relres 0.0127859654420591
CG Iteration #202, relres 0.0127204855593075
CG Iteration #203, relres 0.0122362231488377
CG Iteration #204, relres 0.0120094404287965
CG Iteration #205, relres 0.0115425523192116
CG Iteration #206, relres 0.0114105096946281
CG Iteration #207, relres 0.0113244207589708
CG Iteration #208, relres 0.0112805622283107
CG Iteration #209, relres 0.0112407574992726
CG Iteration #210, relres 0.0107183323715917
CG Iteration #211, relres 0.0103398751472869
CG Iteration #212, relres 0.0100908132557444
CG Iteration #213, relres 0.0096676457708011
CG Iteration #214, relres 0.0095601464518625
CG Iteration #215, relres 0.0093951562074748
CG Iteration #216, relres 0.0091490702530003
CG Iteration #217, relres 0.0091389537506288
CG Iteration #218, relres 0.0087698188925200
CG Iteration #219, relres 0.0087088353948529
CG Iteration #220, relres 0.0085218542771299
CG Iteration #221, relres 0.0082374829343945
CG Iteration #222, relres 0.0081823181208926
CG Iteration #223, relres 0.0081296398573234
CG Iteration #224, relres 0.0077391127607917
CG Iteration #225, relres 0.0076962443872539
CG Iteration #226, relres 0.0075054655909494
CG Iteration #227, relres 0.0074751653608548
CG Iteration #228, relres 0.0073254235328983
CG Iteration #229, relres 0.0071848877340078
CG Iteration #230, relres 0.0069767955261017
CG Iteration #231, relres 0.0068983784649003
CG Iteration #232, relres 0.0067529378625438
CG Iteration #233, relres 0.0066236804569565
CG Iteration #234, relres 0.0064679430668838
CG Iteration #235, relres 0.0063176107164525
CG Iteration #236, relres 0.0062661958978361
CG Iteration #237, relres 0.0062069086321865
CG Iteration #238, relres 0.0061816005162205
CG Iteration #239, relres 0.0058795169363853
CG Iteration #240, relres 0.0056769125214215
CG Iteration #241, relres 0.0056096233150229
CG Iteration #242, relres 0.0054735225150945
CG Iteration #243, relres 0.0052193874006424
CG Iteration #244, relres 0.0050886545854441
CG Iteration #245, relres 0.0050557539883743
CG Iteration #246, relres 0.0050471982122449
CG Iteration #247, relres 0.0048929256190172
