anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 72      errA=241.05802076045848      err2_a=0.22834693728071784      err2_b=342.65613811101906
iter = 73      errA=232.9299124061163      err2_a=0.2198925805074018      err2_b=332.47809062956424
iter = 74      errA=224.73512126110174      err2_a=0.21137792208911155      err2_b=321.75480651957145
iter = 75      errA=216.1414681589968      err2_a=0.20266385162580736      err2_b=310.5457106898702
iter = 76      errA=209.42537045798153      err2_a=0.19577925637531224      err2_b=301.9334612550434
iter = 77      errA=202.63187354290073      err2_a=0.18901747725414147      err2_b=292.6875123774366
iter = 78      errA=195.64868132068804      err2_a=0.18185757477883027      err2_b=283.4770777439383
iter = 79      errA=189.6732083114204      err2_a=0.17587774415054014      err2_b=275.17058062125716
iter = 80      errA=183.0313943043185      err2_a=0.16931229473871665      err2_b=265.6995717900419
iter = 81      errA=175.85208104777212      err2_a=0.16239719431919247      err2_b=255.71888920260432
iter = 82      errA=168.82382796122047      err2_a=0.15565209646899128      err2_b=245.741809390549
iter = 83      errA=163.69716669076365      err2_a=0.15076691510163245      err2_b=238.49308349915628
iter = 84      errA=158.14620696666756      err2_a=0.14553090099868551      err2_b=230.7385215520178
iter = 85      errA=152.26217542248278      err2_a=0.13980439529982774      err2_b=222.37196531603152
iter = 86      errA=147.48701549874514      err2_a=0.1352024163584098      err2_b=215.38534387852724
iter = 87      errA=142.28019078475222      err2_a=0.13022660215772508      err2_b=207.9919413329605
iter = 88      errA=136.70524345257445      err2_a=0.12491849606649677      err2_b=199.85600954725604
iter = 89      errA=131.72986423723515      err2_a=0.12019519057948637      err2_b=192.8331416116973
iter = 90      errA=127.04574240522241      err2_a=0.11574230923209397      err2_b=186.45828958146575
iter = 91      errA=122.53425283220271      err2_a=0.11151000838264719      err2_b=179.84961038809195
iter = 92      errA=118.01365400069912      err2_a=0.10730246840697877      err2_b=173.24788298840417
iter = 93      errA=113.41465397305959      err2_a=0.10298703824556664      err2_b=166.7020193978736
iter = 94      errA=109.30643389384232      err2_a=0.09920755941888129      err2_b=160.63736816305882
iter = 95      errA=105.63079077987341      err2_a=0.09569052178734293      err2_b=155.3413731167113
iter = 96      errA=101.79597087159418      err2_a=0.09211312909198136      err2_b=149.7475321814591
iter = 97      errA=98.40187607350482      err2_a=0.08897108948190602      err2_b=145.0296184988515
iter = 98      errA=94.52958248154252      err2_a=0.08536107268916251      err2_b=139.49896674682805
iter = 99      errA=90.7239920032565      err2_a=0.08187364553470249      err2_b=133.80240498173208
iter = 100      errA=87.0279544447592      err2_a=0.0785338295478112      err2_b=128.33803019851342
iter = 101      errA=84.54093027062663      err2_a=0.07623792240220731      err2_b=124.782815186289
iter = 102      errA=81.49250698655246      err2_a=0.07348262487043926      err2_b=120.18070614409822
iter = 103      errA=78.29449698060085      err2_a=0.07053159544955578      err2_b=115.44024596960276
iter = 104      errA=74.98725622040092      err2_a=0.06748927962710047      err2_b=110.61793569268399
iter = 105      errA=72.27078071556484      err2_a=0.06509556718615014      err2_b=106.5939726965487
iter = 106      errA=69.29175951203382      err2_a=0.06232952482809499      err2_b=102.38198937342395
iter = 107      errA=66.36173879161423      err2_a=0.05969625496547483      err2_b=97.95337203363106
iter = 108      errA=63.919525844278134      err2_a=0.057479501533150616      err2_b=94.25001793107363
iter = 109      errA=61.41666466134305      err2_a=0.05518662792623607      err2_b=90.61686330512913
iter = 110      errA=58.68225156385033      err2_a=0.052723229945556394      err2_b=86.49189091129746
iter = 111      errA=56.1724536595472      err2_a=0.05040569990322824      err2_b=82.78310653912538
iter = 112      errA=53.86133711754295      err2_a=0.04830989234000037      err2_b=79.34241162570106
iter = 113      errA=51.565455661611516      err2_a=0.04625824155149299      err2_b=76.01669965433655
iter = 114      errA=49.57999169001649      err2_a=0.04447576758419154      err2_b=73.1025172562174
iter = 115      errA=47.49656691623831      err2_a=0.04260973466394356      err2_b=69.94898105023638
iter = 116      errA=45.50095692785509      err2_a=0.04077055872421961      err2_b=67.07991555375828
iter = 117      errA=43.44876757233916      err2_a=0.038909588915785574      err2_b=64.08911451246841
iter = 118      errA=41.833307338503154      err2_a=0.037453222147151875      err2_b=61.704608569076946
iter = 119      errA=40.078704662513466      err2_a=0.03588362521276585      err2_b=59.15428274731705
iter = 120      errA=38.35880111685213      err2_a=0.034343841257748246      err2_b=56.61368758209359
iter = 121      errA=36.76839365666567      err2_a=0.0329211596758097      err2_b=54.276230777655925
iter = 122      errA=35.12196368151206      err2_a=0.03144308973256426      err2_b=51.857957303222975
iter = 123      errA=33.762768740167814      err2_a=0.03019005374940027      err2_b=49.881426491322614
iter = 124      errA=32.20056826454511      err2_a=0.028789402589231353      err2_b=47.56367797611134
iter = 125      errA=30.829901848422125      err2_a=0.027557475834877998      err2_b=45.588263411180684
iter = 126      errA=29.559583922318335      err2_a=0.026378865020787307      err2_b=43.87131719894863
iter = 127      errA=28.352208010386853      err2_a=0.025300819491371685      err2_b=42.06381989273003
iter = 128      errA=27.158993365469705      err2_a=0.024222669341797558      err2_b=40.30060362550264
iter = 129      errA=26.012297288217148      err2_a=0.02320390719460567      err2_b=38.59269194855463
iter = 130      errA=24.88971793873151      err2_a=0.022200599944842726      err2_b=36.89956896636247
iter = 131      errA=23.848350664326784      err2_a=0.021284190901179462      err2_b=35.36519106414175
iter = 132      errA=22.924576065179075      err2_a=0.02044455799355169      err2_b=33.99019537488402
iter = 133      errA=21.895273167103717      err2_a=0.019524963607272544      err2_b=32.453484861995975
iter = 134      errA=21.03832216439639      err2_a=0.018749251307340346      err2_b=31.202922672641375
iter = 135      errA=20.16498528211485      err2_a=0.017980334909031774      err2_b=29.919496551720165
iter = 136      errA=19.25046895246429      err2_a=0.017133040790464057      err2_b=28.653684687875064
iter = 137      errA=18.492250152562388      err2_a=0.016441588176761515      err2_b=27.557373368437887
iter = 138      errA=17.695367824409868      err2_a=0.015735345055770508      err2_b=26.348504139926735
iter = 139      errA=16.957505811955315      err2_a=0.015085093925470435      err2_b=25.1810621319171
iter = 140      errA=16.249460184196664      err2_a=0.014460840203551767      err2_b=24.131503542921216
iter = 141      errA=15.616858113105282      err2_a=0.013876280268388889      err2_b=23.235233605409622
iter = 142      errA=14.980784121035256      err2_a=0.01331095862793134      err2_b=22.279887066728527
iter = 143      errA=14.328166447774697      err2_a=0.012739221424795525      err2_b=21.2809623293338
iter = 144      errA=13.696798274976736      err2_a=0.012176941586753533      err2_b=20.330526341979578
iter = 145      errA=13.099904983041576      err2_a=0.011633842889615944      err2_b=19.460283575694188
iter = 146      errA=12.502984659721099      err2_a=0.011083526961150673      err2_b=18.593005808275652
iter = 147      errA=11.989304628035665      err2_a=0.010616425532766002      err2_b=17.83009304397846
iter = 148      errA=11.50582157200164      err2_a=0.010195999385157912      err2_b=17.0943750435305
iter = 149      errA=11.034563438430112      err2_a=0.00978952408809113      err2_b=16.368295429424194
iter = 150      errA=10.564682804300514      err2_a=0.009373455875534878      err2_b=15.688762909572509
iter = 151      errA=10.106012046859393      err2_a=0.00897258721950537      err2_b=15.009367333376439
iter = 152      errA=9.633806731966622      err2_a=0.008553094066533626      err2_b=14.308211763535704
iter = 153      errA=9.232845226999526      err2_a=0.008196661863289505      err2_b=13.714163998210905
iter = 154      errA=8.855870412227164      err2_a=0.007851170045350582      err2_b=13.17668352138864
iter = 155      errA=8.494310029250112      err2_a=0.0075299783551250185      err2_b=12.632346139668245
iter = 156      errA=8.099193264054332      err2_a=0.007189510730554524      err2_b=12.028987184903086
iter = 157      errA=7.7297501220802625      err2_a=0.006854306687906475      err2_b=11.497192372536245
iter = 158      errA=7.363073973154803      err2_a=0.0065294090911335485      err2_b=10.941505081094645
iter = 159      errA=7.045918677298738      err2_a=0.006242710023002118      err2_b=10.44723777174002
iter = 160      errA=6.733969965644608      err2_a=0.005961825110166579      err2_b=9.987396138672015
iter = 161      errA=6.435756448931013      err2_a=0.005695518698186024      err2_b=9.549914347365982
iter = 162      errA=6.171179772093406      err2_a=0.005468653566130833      err2_b=9.158209920916297
iter = 163      errA=5.899884721455321      err2_a=0.005226526388557839      err2_b=8.758128821313136
iter = 164      errA=5.649470144255525      err2_a=0.004999239160212379      err2_b=8.39457268457461
iter = 165      errA=5.378078770373521      err2_a=0.00475420049857147      err2_b=8.001924635515499
iter = 166      errA=5.147883439234777      err2_a=0.0045469398298443155      err2_b=7.658910154540276
iter = 167      errA=4.905856125361181      err2_a=0.0043376656255990345      err2_b=7.289494764769902
iter = 168      errA=4.671923151943699      err2_a=0.004131450167604255      err2_b=6.938300605187602
iter = 169      errA=4.45880424527183      err2_a=0.003944836240281411      err2_b=6.626631745645477
iter = 170      errA=4.247525352601847      err2_a=0.0037592242094568167      err2_b=6.313034713303748
iter = 171      errA=4.2391921964377115      err2_a=0.0037513631028946014      err2_b=6.299673407934337
iter = 172      errA=4.038976980180878      err2_a=0.003571214081698155      err2_b=6.010804714257302
